	 D00035	 D00110	 D00136	 D00195	 D00219	 D00225	 D00227	 D00228	 D00234	 D00252	 	D00274	 D00283	 D00293	 D00294	 D00303	 D00319	 D00326	 D00329	 D00331	 D00332	 D00335	 D00336	 D00338	 D00340	 D00345	 D00349	 D00351	 D00354	 D00358	 D00364	 D00367	 D00373	 D00379	 D00380	 D00392	 D00394	 D00418	 D00437	 D00438	 D00451	 D00456	 D00464	 D00474	 D00477	 D00480	 D00495	 D00499	 D00504	 D00512	 D00513	 D00519	 D00521	 D00524	 D00528	 D00530	 D00533	 D00536	 D00537	 D00538	 D00539	 D00542	 D00543	 D00544	 D00545	 D00546	 D00547	 D00548	 D00549	 D00550	 D00552	 D00553	 D00560	 D00563	 D00574	 D00593	 D00594	 D00607	 D00611	 D00615	 D00616	 D00617	 D00618	 D00619	 D00629	 D00631	 D00633	 D00636	 D00638	 D00639	 D00640	 D00642	 D00647	 D00648	 D00649	 D00650	 D00651	 D00654	 D00656	 D00658	 D00677	 D00678	 D00694	 D00697	 D00704	 D00708	 D00709	 D00711	 D00726	 D00732	 D00733	 D00735	 D00738	 D00739	 D00740	 D00741	 D00759	 D00760	 D00761	 D00765	 D00771	 D00775	 D00779	 D00791	 D00798	 D00799	 D00809	 D00812	 D00816	 D00823	 D00831	 D00960	 D00963	 D00964	 D01071	 D01108	 D01111	 D01118	 D01242	 D01243	 D01253	 D01256	 D01275	 D01287	 D01295	 D01350	 D01448	 D01450	 D01453	 D01575	 D01599	 D01603	 D01712	 D01768	 D01799	 D01828	 D01854	 D01969	 D02041	 D02086	 D02087	 D02088	 D02092	 D02098	 D02101	 D02163	 D02173	 D02204	 D02207	 D02234	 D02237	 D02253	 D02261	 D02262	 D02272	 D02347	 D02356	 D02360	 D02362	 D02409	 D02461	 D02485	 D02546	 D02566	 D02630	 D02914	 D03037	 D03180	 D03274	 D03365	 D03450	 D03580	 D03742	 D03826	 D03830	 D03878	 D03991	 D04034	 D04048	 D04370	 D04790	 D04985	 D04999	 D05024	 D05077	 D05156	 D05453	 D05458	 D05461	 D06106	 D06172
D00035	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00110	0.00000	1.00000	0.07330	0.07630	0.00000	0.14040	0.01580	0.01910	0.00030	0.08280	0.01710	0.07790	0.15280	0.00020	0.03020	0.00430	0.10240	0.01410	0.04660	0.00000	0.00750	0.01240	0.00000	0.05270	0.00210	0.00360	0.00000	0.07130	0.08070	0.03010	0.00350	0.04970	0.00000	0.00000	0.00000	0.04900	0.02420	0.01420	0.00030	0.03050	0.02900	0.00000	0.00000	0.01470	0.05470	0.00000	0.02480	0.00000	0.07150	0.00230	0.00000	0.00000	0.00000	0.02770	0.00000	0.06530	0.00000	0.06510	0.02230	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03410	0.04070	0.00180	0.01460	0.00300	0.08230	0.00000	0.03100	0.00540	0.00000	0.00000	0.04300	0.01910	0.01300	0.00000	0.03060	0.00020	0.00000	0.00070	0.03160	0.03890	0.01650	0.02050	0.10230	0.00330	0.00000	0.00000	0.02370	0.00000	0.00000	0.00000	0.00000	0.00070	0.03020	0.05440	0.00000	0.00000	0.00000	0.06290	0.00800	0.03250	0.00000	0.00000	0.00000	0.00420	0.00000	0.00180	0.00000	0.02870	0.00000	0.00000	0.04380	0.00000	0.00000	0.04070	0.01920	0.03870	0.02420	0.04130	0.02780	0.04610	0.10530	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01000	0.00000	0.04840	0.00000	0.00560	0.00000	0.03820	0.00210	0.00000	0.00000	0.00560	0.05270	0.02770	0.00000	0.02320	0.00000	0.01530	0.00000	0.00000	0.00000	0.00080	0.00000	0.00000	0.06640	0.00000	0.00000	0.03310	0.00080	0.07630	0.02710	0.02920	0.00000	0.00000	0.00050	0.00000	0.00110	0.00000	0.00000	0.00000	0.00000	0.03060	0.11390	0.09500	0.00000	0.00000	0.00000	0.00000	0.01090	0.02820	0.02250	0.00000	0.00000	0.03920	0.00000	0.00000	0.02820	0.05310	0.00000	0.01830	0.00000	0.00000	0.04000	0.00640	0.00050	0.00000	0.00000	0.00000	0.00090	0.00000	0.00000	0.04940	0.00000	0.00000	0.00000	0.00000	
D00136	0.00000	0.07330	1.00000	0.06970	0.00000	0.15400	0.04960	0.05250	0.00010	0.19760	0.02300	0.16210	0.18670	0.00270	0.02490	0.03750	0.18150	0.00840	0.11240	0.00000	0.03590	0.04280	0.00000	0.08370	0.03940	0.02700	0.00000	0.17980	0.04740	0.03790	0.00260	0.07010	0.01490	0.00370	0.00000	0.07110	0.01730	0.06710	0.00270	0.05570	0.06670	0.00000	0.00000	0.00580	0.10050	0.00000	0.01210	0.00000	0.11220	0.02860	0.00660	0.00000	0.00000	0.04470	0.00000	0.14280	0.00000	0.13930	0.07060	0.05170	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06720	0.08800	0.02380	0.01320	0.12130	0.14660	0.00000	0.02310	0.03430	0.00000	0.00000	0.08020	0.07370	0.04670	0.00050	0.04260	0.01080	0.06710	0.02070	0.07550	0.04460	0.00870	0.03730	0.00180	0.04500	0.00000	0.00000	0.02010	0.00000	0.00000	0.00000	0.04100	0.03070	0.06590	0.08820	0.00000	0.00000	0.00000	0.16690	0.01010	0.11580	0.00190	0.01110	0.00000	0.00950	0.00000	0.02530	0.00680	0.01140	0.00000	0.00000	0.04760	0.00000	0.00000	0.18980	0.09880	0.05530	0.05870	0.04840	0.01590	0.03140	0.20390	0.00000	0.00000	0.00000	0.00000	0.01020	0.00000	0.00940	0.00000	0.08760	0.00000	0.08340	0.00000	0.05190	0.01840	0.01870	0.00000	0.07100	0.05140	0.04470	0.00000	0.02550	0.00000	0.04950	0.00000	0.00000	0.00000	0.02460	0.00000	0.00000	0.04450	0.00000	0.00000	0.04110	0.00070	0.06970	0.09640	0.11030	0.00000	0.00000	0.00030	0.00000	0.00400	0.00000	0.00000	0.00920	0.00000	0.05070	0.14420	0.17520	0.00000	0.00000	0.00000	0.00000	0.03620	0.06270	0.03240	0.00000	0.00000	0.19300	0.00000	0.00000	0.03000	0.03140	0.04840	0.07140	0.00000	0.00000	0.17590	0.01590	0.01970	0.00000	0.00000	0.00000	0.00150	0.00000	0.00000	0.00010	0.00000	0.00000	0.02690	0.00000	
D00195	0.00000	0.07630	0.06970	1.00000	0.01110	0.12250	0.03530	0.02640	0.00000	0.10160	0.00500	0.08300	0.12970	0.00560	0.02250	0.02670	0.08580	0.04810	0.08790	0.00000	0.01720	0.02520	0.00000	0.05990	0.04030	0.00600	0.00000	0.09140	0.06380	0.03010	0.00000	0.03350	0.00000	0.00000	0.00000	0.03770	0.01690	0.06470	0.00070	0.05000	0.06200	0.00000	0.00000	0.01160	0.07940	0.00000	0.02070	0.00000	0.07580	0.00430	0.00010	0.00000	0.00000	0.06900	0.00000	0.08490	0.00000	0.09320	0.03950	0.00450	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04830	0.07960	0.04670	0.01360	0.00410	0.08200	0.00000	0.04220	0.01100	0.00000	0.00000	0.08210	0.03980	0.03600	0.00090	0.04190	0.00000	0.00710	0.02850	0.06280	0.02690	0.00720	0.02400	0.00220	0.03490	0.00000	0.00000	0.03630	0.00000	0.00000	0.00010	0.01020	0.00950	0.06340	0.03450	0.00000	0.00000	0.00000	0.06950	0.00210	0.04160	0.00000	0.00030	0.00000	0.02500	0.00000	0.02140	0.00880	0.01540	0.00000	0.00000	0.02040	0.00000	0.00000	0.06480	0.00960	0.02640	0.00550	0.04720	0.01990	0.00900	0.11180	0.00000	0.00000	0.00000	0.00000	0.01320	0.00000	0.01980	0.00000	0.05790	0.00000	0.02470	0.00000	0.06370	0.00150	0.00000	0.00000	0.03330	0.02570	0.06900	0.00000	0.02280	0.00000	0.02170	0.00000	0.00000	0.00000	0.00340	0.00000	0.02000	0.04630	0.00000	0.00000	0.02360	0.00000	0.99990	0.00430	0.02180	0.00000	0.00000	0.00060	0.00000	0.00060	0.00000	0.00000	0.00000	0.00000	0.04870	0.07700	0.08770	0.00000	0.00000	0.00000	0.00000	0.00300	0.00000	0.04550	0.00000	0.00000	0.03530	0.00000	0.00000	0.46480	0.07850	0.00000	0.03050	0.00000	0.00000	0.02990	0.01600	0.00670	0.00000	0.00000	0.00000	0.00750	0.00000	0.00000	0.00910	0.00000	0.00000	0.03720	0.00000	
D00219	0.00000	0.00000	0.00000	0.01110	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02210	0.00000	0.00000	0.00000	0.04220	0.00000	0.00000	0.00000	0.00650	0.00000	0.01730	0.01450	0.00000	0.00740	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00930	0.00000	0.00000	0.01090	0.00000	0.00000	0.06560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01370	0.00000	0.00000	0.00000	0.00580	0.01110	0.02690	0.00000	0.01290	0.00000	0.00000	0.00000	0.00930	0.01950	0.00000	0.00000	0.13650	0.00000	0.00000	0.00000	0.03490	0.00000	0.00000	0.00000	0.00000	0.00000	0.01140	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00550	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01650	0.00000	0.01110	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01280	0.00000	0.00610	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01710	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00225	0.00000	0.14040	0.15400	0.12250	0.00000	1.00000	0.04800	0.06080	0.00010	0.19250	0.01610	0.16890	0.21830	0.02230	0.04130	0.03450	0.20400	0.04450	0.12300	0.00000	0.07330	0.06510	0.00000	0.13220	0.06280	0.01160	0.00000	0.21520	0.08590	0.06750	0.00160	0.07990	0.00040	0.00010	0.00000	0.04000	0.07140	0.08400	0.02320	0.11910	0.09320	0.00000	0.00000	0.00920	0.09780	0.00000	0.03550	0.00000	0.17880	0.01270	0.00000	0.00000	0.00000	0.08170	0.00000	0.16350	0.00000	0.19560	0.05500	0.04460	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08090	0.09820	0.02390	0.02010	0.03000	0.18860	0.00000	0.06000	0.01300	0.00000	0.00000	0.19570	0.07380	0.02540	0.01710	0.08660	0.02080	0.00000	0.01860	0.07510	0.06760	0.02700	0.04570	0.00090	0.07210	0.00340	0.00000	0.03410	0.00000	0.00000	0.01520	0.00960	0.02900	0.09270	0.11530	0.00000	0.00000	0.00000	0.17760	0.02410	0.09760	0.01390	0.01390	0.00000	0.00540	0.00000	0.01890	0.00000	0.04170	0.00000	0.00000	0.05490	0.00000	0.00000	0.10090	0.07510	0.07240	0.07370	0.09570	0.01760	0.06120	0.28550	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01980	0.00000	0.07340	0.00000	0.07500	0.00000	0.07660	0.00120	0.01410	0.00000	0.03480	0.06120	0.08170	0.00000	0.04650	0.00000	0.04040	0.00000	0.00000	0.00000	0.02220	0.00000	0.00080	0.07350	0.00000	0.00000	0.04210	0.00040	0.12250	0.05020	0.06290	0.00000	0.00000	0.03320	0.00000	0.01410	0.00000	0.00000	0.00000	0.00000	0.08400	0.19260	0.21840	0.00000	0.00000	0.00000	0.00000	0.09750	0.01170	0.11970	0.00000	0.00000	0.07000	0.00000	0.00000	0.05030	0.09330	0.00000	0.05730	0.00000	0.00000	0.07170	0.03620	0.02650	0.00000	0.00000	0.00000	0.00620	0.00000	0.00000	0.04190	0.00000	0.00000	0.03970	0.00000	
D00227	0.00000	0.01580	0.04960	0.03530	0.00000	0.04800	1.00000	0.00060	0.00000	0.08710	0.00170	0.05510	0.08090	0.00000	0.00040	0.01230	0.06390	0.02130	0.08700	0.00000	0.01790	0.02630	0.00000	0.06520	0.01750	0.00090	0.00000	0.06660	0.03960	0.01040	0.00000	0.00400	0.00090	0.00020	0.00000	0.02350	0.01990	0.03670	0.00030	0.03030	0.03580	0.00000	0.00000	0.00030	0.03630	0.00000	0.00350	0.00000	0.05450	0.00480	0.06870	0.00000	0.00000	0.02170	0.00000	0.04880	0.00000	0.05260	0.02820	0.00130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05710	0.06300	0.00180	0.00030	0.00080	0.05230	0.00000	0.02430	0.00520	0.00000	0.00000	0.05000	0.03180	0.02950	0.00790	0.11590	0.00000	0.03270	0.00000	0.04170	0.02320	0.03630	0.05080	0.00100	0.02240	0.00000	0.00000	0.00800	0.00000	0.00000	0.00000	0.04990	0.00350	0.03660	0.01290	0.00000	0.00000	0.00000	0.08210	0.02030	0.00500	0.00000	0.00020	0.00000	0.00010	0.00000	0.00000	0.00000	0.02110	0.00000	0.00000	0.03970	0.00000	0.00000	0.02120	0.02910	0.00050	0.02300	0.02770	0.00080	0.00010	0.07550	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01770	0.00000	0.02610	0.00000	0.00660	0.00000	0.03170	0.00190	0.00000	0.00000	0.02140	0.01540	0.02170	0.00000	0.01140	0.00000	0.94550	0.00000	0.00000	0.00000	0.00340	0.00000	0.00000	0.04060	0.00000	0.00000	0.01750	0.00010	0.03530	0.04230	0.02870	0.00000	0.00000	0.00080	0.00000	0.00490	0.00000	0.00000	0.00000	0.00000	0.10590	0.04600	0.08500	0.00000	0.00000	0.00000	0.00000	0.00260	0.00000	0.02500	0.00000	0.00000	0.01550	0.00000	0.00000	0.00530	0.00870	0.00000	0.04060	0.00000	0.00000	0.01080	0.01990	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00410	0.00000	
D00228	0.00000	0.01910	0.05250	0.02640	0.00000	0.06080	0.00060	1.00000	0.00000	0.04670	0.00000	0.02740	0.06140	0.00000	0.00000	0.00130	0.03140	0.00000	0.02020	0.00000	0.00020	0.00140	0.00000	0.01610	0.00020	0.00000	0.00000	0.02900	0.00680	0.01600	0.00000	0.01880	0.00000	0.00000	0.00000	0.00000	0.03290	0.03280	0.00000	0.01880	0.00790	0.00000	0.00000	0.00020	0.02130	0.00000	0.00000	0.00000	0.01070	0.00130	0.00030	0.00000	0.00010	0.04670	0.00000	0.02480	0.00000	0.03710	0.01310	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01070	0.03940	0.00000	0.04110	0.00100	0.06450	0.00000	0.02860	0.00000	0.00000	0.00000	0.01360	0.03450	0.00000	0.00410	0.00580	0.00000	0.00000	0.00000	0.01200	0.00120	0.00020	0.00010	0.00050	0.00000	0.00000	0.00000	0.00200	0.00000	0.00000	0.00000	0.00000	0.01360	0.00830	0.02830	0.00000	0.00000	0.00000	0.03170	0.00030	0.01870	0.00000	0.03330	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.11220	0.00180	0.02150	0.00060	0.02660	0.00000	0.07900	0.03590	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02890	0.00000	0.07840	0.00000	0.03280	0.00000	0.00000	0.00000	0.00060	0.00670	0.04670	0.00000	0.00170	0.00000	0.00060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00110	0.00000	0.00000	0.00090	0.00000	0.02640	0.00240	0.04540	0.00000	0.00000	0.00410	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00570	0.05530	0.09730	0.00000	0.00000	0.00000	0.00000	0.15280	0.00000	0.00510	0.00000	0.00000	0.04580	0.00000	0.00000	0.00760	0.01970	0.00000	0.00010	0.00000	0.00000	0.02820	0.02310	0.01610	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00234	0.00000	0.00030	0.00010	0.00000	0.00000	0.00010	0.00000	0.00000	1.00000	0.00010	0.00000	0.00010	0.00010	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00010	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00010	0.00000	0.00010	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00020	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00020	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00252	0.00000	0.08280	0.19760	0.10160	0.00000	0.19250	0.08710	0.04670	0.00010	1.00000	0.04970	0.22190	0.18280	0.01500	0.02020	0.04490	0.20530	0.03910	0.17950	0.00000	0.06280	0.05510	0.00000	0.16050	0.07090	0.05070	0.00000	0.34240	0.08190	0.10420	0.02160	0.07200	0.00030	0.00010	0.00000	0.03480	0.07250	0.11820	0.04030	0.09550	0.10760	0.00000	0.00000	0.01040	0.06840	0.00000	0.04050	0.00000	0.28590	0.03070	0.02200	0.00000	0.00000	0.05350	0.00000	0.29000	0.00000	0.26790	0.18150	0.09470	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07270	0.07630	0.01630	0.01830	0.06410	0.17860	0.00000	0.08300	0.02990	0.00000	0.00000	0.18390	0.10190	0.04400	0.01370	0.09110	0.01630	0.03350	0.00020	0.10800	0.05140	0.04530	0.05070	0.00120	0.05170	0.00000	0.00000	0.02520	0.00000	0.00000	0.01010	0.00440	0.05520	0.10430	0.11530	0.00000	0.00000	0.00000	0.30930	0.01690	0.11530	0.00100	0.02410	0.00000	0.01660	0.00000	0.01990	0.00000	0.03130	0.00000	0.00000	0.02630	0.00000	0.00000	0.09880	0.05110	0.05430	0.04050	0.08030	0.01540	0.03950	0.23010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05090	0.00000	0.05380	0.00000	0.15240	0.00000	0.11580	0.02030	0.00190	0.00000	0.02700	0.05620	0.05350	0.00000	0.04810	0.00000	0.08690	0.00000	0.00000	0.00000	0.04500	0.00000	0.00050	0.07500	0.00000	0.00000	0.05780	0.01550	0.10160	0.03000	0.07700	0.00000	0.00000	0.00070	0.00000	0.04290	0.00000	0.00000	0.00460	0.00000	0.08480	0.16550	0.22220	0.00000	0.00000	0.00000	0.00000	0.06320	0.03010	0.11380	0.00000	0.00000	0.08670	0.00000	0.00000	0.03920	0.06180	0.02420	0.07770	0.00000	0.00000	0.07610	0.03130	0.04690	0.00000	0.00000	0.00000	0.00820	0.00000	0.00000	0.01590	0.00000	0.00000	0.02700	0.00000	
