	 D00035	 D00110	 D00136	 D00195	 D00219	 D00225	 D00227	 D00228	 D00234	 D00252	 D00274	 D00283	 D00293	 D00294	 D00303	 D00319	 D00326	 D00329	 D00331	 D00332	 D00335	 D00336	 D00338	 D00340	 D00345	 D00349	 D00351	 D00354	 D00358	 D00364	 D00367	 D00373	 D00379	 D00380	 D00392	 D00394	 D00418	 D00437	 D00438	 D00451	 D00456	 D00464	 D00474	 D00477	 D00480	 D00495	 D00499	 D00504	 D00512	 D00513	 D00519	 D00521	 D00524	 D00528	 D00530	 D00533	 D00536	 D00537	 D00538	 D00539	 D00542	 D00543	 D00544	 D00545	 D00546	 D00547	 D00548	 D00549	 D00550	 D00552	 D00553	 D00560	 D00563	 D00574	 D00593	 D00594	 D00607	 D00611	 D00615	 D00616	 D00617	 D00618	 D00619	 D00629	 D00631	 D00633	 D00636	 D00638	 D00639	 D00640	 D00642	 D00647	 D00648	 D00649	 D00650	 D00651	 D00654	 D00656	 D00658	 D00677	 D00678	 D00694	 D00697	 D00704	 D00708	 D00709	 D00711	 D00726	 D00732	 D00733	 D00735	 D00738	 D00739	 D00740	 D00741	 D00759	 D00760	 D00761	 D00765	 D00771	 D00775	 D00779	 D00791	 D00798	 D00799	 D00809	 D00812	 D00816	 D00823	 D00831	 D00960	 D00963	 D00964	 D01071	 D01108	 D01111	 D01118	 D01242	 D01243	 D01253	 D01256	 D01275	 D01287	 D01295	 D01350	 D01448	 D01450	 D01453	 D01575	 D01599	 D01603	 D01712	 D01768	 D01799	 D01828	 D01854	 D01969	 D02041	 D02086	 D02087	 D02088	 D02092	 D02098	 D02101	 D02163	 D02173	 D02204	 D02207	 D02234	 D02237	 D02253	 D02261	 D02262	 D02272	 D02347	 D02356	 D02360	 D02362	 D02409	 D02461	 D02485	 D02546	 D02566	 D02630	 D02914	 D03037	 D03180	 D03274	 D03365	 D03450	 D03580	 D03742	 D03826	 D03830	 D03878	 D03991	 D04034	 D04048	 D04370	 D04790	 D04985	 D04999	 D05024	 D05077	 D05156	 D05453	 D05458	 D05461	 D06106	 D06172
D00035	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00110	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00136	0.00000	0.00000	1.00000	0.00000	0.00000	0.01560	0.00000	0.11650	0.00000	0.08880	0.12440	0.13630	0.08810	0.00130	0.00000	0.00000	0.14370	0.00330	0.00000	0.00000	0.00030	0.00020	0.00000	0.00000	0.00030	0.00000	0.00000	0.18450	0.00000	0.00000	0.00000	0.35260	0.00040	0.00040	0.00000	0.00010	0.00000	0.00520	0.00060	0.03740	0.11500	0.00000	0.00000	0.00000	0.03340	0.00000	0.00000	0.00000	0.01290	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.03230	0.00000	0.13740	0.01610	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160	0.00080	0.00000	0.00000	0.30900	0.05870	0.00000	0.00030	0.00000	0.00000	0.00000	0.00010	0.09430	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.06410	0.00000	0.00000	0.00160	0.00000	0.00000	0.00000	0.00030	0.00010	0.00000	0.09680	0.11500	0.00000	0.00000	0.00000	0.00000	0.06600	0.00120	0.11150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.20320	0.35260	0.26180	0.11450	0.06940	0.00000	0.14370	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03340	0.00000	0.00000	0.00000	0.00990	0.00000	0.00000	0.00000	0.26180	0.00000	0.00000	0.00000	0.07590	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12440	0.00000	0.00000	0.20320	0.00090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.08470	0.04590	0.00000	0.00000	0.00000	0.00000	0.00110	0.00000	0.00010	0.00000	0.00000	0.33200	0.00000	0.00000	0.00000	0.00000	0.00000	0.09430	0.00000	0.00000	0.33200	0.01590	0.09680	0.00000	0.00000	0.00000	0.00000	0.04090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00195	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00219	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00225	0.00000	0.00000	0.01560	0.00000	0.00000	1.00000	0.09400	0.02420	0.00000	0.02140	0.21470	0.01420	0.01410	0.00050	0.00000	0.05590	0.06630	0.00170	0.00000	0.00000	0.00000	0.00010	0.00000	0.15070	0.01690	0.00000	0.00000	0.02100	0.01660	0.00000	0.00000	0.02490	0.00000	0.00000	0.00000	0.02870	0.00000	0.01220	0.00000	0.04890	0.01420	0.00000	0.00000	0.00010	0.01950	0.00000	0.00310	0.00000	0.01640	0.00180	0.00000	0.00000	0.00000	0.00000	0.00000	0.09140	0.00000	0.03750	0.02180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00910	0.08840	0.00000	0.00000	0.15140	0.01270	0.00000	0.01510	0.00000	0.00000	0.00000	0.09380	0.00070	0.00000	0.00000	0.09890	0.00000	0.00000	0.00000	0.05380	0.07200	0.00000	0.00360	0.00010	0.00030	0.08130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01420	0.00000	0.00000	0.00000	0.00000	0.09070	0.00060	0.11840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01090	0.02490	0.03010	0.03570	0.01890	0.02770	0.06630	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01950	0.00000	0.00000	0.00000	0.05410	0.00000	0.00000	0.00000	0.03010	0.00810	0.00000	0.00000	0.00720	0.00000	0.08280	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01660	0.00000	0.00000	0.21470	0.00000	0.00000	0.01090	0.08520	0.00000	0.00000	0.00020	0.00000	0.00310	0.00000	0.00000	0.00010	0.00000	0.09890	0.13130	0.07330	0.00000	0.00000	0.00000	0.00000	0.04070	0.00000	0.09380	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00070	0.00000	0.01730	0.00000	0.01310	0.00000	0.00000	0.00000	0.00000	0.00000	0.02140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00227	0.00000	0.00000	0.00000	0.00000	0.00000	0.09400	1.00000	0.00010	0.00000	0.00000	0.16860	0.03960	0.02820	0.04590	0.00000	0.00000	0.01960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06060	0.00010	0.00000	0.03010	0.00000	0.00000	0.00000	0.00060	0.00000	0.00000	0.00000	0.00000	0.00000	0.02020	0.00000	0.01330	0.08800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01260	0.00000	0.00000	0.02640	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08960	0.03720	0.00000	0.00000	0.00000	0.00810	0.00000	0.00000	0.00000	0.00000	0.00000	0.36740	0.02580	0.01620	0.00000	0.00000	0.00000	0.00000	0.00000	0.03240	0.01620	0.00000	0.09160	0.00040	0.05930	0.23580	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.08800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03340	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00060	0.00000	0.00000	0.01330	0.00000	0.01960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06730	0.00000	0.00000	0.00000	0.00000	0.01950	0.00000	0.00000	0.00000	0.00000	0.88010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.16860	0.00000	0.00000	0.00000	0.03010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00020	0.02040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.36740	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.02580	0.00000	0.02200	0.00040	0.01600	0.00010	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00228	0.00000	0.00000	0.11650	0.00000	0.00000	0.02420	0.00010	1.00000	0.00000	0.01800	0.05850	0.08250	0.00340	0.00590	0.00600	0.00000	0.03870	0.00000	0.00010	0.00000	0.06390	0.04720	0.00000	0.00010	0.00310	0.00780	0.00000	0.00050	0.03070	0.00000	0.00000	0.25450	0.07380	0.07380	0.00000	0.80020	0.00000	0.00320	0.00000	0.02440	0.03610	0.00000	0.00000	0.00000	0.00430	0.00000	0.00580	0.00000	0.00040	0.03820	0.00020	0.00000	0.00000	0.00000	0.00000	0.00160	0.00000	0.00000	0.00070	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02370	0.00280	0.00000	0.00000	0.15120	0.00930	0.00000	0.05650	0.00000	0.00000	0.00000	0.00030	0.02080	0.03410	0.00000	0.08860	0.00000	0.00000	0.00000	0.02250	0.00000	0.00420	0.02170	0.00080	0.05060	0.00000	0.00000	0.00000	0.00000	0.00080	0.00020	0.00000	0.00010	0.03610	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11620	0.00000	0.00000	0.00000	0.03780	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.17690	0.25450	0.09820	0.54840	0.51520	0.77150	0.03870	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00430	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.09820	0.02840	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03070	0.00000	0.00000	0.05850	0.00000	0.00000	0.17690	0.00250	0.00000	0.00000	0.00010	0.00000	0.00580	0.00000	0.00000	0.00080	0.00000	0.08860	0.04670	0.03370	0.00000	0.00000	0.00000	0.00000	0.68930	0.00000	0.00030	0.00000	0.00000	0.12320	0.00000	0.00000	0.00000	0.00000	0.00000	0.02080	0.00000	0.00000	0.12320	0.02210	0.00010	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00234	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00252	0.00000	0.00000	0.08880	0.00000	0.00000	0.02140	0.00000	0.01800	0.00000	1.00000	0.08100	0.07750	0.01700	0.02110	0.01300	0.04290	0.07110	0.00040	0.00500	0.00000	0.09780	0.07210	0.00000	0.00770	0.00490	0.00000	0.00000	0.11890	0.08620	0.00000	0.00000	0.02630	0.11280	0.11280	0.00000	0.02140	0.01110	0.06110	0.01590	0.01230	0.01120	0.00000	0.00000	0.00470	0.01530	0.00000	0.15640	0.00000	0.13270	0.00600	0.01290	0.00000	0.00000	0.00010	0.00000	0.09480	0.00000	0.10500	0.03190	0.02060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06010	0.01170	0.00000	0.00000	0.08440	0.04010	0.00000	0.08630	0.05210	0.00000	0.00040	0.00030	0.09030	0.00000	0.00000	0.02180	0.00000	0.00000	0.07980	0.00280	0.01050	0.00880	0.04980	0.01330	0.01030	0.00720	0.00000	0.00000	0.00000	0.01510	0.00280	0.00000	0.00110	0.01120	0.00000	0.00000	0.00000	0.00000	0.12730	0.00630	0.08770	0.00000	0.00000	0.00000	0.05730	0.00000	0.00120	0.00000	0.00090	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01400	0.02630	0.03040	0.03280	0.06160	0.02070	0.07110	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01530	0.00000	0.00000	0.00000	0.04790	0.00000	0.00000	0.00000	0.03040	0.09670	0.00010	0.00000	0.08580	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08620	0.00000	0.00000	0.08100	0.00000	0.00000	0.01400	0.05420	0.00000	0.00000	0.00820	0.00000	0.15640	0.00000	0.00000	0.01330	0.00000	0.02180	0.07870	0.13290	0.00000	0.00000	0.00000	0.00000	0.03070	0.00000	0.00030	0.00000	0.00000	0.00480	0.00000	0.00000	0.00000	0.00000	0.00000	0.09030	0.00000	0.01650	0.00480	0.08010	0.00110	0.00000	0.00000	0.00000	0.00000	0.13150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
