hsa10161	hsa10800	hsa11255	hsa1128	hsa1129	hsa1131	hsa1132	hsa1133	hsa1234	hsa1241	hsa1268	hsa134	hsa135	hsa136	hsa140	hsa146	hsa147	hsa148	hsa150	hsa151	hsa152	hsa153	hsa154	hsa155	hsa1812	hsa1813	hsa1814	hsa1815	hsa1816	hsa185	hsa1909	hsa1910	hsa222545	hsa23620	hsa2550	hsa2846	hsa2911	hsa2912	hsa2913	hsa2914	hsa2915	hsa2916	hsa2917	hsa2918	hsa3269	hsa3274	hsa3350	hsa3351	hsa3352	hsa3354	hsa3355	hsa3356	hsa3357	hsa3358	hsa3360	hsa3361	hsa3362	hsa3363	hsa338442	hsa3577	hsa4543	hsa4985	hsa4986	hsa4988	hsa5028	hsa5029	hsa5030	hsa5031	hsa5032	hsa552	hsa554	hsa56413	hsa57105	hsa5724	hsa5729	hsa5731	hsa5732	hsa5733	hsa5737	hsa5739	hsa59340	hsa6010	hsa64805	hsa6751	hsa6752	hsa6753	hsa6755	hsa6915	hsa7201	hsa8843	hsa886	hsa887	hsa9052	hsa9283	hsa9934
hsa10161	1	0.991578486955046	0.937284632260691	0.951798423694506	0.98229858197871	0.976632247366962	0.967314061096255	0.968503793079463	0.985938714550559	0.919681424483911	0.981922945435444	0.96381371398996	0.951412245851649	0.962781125470816	0.981246866087804	0.91908825573622	0.954988572097761	0.976713070468905	0.938482906387922	0.942177882904482	0.915017913108804	0.917993816053372	0.980664151739723	0.897518769503648	0.981509886464125	0.979370738783743	0.969683718954864	0.885651553805857	0.968182406373411	0.980854559350804	0.98486762590412	0.969175836161066	0.985917438128433	0.935440222140351	0.962728939541925	0.994966300289288	0.964800768178868	0.950458104552378	0.978650671012239	0.965865090310916	0.961984723464893	0.946187105552037	0.968832024356057	0.97335317113574	0.973898573824331	0.976762520150678	0.962635653836657	0.974490076105769	0.96344893564884	0.973560497888083	0.977934422145073	0.979135774765501	0.981467090915041	0.977341609982013	0.981310628236618	0.972266077449621	0.913597203626783	0.972482899155965	0.979232474827885	0.968620957747508	0.972101231952987	0.953463010447341	0.983512298310204	0.98538510263359	0.983131927861356	0.942048118290291	0.947576493991609	0.924398896301623	0.909225944194202	0.972471308552107	0.923399388882328	0.870834792732084	0.980865877157624	0.989907085693871	0.944536074506156	0.870328399440128	0.945402202209739	0.958606532211426	0.974165888008492	0.913972269282149	0.962340144872336	0.973002510721853	0.991317285771306	0.965361151443085	0.989536338763002	0.941744216267943	0.936238367882895	0.922513260983546	0.990578124435902	0.981475334644687	0.976299162338475	0.932662064962531	0.968671717419221	0.952760041491448	0.986937177876823
hsa10800	0.991578486955046	1	0.949149834189612	0.960892329270308	0.982099743248279	0.979263983219298	0.971247549015234	0.97643715293221	0.989136165277061	0.934570939286203	0.989219943776949	0.974834848214992	0.962921651644686	0.972371078391287	0.986083977921402	0.932944044434908	0.964402907945822	0.98536555984768	0.94544247058572	0.951161174990059	0.923037587442538	0.930588723560395	0.984917709742496	0.91122832080036	0.980142130098935	0.984499357358986	0.978247734560344	0.90284348301072	0.970184124665663	0.984285425149714	0.985905373414834	0.980226170173879	0.985653682903817	0.953059442278413	0.972781390064451	0.987116984613991	0.974494443183332	0.958606879457396	0.983561540769318	0.974413238973969	0.969923669729632	0.955511770361621	0.975663975793291	0.97829218188031	0.985126157508426	0.980289261355358	0.97118262077682	0.978707901346603	0.96336927839627	0.974782744357742	0.982642470544463	0.983587838157736	0.985531966243241	0.980405943443514	0.985435529683025	0.978455410725057	0.928996799616438	0.98155432329322	0.983535055804051	0.978907339728592	0.978639120825381	0.962048459078138	0.983753331400479	0.979993593661602	0.987090856887664	0.95298072015844	0.959720302442941	0.938255512683047	0.929230766316794	0.975467072623425	0.936960149990511	0.893747783989384	0.98617713556442	0.992488016884294	0.957354865496402	0.888333966210365	0.952164290169708	0.966039818858719	0.982004038066537	0.93105512787411	0.964944028231604	0.974977946646904	0.98984949690456	0.972847714490903	0.989780201661458	0.951309788116835	0.949894470188316	0.937032208650401	0.990135551494199	0.986567242756494	0.979472999794291	0.945527756391244	0.979413757003787	0.964681785189489	0.988954828326533
hsa11255	0.937284632260691	0.949149834189612	1	0.986685790939982	0.951875438629136	0.971066988291011	0.974122846863284	0.97304648582228	0.959548713141072	0.987982379001629	0.970487424322524	0.968264082948846	0.986047797250595	0.975317190137129	0.953449760261598	0.987711420451424	0.992194182059803	0.978141737364701	0.984328998254835	0.98894890460251	0.985548530709616	0.987074709406249	0.968078938980619	0.979121368766602	0.974102953938509	0.966840989689245	0.980540982275078	0.972264312822982	0.979600257517398	0.951980242448519	0.950646033094079	0.975419958854958	0.954784188973368	0.985106712670741	0.979779781450874	0.95397609620379	0.978916528651652	0.99359411821391	0.975814874815605	0.981533888587291	0.98137488103024	0.989457240050441	0.969151872835172	0.970182114290091	0.973427328400684	0.974773692445844	0.985461189264482	0.974810952745679	0.970062664397368	0.958864627164884	0.959057341732829	0.963498899189424	0.963474257745681	0.957555696834094	0.973058359190774	0.982843737351683	0.984615733844884	0.984475238359547	0.965528561260682	0.970455484888319	0.963512121404725	0.985090312937675	0.963862125766834	0.960155107945208	0.975643320453225	0.982270344743464	0.980960716152647	0.977093063093091	0.988303551638458	0.980301279707515	0.992421053636767	0.974983516241783	0.965483339627894	0.954808085781942	0.985530425577025	0.978898343154729	0.986646656305801	0.988289243150294	0.969369543204969	0.990850606846854	0.967575300108887	0.96502612575128	0.941983152243193	0.98228492802819	0.960130379980007	0.979155955968595	0.980732488934601	0.985355119919912	0.955755209508971	0.965497770787604	0.977864111111805	0.986368774837915	0.980376931631323	0.9859668304342	0.939428022765518
hsa1128	0.951798423694506	0.960892329270308	0.986685790939982	1	0.970375720176946	0.984251826805465	0.985918733558701	0.991913519651035	0.966637002191216	0.970883895567563	0.976912153771675	0.969439273312391	0.977747616499034	0.973037926653368	0.961758954543797	0.971108246398009	0.991676547120189	0.981124268381284	0.98216410192561	0.987223313897691	0.964354891535622	0.975522101368544	0.974276100589427	0.967373967083871	0.977727927991834	0.98166645086879	0.985880133855429	0.958324418998862	0.97880700523286	0.962263563912906	0.96738649811407	0.986263935269742	0.970656691059012	0.979381213951199	0.991462634724805	0.966962177177764	0.988026874867453	0.987622120579046	0.985382740399434	0.989696584900027	0.985927946660134	0.989785337096362	0.983136016892117	0.982560763075076	0.986622564059284	0.982720262522778	0.99052114777464	0.984753023733928	0.973877434342481	0.975582025316048	0.973157449255683	0.972666109415208	0.980948565835295	0.970010518191312	0.980844391171853	0.984475221772346	0.97559059816057	0.987899981881134	0.969048028534115	0.972617124098451	0.961043286419695	0.980217284082374	0.970691856877313	0.975212818798539	0.978210274280826	0.978852585453463	0.978932139583895	0.973814201306066	0.970813204676672	0.98363855967208	0.979101449009932	0.956602907199904	0.973342196870138	0.964334173309786	0.978577041335699	0.951717092590315	0.981468900868986	0.989431741682834	0.971254461181691	0.97179406908177	0.959725681029497	0.968239540036948	0.961798349357796	0.98025292512477	0.971993548855269	0.976518961753556	0.969564283857278	0.974958477047305	0.968694965961526	0.968624785612933	0.987854505731062	0.981070697851745	0.986437554187417	0.991132492829632	0.951477697413168
hsa1129	0.98229858197871	0.982099743248279	0.951875438629136	0.970375720176946	1	0.988640571292443	0.98709684512361	0.987694237263127	0.972841295673839	0.930424552141259	0.984562506364359	0.971700816491606	0.965307639141571	0.970324990083883	0.970348629877671	0.940607168870424	0.96854825931529	0.980894077645554	0.958402780563226	0.958840291442099	0.932702711301613	0.942600351807923	0.98477507840542	0.921757215927646	0.987079254064903	0.987936938853382	0.977211783951884	0.916709671303476	0.982309738795523	0.974162725988885	0.980778472016171	0.978436482163168	0.986035459574451	0.946226236272159	0.978192913543324	0.981215784986124	0.98181590043886	0.964575569911182	0.98665555258091	0.980358421708578	0.98152734643677	0.967916873098667	0.986559228756871	0.986022751862955	0.980930028566497	0.980705897179123	0.980817782415182	0.985339528670707	0.969368699228077	0.973142629525323	0.98035653743879	0.983258134307926	0.986439189881479	0.9845033125535	0.983100383205079	0.974474233715273	0.931536196886673	0.982788076131701	0.968753414895317	0.962529375229016	0.974246810249995	0.968408259681527	0.984836058640014	0.989367696074145	0.980836570003153	0.946851275161208	0.947044169590976	0.938034401121244	0.932144095308902	0.984131050807151	0.94172047742057	0.893930201271439	0.971249074704085	0.981567138838307	0.940049667157127	0.893678504091902	0.947018396659316	0.965030306865535	0.972495745676986	0.92859364462265	0.953022294328286	0.975030473067169	0.977789588083158	0.976105743453513	0.990726438817033	0.957482734505305	0.952260662439117	0.930062995683864	0.98978589644328	0.972231378630172	0.979050299667242	0.945106772389896	0.970277354488243	0.967266334224641	0.974700036729542
hsa1131	0.976632247366962	0.979263983219298	0.971066988291011	0.984251826805465	0.988640571292443	1	0.984743613413393	0.992638110340522	0.977218692224685	0.950533815107709	0.990219675438331	0.967558735932859	0.968508779132118	0.968544919709565	0.970229348558851	0.950413873160578	0.98175455633691	0.986089937112122	0.966101119879681	0.973268534086972	0.944999079411285	0.953283316619143	0.985647474359717	0.932159302679834	0.991574177566192	0.98708951687427	0.980890626783979	0.923209044808287	0.982135598623518	0.977043935520737	0.981629881314172	0.984289530866213	0.988571377241507	0.960208686846427	0.989148640896237	0.984149046160758	0.988054564455125	0.977221909809982	0.992218058181172	0.987839719275267	0.989894524472997	0.977014699496266	0.988025529955218	0.990027241990084	0.991720914714732	0.985124752703505	0.984940034869653	0.990218368196832	0.982708167492881	0.984709225845199	0.98752909999165	0.991677736698757	0.991968596158868	0.975378303243047	0.984846198629928	0.983907105373597	0.951169930754519	0.98656525387279	0.976452705929766	0.970132858783748	0.967038862228194	0.970576064057699	0.982111610157452	0.986399376372531	0.985521027601844	0.959756940913361	0.962383207279128	0.950522800189993	0.946289793284386	0.98840812709464	0.958525070308804	0.915547006950824	0.979313042856465	0.976808228427954	0.96179912544758	0.918095849609483	0.970305651932548	0.983416789993029	0.983277032745058	0.949238900900169	0.975753729464647	0.970507083853726	0.979698107340005	0.975625220465639	0.987732544853562	0.959158051795936	0.952269209054199	0.951306239986252	0.985086134303212	0.978571721265479	0.990038196412013	0.957510025206043	0.982662158099931	0.977746804439189	0.976974282516042
hsa1132	0.967314061096255	0.971247549015234	0.974122846863284	0.985918733558701	0.98709684512361	0.984743613413393	1	0.992184375441199	0.971118955593566	0.959963393984366	0.980338176683732	0.980312257115123	0.977744877073824	0.981667933533845	0.965217184777466	0.964080729860143	0.979657490242017	0.979239152923436	0.977222340209143	0.97880649545957	0.96166653009127	0.973995497130076	0.978140213947605	0.962889961087698	0.985538563032002	0.989106341667652	0.986118556083457	0.955983888073875	0.987393142177655	0.967895295529735	0.969081280706909	0.980958462236916	0.97483982094068	0.969577775054567	0.980247635577428	0.974547869214851	0.982357720380304	0.981824848507255	0.983183346399459	0.983079344178096	0.980768543882752	0.984598008219932	0.984465057057878	0.981927939063701	0.978303917285359	0.984735438863047	0.988770041326329	0.990572581435593	0.97402998565379	0.972966952796203	0.972826931922731	0.972539795578565	0.982611043984765	0.979533961093296	0.984298151782735	0.983555721136373	0.962634111811892	0.987223061092042	0.968022437031399	0.96776396115005	0.973998172305757	0.986956722890037	0.980428902462554	0.985025557440947	0.982014913837786	0.969994783412343	0.965586962178308	0.972119718878963	0.965447168999522	0.98998603061885	0.971579758789042	0.936571079288029	0.969243756562442	0.978219837084171	0.960911908081887	0.935642514220711	0.966177990909291	0.977813652264844	0.969205244413387	0.960013346408783	0.956124953328043	0.980729291232688	0.967412165666392	0.982208416922065	0.979446053778297	0.976994143007788	0.976518330152107	0.958236392258344	0.980203120457252	0.969233677385109	0.981753466415165	0.969327703989075	0.978202328111116	0.97968484166573	0.95927156384159
hsa1133	0.968503793079463	0.97643715293221	0.97304648582228	0.991913519651035	0.987694237263127	0.992638110340522	0.992184375441199	1	0.973136081712727	0.954072586708008	0.985199007490246	0.974022951995686	0.97195494648643	0.974929696579537	0.968224026110021	0.957866205287865	0.982340637825585	0.984179847925815	0.971225545888579	0.978371616593596	0.950643542997533	0.963297411000168	0.981644120578702	0.948349535758521	0.985602253353321	0.990811244832727	0.986399989446288	0.940170540170156	0.981934131344832	0.971298477322656	0.977292952173064	0.987594648195797	0.981610659789316	0.969400431140476	0.99030712911899	0.975442769574157	0.988921822987852	0.981009324399062	0.990820258407561	0.989026708984699	0.987554674968837	0.982974168522732	0.989524774842871	0.989023237250674	0.990442331271929	0.986599326144859	0.989118589886407	0.991837082048233	0.976745650330988	0.981502843601906	0.984352119298425	0.981886711303346	0.987786707321416	0.978199208524423	0.985343076964274	0.984542634843443	0.956048055525022	0.988656059429085	0.969712475854798	0.970380413852758	0.968465690126585	0.978261989834264	0.979000327866779	0.983833599557348	0.983170170949035	0.970119292202841	0.96910203968832	0.964838863156882	0.958715086709024	0.987247905143372	0.965254739252167	0.929365015070268	0.975789949107592	0.97588780255048	0.963627730767726	0.925236514240816	0.968863047984951	0.981955874559061	0.975721691947105	0.953740749936136	0.96176259436783	0.972365673098687	0.972478985511365	0.97837168503106	0.981923379388533	0.969873262444592	0.963472162877217	0.954680103820087	0.982957509897205	0.972559810733587	0.985872699613784	0.965354689922198	0.982914111011481	0.983894128653416	0.966759288595285
hsa1234	0.985938714550559	0.989136165277061	0.959548713141072	0.966637002191216	0.972841295673839	0.977218692224685	0.971118955593566	0.973136081712727	1	0.946969817772208	0.988178642294316	0.981757252100114	0.975986872947374	0.980158441430658	0.988128439412265	0.937350575470309	0.969046559934122	0.983075249460531	0.956339253621932	0.967942172023507	0.935515933390725	0.939205722874811	0.989118696584831	0.924159119042182	0.980447729044083	0.98112349131415	0.980508491106713	0.913693302819808	0.975125992544827	0.98953801198274	0.983571497354129	0.983170747438496	0.988483451470929	0.956842538657629	0.976033309599934	0.988183199405313	0.974817089351928	0.968068546695482	0.985349534845725	0.977319999720977	0.969045141041132	0.963981148528295	0.978698687869701	0.980341379722774	0.981849677524336	0.987315988407414	0.976797367903762	0.980483311037811	0.976334738055861	0.981298798099497	0.981670677121186	0.981108292917189	0.988077543584601	0.981112509487119	0.991532141296349	0.981140795662702	0.942787578386574	0.984664290431409	0.988462391297897	0.985384785418785	0.980952862812303	0.965325848511659	0.982546168630364	0.980338765856281	0.988894201397672	0.959045163120373	0.966509278290941	0.956692701521046	0.940364203080004	0.973666984688972	0.946788950355275	0.913541641751233	0.990343316166714	0.994316902600394	0.967465922361467	0.90630835595137	0.965800497631673	0.973323359025587	0.985806246666806	0.944687409056887	0.963464666121922	0.982159613106777	0.989692115754803	0.974181421223211	0.987479563414399	0.952776257407059	0.954988810881175	0.954487402998178	0.988701278546041	0.99004984923147	0.981775780837135	0.95492056033567	0.986102019647829	0.971456663133694	0.986712884295157
hsa1241	0.919681424483911	0.934570939286203	0.987982379001629	0.970883895567563	0.930424552141259	0.950533815107709	0.959963393984366	0.954072586708008	0.946969817772208	1	0.958071061273441	0.960528420082524	0.976691255256362	0.974408283388085	0.95220069215707	0.978699281530147	0.977041562465657	0.961893229496662	0.962289772832332	0.970850260475815	0.976640673031341	0.976735157791227	0.949415030172709	0.980132488926294	0.957300506479101	0.95041229516696	0.974100031555147	0.966603982385713	0.958849461406687	0.937837777062671	0.933127442984004	0.960083941206678	0.931822884592842	0.987286761995845	0.958413123875136	0.940234795062817	0.955320811419027	0.979823425222928	0.954206668757152	0.959581961742106	0.956721341444423	0.973597726203373	0.943846685286982	0.943884637775744	0.954866420016104	0.968169839572159	0.972416973785811	0.961684080602034	0.958362921314131	0.945142073366987	0.945435143777379	0.950182901092457	0.950049039482333	0.944867202460344	0.957544444215719	0.976969112059084	0.983788034149443	0.968825175715256	0.951214615351078	0.970668838547852	0.958562161068982	0.977776345391397	0.946885526493139	0.94067477664126	0.964700103995513	0.98152196590399	0.979408482935216	0.972084398257395	0.985445073295531	0.959947666618032	0.990013766137842	0.985476209084951	0.959665623071399	0.942761656436139	0.985304131510055	0.988442218641619	0.984028338205094	0.981692342506814	0.963336851206036	0.989154527326899	0.955966666256615	0.944056986015183	0.926547613081992	0.975159452550452	0.945411027879919	0.971736051259426	0.983283454835871	0.991373076386907	0.942469947935536	0.949709987204676	0.964058190719167	0.986309528897016	0.971211562055275	0.972896332632494	0.923132872966461
