hsa10161	hsa10800	hsa11255	hsa1128	hsa1129	hsa1131	hsa1132	hsa1133	hsa1234	hsa1241	hsa1268	hsa134	hsa135	hsa136	hsa140	hsa146	hsa147	hsa148	hsa150	hsa151	hsa152	hsa153	hsa154	hsa155	hsa1812	hsa1813	hsa1814	hsa1815	hsa1816	hsa185	hsa1909	hsa1910	hsa222545	hsa23620	hsa2550	hsa2846	hsa2911	hsa2912	hsa2913	hsa2914	hsa2915	hsa2916	hsa2917	hsa2918	hsa3269	hsa3274	hsa3350	hsa3351	hsa3352	hsa3354	hsa3355	hsa3356	hsa3357	hsa3358	hsa3360	hsa3361	hsa3362	hsa3363	hsa338442	hsa3577	hsa4543	hsa4985	hsa4986	hsa4988	hsa5028	hsa5029	hsa5030	hsa5031	hsa5032	hsa552	hsa554	hsa56413	hsa57105	hsa5724	hsa5729	hsa5731	hsa5732	hsa5733	hsa5737	hsa5739	hsa59340	hsa6010	hsa64805	hsa6751	hsa6752	hsa6753	hsa6755	hsa6915	hsa7201	hsa8843	hsa886	hsa887	hsa9052	hsa9283	hsa9934
hsa10161	1	0.1251852016966	0.0701326171319894	0.0658097321831308	0.075849786644233	0.0986855773720332	0.0747908730787402	0.068474752121846	0.0992170483717847	0.0579759063181795	0.0792959989931311	0.0730113820496577	0.0782679143580427	0.0779851714306093	0.0943811169132086	0.0775905355960805	0.078630310726944	0.0899214766349925	0.0581176250565504	0.0496368084210798	0.0697050744068494	0.0683064403094479	0.0824645379756098	0.0702335991082019	0.1299056098268	0.0687130617461179	0.104114881555499	0.0568248557920575	0.104160383918398	0.0950111969207948	0.058099789679142	0.0810860170736027	0.123206443965877	0.0537125209240263	0.093089195373381	0.288764026093331	0.075895685968062	0.100105146072009	0.103497832285114	0.0940244857017367	0.0823796133108418	0.0704205744821146	0.0952792418114416	0.0872663808576171	0.0664853514372756	0.0786818112310224	0.0722447833876443	0.0605676743107505	0.0620460105263498	0.092677064974697	0.0869795667164306	0.0901830035371192	0.101944205537156	0.0927079963030915	0.0674073784881501	0.0679739142842012	0.0517978105024662	0.0806515843505921	0.123198008823951	0.0936043043870755	0.0652743739288058	0.0880108453286583	0.142903649165095	0.113763845985975	0.133434816375688	0.116373002344537	0.0892038995175533	0.101076699697481	0.0707359154086566	0.0697906268370641	0.0404228327213969	0.0618900279376593	0.139903885078321	0.118322329067131	0.0579056750309591	0.0523944393286879	0.0850617175208644	0.0541563175328442	0.0774271543455315	0.0658017098796471	0.0627282343733438	0.0771374813480779	0.122081628441001	0.0845109906101162	0.0739118024574013	0.0649842656002333	0.0686093184643539	0.0529988812667151	0.0814231745240123	0.116949572499937	0.0706510424072999	0.0736618501008153	0.0622593754235207	0.0846155880184849	0.0909118509667031
hsa10800	0.1251852016966	1	0.0847368201198321	0.0892785973342634	0.0612854965210829	0.0743025817930815	0.0917639376365509	0.076004188790721	0.103606215872792	0.128235483391585	0.108342683136486	0.0852917445323071	0.0936878631914495	0.0848192104556606	0.0823107997207991	0.0917970652168941	0.0820547779506119	0.107502804708843	0.0591325158907593	0.0610251848702182	0.0790277206784084	0.0758173695271413	0.0962435022702358	0.0852910484265954	0.113623360237096	0.116521629243321	0.123588510296666	0.081372315276059	0.0631366077004326	0.122797470667207	0.0788191587459329	0.0893771646294185	0.132226890921683	0.102172649108436	0.0902045565321526	0.131439806619713	0.113868298183452	0.0763899393913211	0.0839150686650248	0.106827488246003	0.0982244344263171	0.109033077497864	0.0985323056641747	0.107816777996233	0.0676463653933206	0.0800558083439399	0.0592793327372238	0.0838104754937958	0.0732302218442618	0.0785795475410537	0.078086880944303	0.0917578425571616	0.130782973093753	0.0805229877629089	0.0787451592368644	0.0904412064394758	0.0768575795912563	0.0820599790267716	0.104013314556449	0.108844444078001	0.127515342612668	0.0639626804247922	0.093470871323361	0.10065258283283	0.0999025096150758	0.11840518953928	0.106320779146419	0.0730717854393247	0.0818982116603942	0.0905981487565926	0.0822574492994736	0.094456192685321	0.102806155900592	0.112180246086519	0.0845328927512179	0.0682360164728992	0.0760565644321255	0.0801484119704384	0.089283140658728	0.0669507856061096	0.098636532859978	0.0893099599813969	0.103070779648257	0.0933570764623291	0.085575261264191	0.0826488331748772	0.0997248894658508	0.0847383192819674	0.107949601811055	0.106057933802047	0.0886579207254142	0.081372315276059	0.0976593299729923	0.0968548555282575	0.0845708961216465
hsa11255	0.0701326171319894	0.0847368201198321	1	0.150596941363284	0.0896499628973161	0.123930549611989	0.163905347522993	0.088597228261528	0.102738683089955	0.211034345046836	0.0834582621760975	0.124515358990651	0.117562309568727	0.105814533477007	0.0835318735823602	0.211495806246995	0.14853933912256	0.111042410445617	0.154980114064547	0.122937502616896	0.206752831634624	0.155963744376388	0.0852846818668981	0.163122966980554	0.141194636727153	0.128477263786372	0.105844214784436	0.148008717164656	0.128022774537242	0.0945930376174529	0.0741205569769646	0.116914556765491	0.094671399206701	0.109488664180808	0.174426019462967	0.0805851955155753	0.152927945357647	0.141427418928082	0.116434896473171	0.118077093941218	0.170266924821215	0.151236692048177	0.118998991329393	0.0913251529954446	0.103902541653414	0.0988095765358595	0.115114555637918	0.12778352637515	0.0893461286624199	0.116384986586654	0.0685364699004991	0.101927622480164	0.0964809315353126	0.0889743095072593	0.0961468223398273	0.102872719263181	0.162620802735646	0.123469094524863	0.0921697801162806	0.0850833934276748	0.113668330227184	0.172629666163881	0.0790479199317338	0.101455581496138	0.11382049836871	0.105720202773738	0.123759121920814	0.111345043983723	0.149072752611969	0.0765625038833832	0.13138784482489	0.197294943900237	0.119297717600154	0.0765466837918775	0.105389350341398	0.180724005556396	0.114374578752845	0.158690380191131	0.0950732084064502	0.110179451249166	0.140839937818756	0.118025746622746	0.0761121395620113	0.137463529641755	0.0746822287453187	0.130184241456775	0.168217957940351	0.1457907360785	0.0929565581242899	0.0979111313781621	0.141959102829192	0.0986724781097705	0.106419944532175	0.115116392811735	0.0848106697976697
hsa1128	0.0658097321831308	0.0892785973342634	0.150596941363284	1	0.26171927812308	0.344016480616226	0.287558702895909	0.352975692084861	0.0875175052517506	0.135186061683733	0.112012753640313	0.0951718096322071	0.113812270483451	0.0991514206902472	0.101686152102495	0.143646857998013	0.118264842155332	0.107376817010244	0.140692494214021	0.154246332170595	0.103471387280445	0.105805874254979	0.0833305793772747	0.155678742347553	0.120316677734953	0.0690959795584028	0.101786886603589	0.148144692128717	0.103997996466061	0.0925281230149725	0.0741886512099543	0.132121574131999	0.123044455023592	0.156556072771287	0.152298655731766	0.0594331159459909	0.183250948811192	0.137625199135381	0.108411036935468	0.148388550071414	0.166108833156813	0.13469865607258	0.113872784846845	0.117525925306146	0.115140638944568	0.0947795044443094	0.134749177129676	0.123840573860537	0.0935876622158666	0.0949193332324643	0.0943242218283799	0.0699034579425395	0.120711960183821	0.0928456689592212	0.100419289050687	0.135829109253488	0.133833277001929	0.0926868937833336	0.057109901390277	0.127742338756173	0.0787657547265756	0.0948228257670325	0.0791205409116173	0.0932590912932944	0.0801694900198227	0.120341274370532	0.106786912833881	0.102531549295589	0.116506208092377	0.10284933993791	0.127523442682081	0.17553439813886	0.0651312632148633	0.078870448276333	0.139241745823903	0.126447403745336	0.127439615030992	0.115517213347279	0.0929978119366056	0.128004352161367	0.0764579399899354	0.082471028781235	0.0870652153751439	0.121402779518779	0.0512577181602628	0.116690007002334	0.0800796032047696	0.13323557135882	0.124055942546034	0.0639137490706142	0.140116054482805	0.15696282856495	0.106517712071887	0.111676852825523	0.0914184761439011
hsa1129	0.075849786644233	0.0612854965210829	0.0896499628973161	0.26171927812308	1	0.292665641339837	0.423659485552523	0.263476330751207	0.0823271800525921	0.0816285564843033	0.108121003258892	0.112917614492891	0.0843552484810889	0.107708679273223	0.1034113937137	0.127631300916987	0.130580337430771	0.113030138482929	0.10455811851814	0.105750557901759	0.0899520426310556	0.0829056981280541	0.0826774576977553	0.106190271057841	0.0971095326494882	0.0858834598008998	0.0908386735580818	0.105819425434935	0.100096615452127	0.0984746369413688	0.0872360110764624	0.138202141778695	0.116502270968531	0.101497813196394	0.105773487146609	0.0755518478382373	0.120585912324704	0.130629515109839	0.114384764285303	0.108171672459655	0.127243783388547	0.0939318850144495	0.0918451774720046	0.0876479338980567	0.107651076995683	0.0880060380998555	0.0893708981698854	0.109424751285838	0.0951755021115828	0.0899481917056969	0.115545490852191	0.0979881795937712	0.105762461609794	0.109836580346118	0.0978679101088728	0.111398090170084	0.0919621199966717	0.0864044966927075	0.100521081816623	0.10711849028704	0.0756520032915711	0.102860396655848	0.104384337391879	0.0969489422447025	0.0901117434803921	0.0801819819547069	0.0781910608859603	0.0838702601183482	0.068595358399212	0.131255612971812	0.0911862059726108	0.0770849751544675	0.0816914394184099	0.103125331219044	0.0986938142880485	0.0839424916183645	0.0856689855119766	0.0692275870489396	0.105572812167297	0.0921246368205052	0.1117730298947	0.0861370239053306	0.0774745940798846	0.0946546140705221	0.0955668521939515	0.106802828176336	0.0730856186734963	0.0795770693621477	0.0967232168109737	0.0953305926181928	0.078270973538756	0.0789161816802906	0.0884285122954074	0.0847280190778708	0.101823752219277
hsa1131	0.0986855773720332	0.0743025817930815	0.123930549611989	0.344016480616226	0.292665641339837	1	0.285262824377663	0.386420828304608	0.125988157669742	0.115930201432816	0.116155342072862	0.110095003594353	0.104136538924412	0.0993475492565271	0.101656257598806	0.122441840334064	0.147449791934998	0.132204149408384	0.142814995889753	0.124746864760853	0.105109370647815	0.103000348442539	0.111548874570166	0.114447175277672	0.123717914826348	0.108794174222195	0.0971882825368556	0.0967946732336903	0.121976065100612	0.123908210270297	0.0959533500783371	0.105288806350483	0.148882437186513	0.125012400178593	0.125887965651785	0.1088579465221	0.165847234584822	0.123826265086344	0.126803623514085	0.133510433062818	0.174686492623912	0.132735355486281	0.129541281084762	0.136289993955952	0.120305160099234	0.114937859456085	0.0808257374969661	0.100464036525828	0.123499396113245	0.104811895574347	0.131157847467778	0.117289960409065	0.108608825089586	0.122747563257746	0.120467720387367	0.102498927254267	0.123668985453335	0.125090520686785	0.110672801271958	0.114934305642759	0.0905539883251274	0.106170342878434	0.0961993951124188	0.126795076971786	0.117687957907391	0.0821398872626069	0.0787855728507736	0.0962621902223779	0.0974686374244828	0.108867286028128	0.105773501070666	0.114861464601053	0.0781345384897492	0.0790725392041747	0.100604222082125	0.109028823143821	0.116605357004249	0.109502869950229	0.105078254061218	0.102767120094286	0.118236105709238	0.0862348787408802	0.0763772658924994	0.11469189869313	0.0941583675533636	0.108489802437834	0.114541748480812	0.093237481194165	0.128360153099217	0.113094077781108	0.129618569531503	0.0952078753118266	0.0977936300336694	0.119618594117336	0.105753137389615
hsa1132	0.0747908730787402	0.0917639376365509	0.163905347522993	0.287558702895909	0.423659485552523	0.285262824377663	1	0.265028858331718	0.0855658289889896	0.127087843327975	0.0970926725401982	0.102252131035515	0.0928494061401803	0.119763078720283	0.0906379571087285	0.122816965246254	0.130451524549055	0.117119221536544	0.121185859177654	0.109487920126795	0.107104908286408	0.130449381919799	0.0978278703535292	0.159917343007385	0.10724427712648	0.0923830576058314	0.110400855176433	0.129101261849144	0.119183939621607	0.0819954418842397	0.0906677673240087	0.121131331365204	0.144658442055514	0.115779790769843	0.131612652272372	0.0702401169143269	0.155654119811715	0.136691911870119	0.0924045255329306	0.119829613191592	0.147099681481339	0.127353233296245	0.111563063699951	0.108685117542477	0.115459441508431	0.0950419308933508	0.107706158850212	0.162863560514167	0.137641956730828	0.127630605991162	0.107483395098087	0.0985147130223341	0.108010445282081	0.096902852861983	0.106990914179319	0.0988586087391772	0.112441051725818	0.118115731200865	0.0550654114057441	0.112364941257661	0.0789838421436827	0.13523252930075	0.0922054934747229	0.0976736328073625	0.0803914641133855	0.108190909971149	0.0920910235442146	0.087169611906593	0.0840347448767258	0.113245297506308	0.0919112565685493	0.126014618543676	0.0740198125560754	0.0700501026477125	0.114240501634811	0.116231053210949	0.11046467842926	0.0972203884461628	0.112773857472252	0.124409271230312	0.0910451945387243	0.0849344936525778	0.0676623688775982	0.0913041905705276	0.0856660684132229	0.0741082963323443	0.107068437891748	0.106035297900226	0.10573951540866	0.0747724997885569	0.106862204202663	0.0919625426870612	0.0784745922039772	0.0995431687319122	0.089488939483275
hsa1133	0.068474752121846	0.076004188790721	0.088597228261528	0.352975692084861	0.263476330751207	0.386420828304608	0.265028858331718	1	0.0972703449719642	0.113887079997212	0.123911670827177	0.0921669365493095	0.100356943396012	0.11936636043009	0.128247294010644	0.120143276602581	0.124652180355348	0.115823500708617	0.110901480299214	0.0950824782732266	0.112081669500229	0.0902381731905442	0.0999704273245049	0.118524206878169	0.139098890944494	0.0925908590898993	0.108070236109623	0.106766361817165	0.126478615308457	0.0773457675518602	0.0723684210526316	0.103550298013508	0.121739593422227	0.112916504822827	0.134690343087899	0.0823193600447896	0.126434808744795	0.127700778903701	0.114083064390535	0.120487319392922	0.134677050982313	0.121344926739222	0.116379423888443	0.129696461974889	0.129991910178136	0.0993972658477291	0.123765469582665	0.126743214182374	0.11213175023946	0.116311998575634	0.148027046781821	0.0822057938323171	0.0843190768723046	0.102161693989235	0.122691719954378	0.0953249651257553	0.107775637901694	0.116897365788639	0.0602536999486998	0.120832155637751	0.0910615995482218	0.109625283449674	0.0991131465329325	0.099976171533869	0.0898019357479305	0.105981004788892	0.107070925560728	0.099093508722011	0.0657356238945355	0.114453807117414	0.0998926615010203	0.0886798766834631	0.0800904094396484	0.0660778066666572	0.0898019357479305	0.0897054523080408	0.112373210531236	0.0878049198357838	0.102287352873762	0.121079995507161	0.0858823404287257	0.0780097834620086	0.0700021315852494	0.103351979643193	0.0767678334208994	0.106698439874684	0.120419454418355	0.0740165815716161	0.123212432609585	0.0644867777875566	0.117602826683245	0.113439259430737	0.0822495254730128	0.0871913939634328	0.0967676524854918
hsa1234	0.0992170483717847	0.103606215872792	0.102738683089955	0.0875175052517506	0.0823271800525921	0.125988157669742	0.0855658289889896	0.0972703449719642	1	0.100564748338641	0.108465228909328	0.0943975926254601	0.0987277794060554	0.0965567419701468	0.104893298959784	0.0827873907848803	0.0985343223509424	0.107624400500126	0.0751412141563919	0.0845751026292576	0.0536322706450646	0.111482716472165	0.128212465577993	0.112984613447217	0.109108945117996	0.109654220603643	0.0815912390008274	0.0671723629146505	0.108309577902492	0.1306198890507	0.0717455026743565	0.107832773203438	0.146452194846674	0.0768648367265553	0.0972677190763304	0.0581074934982881	0.103924074869817	0.106084372463605	0.122583196346971	0.104720230186824	0.110408954033637	0.128258774901765	0.105935968046163	0.118124123684224	0.0972575801573394	0.0907386186841536	0.0883272003925402	0.103904752938011	0.116342336299759	0.115544254221248	0.0995105208005666	0.0921965415043979	0.123782374745705	0.096976803027945	0.0996023841111995	0.0782269243747186	0.103325488547744	0.0850379245626816	0.101961568334951	0.170715839910528	0.0963541666666667	0.0677170423607452	0.0865366897523829	0.0690669908218376	0.105465071734353	0.093843467588615	0.0940553683966785	0.0928542037451895	0.0681186576141333	0.088811027461797	0.083006468387087	0.104463861754668	0.105946335794949	0.0885103468059679	0.0577546821402409	0.087793133149398	0.0796981005108798	0.147313912747197	0.102967010535869	0.086725525696381	0.0995346964485322	0.0981601582449146	0.0958562089834941	0.115598568127937	0.127101849184701	0.145833333333333	0.153968434004262	0.113272892499408	0.110742079353491	0.10396585582274	0.117444691875442	0.107055953395224	0.129368812437673	0.116043052478337	0.0932655006325888
hsa1241	0.0579759063181795	0.128235483391585	0.211034345046836	0.135186061683733	0.0816285564843033	0.115930201432816	0.127087843327975	0.113887079997212	0.100564748338641	1	0.117804007246605	0.127586862764296	0.121913165235384	0.126880004899925	0.119442249296203	0.178961904281553	0.120364979942468	0.103902919213366	0.12228668714012	0.141394992638154	0.168757116594514	0.145496868765794	0.112101809763065	0.220337124664946	0.111919638794316	0.0992461418934767	0.116961430813397	0.176309983244599	0.104564404266514	0.143411550811008	0.0692646568404094	0.125792438118394	0.112135397535936	0.182144386874542	0.170735191686717	0.0731716022848016	0.164740277562789	0.16416705260071	0.113672971611296	0.126751198847286	0.169802240228245	0.160676107977579	0.109792934055502	0.12604374477047	0.0896266322284404	0.149158495190082	0.139129608276333	0.149301419418549	0.148166020454629	0.0941968631923112	0.0862163118393757	0.11723074833494	0.0981625019644823	0.113219114822388	0.132217650735343	0.115800340576088	0.164176247693782	0.122036746782812	0.103483893625235	0.154511959302198	0.128220054131768	0.171913336871263	0.103201891181453	0.121450605283122	0.121212210256936	0.17404450438561	0.154610654405381	0.192093112426009	0.159710682819063	0.157576368413744	0.226671068099342	0.309431250689129	0.117251105570611	0.090628574928518	0.15272738492374	0.262344288990607	0.20848872196934	0.189626707996191	0.10686206749777	0.153876086997047	0.134530122038722	0.110133384457579	0.0675303955185145	0.127876550033026	0.0908030827460175	0.198894724491979	0.198192599266986	0.182260158844687	0.130671192263998	0.112611232583359	0.124722004515642	0.172256880181504	0.11490380832394	0.132399643458425	0.0950427788779093
