	D00035	 D00110	 D00136	 D00195	 D00219	 D00225	 D00227	 D00228	 D00234	 D00252	 D00274	 D00283	 D00293	 D00294	 D00303	 D00319	 D00326	 D00329	 D00331	 D00332	 D00335	 D00336	 D00338	 D00340	 D00345	 D00349	 D00351	 D00354	 D00358	 D00364	 D00367	 D00373	 D00379	 D00380	 D00392	 D00394	 D00418	 D00437	 D00438	 D00451	 D00456	 D00464	 D00474	 D00477	 D00480	 D00495	 D00499	 D00504	 D00512	 D00513	 D00519	 D00521	 D00524	 D00528	 D00530	 D00533	 D00536	 D00537	 D00538	 D00539	 D00542	 D00543	 D00544	 D00545	 D00546	 D00547	 D00548	 D00549	 D00550	 D00552	 D00553	 D00560	 D00563	 D00574	 D00593	 D00594	 D00607	 D00611	 D00615	 D00616	 D00617	 D00618	 D00619	 D00629	 D00631	 D00633	 D00636	 D00638	 D00639	 D00640	 D00642	 D00647	 D00648	 D00649	 D00650	 D00651	 D00654	 D00656	 D00658	 D00677	 D00678	 D00694	 D00697	 D00704	 D00708	 D00709	 D00711	 D00726	 D00732	 D00733	 D00735	 D00738	 D00739	 D00740	 D00741	 D00759	 D00760	 D00761	 D00765	 D00771	 D00775	 D00779	 D00791	 D00798	 D00799	 D00809	 D00812	 D00816	 D00823	 D00831	 D00960	 D00963	 D00964	 D01071	 D01108	 D01111	 D01118	 D01242	 D01243	 D01253	 D01256	 D01275	 D01287	 D01295	 D01350	 D01448	 D01450	 D01453	 D01575	 D01599	 D01603	 D01712	 D01768	 D01799	 D01828	 D01854	 D01969	 D02041	 D02086	 D02087	 D02088	 D02092	 D02098	 D02101	 D02163	 D02173	 D02204	 D02207	 D02234	 D02237	 D02253	 D02261	 D02262	 D02272	 D02347	 D02356	 D02360	 D02362	 D02409	 D02461	 D02485	 D02546	 D02566	 D02630	 D02914	 D03037	 D03180	 D03274	 D03365	 D03450	 D03580	 D03742	 D03826	 D03830	 D03878	 D03991	 D04034	 D04048	 D04370	 D04790	 D04985	 D04999	 D05024	 D05077	 D05156	 D05453	 D05458	 D05461	 D06106	 D06172
D00035	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00110	0.00000	1.00000	0.07170	0.07650	0.00000	0.18390	0.02160	0.00810	0.00120	0.05640	0.01520	0.07370	0.13430	0.00010	0.02710	0.00310	0.10900	0.01350	0.03820	0.00000	0.01170	0.02820	0.00000	0.04780	0.00540	0.00460	0.00000	0.06350	0.07500	0.04030	0.00180	0.05540	0.00000	0.00000	0.00000	0.03320	0.01690	0.02480	0.02120	0.03850	0.03700	0.00000	0.00000	0.01560	0.05250	0.00000	0.04710	0.00000	0.02460	0.01970	0.00000	0.00000	0.00000	0.11620	0.00000	0.07000	0.00000	0.03180	0.02350	0.00180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02250	0.04500	0.00130	0.00930	0.00470	0.08620	0.00000	0.03330	0.01170	0.00000	0.00210	0.04330	0.04250	0.02090	0.00000	0.03290	0.00310	0.00010	0.00650	0.03250	0.03410	0.00370	0.02260	0.04200	0.00670	0.00000	0.00000	0.02290	0.00000	0.00000	0.00000	0.00010	0.00210	0.03490	0.04300	0.00000	0.00000	0.00000	0.05070	0.00570	0.04140	0.00020	0.00000	0.00210	0.00240	0.00000	0.03480	0.00020	0.02420	0.00000	0.00000	0.01240	0.00000	0.00000	0.03140	0.04030	0.02910	0.01640	0.06320	0.01880	0.01710	0.12660	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00390	0.00210	0.04930	0.00000	0.00510	0.00000	0.03080	0.00270	0.00000	0.00000	0.00140	0.01990	0.11620	0.00000	0.02770	0.00000	0.02140	0.00000	0.00000	0.00000	0.00510	0.00210	0.00010	0.06730	0.00010	0.00210	0.02000	0.00010	0.07650	0.04000	0.02250	0.00000	0.00000	0.00430	0.00000	0.00600	0.00000	0.00000	0.00000	0.00000	0.03450	0.10480	0.09350	0.00000	0.00000	0.00000	0.00000	0.00660	0.01710	0.04450	0.00000	0.00000	0.07050	0.00000	0.00000	0.03190	0.08230	0.00000	0.04780	0.00000	0.00210	0.06970	0.00970	0.00000	0.00000	0.00000	0.00000	0.00130	0.00000	0.00000	0.04910	0.00000	0.00000	0.00000	0.00000	
D00136	0.00000	0.07170	1.00000	0.05940	0.01340	0.12110	0.03750	0.05350	0.00020	0.16580	0.04320	0.16860	0.14600	0.01190	0.02340	0.02690	0.19400	0.02810	0.06780	0.00000	0.02030	0.03330	0.00000	0.08110	0.02700	0.00800	0.00000	0.14750	0.05210	0.04880	0.00370	0.11980	0.02220	0.01210	0.00000	0.07990	0.01250	0.05450	0.00290	0.04330	0.17380	0.00000	0.00000	0.02540	0.10580	0.00000	0.02340	0.00000	0.04360	0.10100	0.00220	0.00000	0.00050	0.04210	0.00000	0.11330	0.00000	0.09620	0.04240	0.01390	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03610	0.07720	0.01280	0.01990	0.30430	0.19170	0.00000	0.02460	0.01290	0.00000	0.00270	0.06320	0.05010	0.02760	0.00130	0.03270	0.00770	0.03000	0.00900	0.05240	0.07400	0.00940	0.03310	0.00570	0.02710	0.00000	0.00000	0.01430	0.00000	0.00000	0.00000	0.01080	0.06220	0.17430	0.07350	0.00000	0.00000	0.00000	0.11310	0.00150	0.15790	0.01610	0.01020	0.00270	0.01040	0.00000	0.00370	0.00530	0.01590	0.00000	0.00000	0.01290	0.00000	0.00000	0.24830	0.16680	0.04760	0.11690	0.07330	0.02680	0.03810	0.21120	0.00000	0.00000	0.00000	0.00000	0.00890	0.00000	0.00590	0.00270	0.11070	0.00000	0.05100	0.00000	0.04000	0.00870	0.00590	0.00000	0.09710	0.01550	0.04210	0.00000	0.01490	0.00000	0.03550	0.00000	0.00000	0.00000	0.01040	0.00270	0.00010	0.04730	0.00010	0.00270	0.04340	0.00160	0.05980	0.17190	0.26920	0.00000	0.00000	0.00840	0.00000	0.00570	0.00000	0.00000	0.00690	0.00000	0.03770	0.13660	0.11940	0.00000	0.00000	0.00000	0.00000	0.05520	0.02780	0.03760	0.00000	0.00000	0.40080	0.00000	0.00000	0.02230	0.03590	0.01460	0.04330	0.00000	0.00270	0.38140	0.01510	0.05340	0.00000	0.00000	0.00000	0.00160	0.00000	0.00000	0.00090	0.00000	0.00000	0.02110	0.00000	
D00195	0.00000	0.07650	0.05940	1.00000	0.00000	0.11160	0.02830	0.03470	0.00000	0.06450	0.01100	0.04130	0.10240	0.01170	0.02820	0.01930	0.13910	0.02560	0.05820	0.00000	0.01940	0.02180	0.00000	0.04870	0.02420	0.00490	0.00000	0.06180	0.05190	0.03660	0.00000	0.02950	0.00000	0.00220	0.00000	0.01230	0.01190	0.04890	0.00390	0.02500	0.05640	0.00000	0.00000	0.00960	0.04400	0.00000	0.00890	0.00000	0.03360	0.00510	0.00010	0.00000	0.00000	0.05470	0.00000	0.05410	0.00000	0.04810	0.01510	0.00220	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01460	0.06400	0.04610	0.01240	0.02440	0.08140	0.00000	0.02700	0.00840	0.00000	0.00000	0.05310	0.04760	0.03770	0.00150	0.02250	0.00000	0.00590	0.00650	0.04850	0.02520	0.01110	0.02390	0.00030	0.01730	0.00000	0.00000	0.00940	0.00000	0.00000	0.00000	0.00890	0.00800	0.05460	0.04360	0.00000	0.00000	0.00000	0.06240	0.00310	0.02390	0.00000	0.00030	0.00000	0.00610	0.00000	0.00240	0.00230	0.01820	0.00000	0.00000	0.00640	0.00000	0.00000	0.04800	0.02000	0.01860	0.00530	0.04050	0.00800	0.00900	0.13860	0.00000	0.00000	0.00000	0.00000	0.01200	0.00000	0.00420	0.00000	0.03690	0.00000	0.00710	0.00000	0.04170	0.00180	0.00000	0.00000	0.01620	0.01230	0.05470	0.00000	0.01040	0.00000	0.01650	0.00000	0.00000	0.00000	0.01300	0.00000	0.01410	0.03850	0.00000	0.00000	0.02350	0.00120	0.99980	0.01680	0.01350	0.00000	0.00000	0.00070	0.00000	0.00580	0.00000	0.00000	0.00190	0.00000	0.02360	0.05650	0.06060	0.00000	0.00000	0.00000	0.00000	0.00300	0.00100	0.02910	0.00000	0.00000	0.05320	0.00000	0.00000	0.57990	0.04250	0.00000	0.03060	0.00000	0.00000	0.05450	0.01550	0.00300	0.00000	0.00000	0.00000	0.10070	0.00000	0.00000	0.01810	0.00000	0.00000	0.01060	0.00000	
D00219	0.00000	0.00000	0.01340	0.00000	1.00000	0.01160	0.00000	0.00000	0.00000	0.01560	0.00000	0.00300	0.03040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00340	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00960	0.02040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00680	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01360	0.00000	0.00250	0.01660	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00520	0.00000	0.01000	0.00000	0.00000	0.00000	0.00750	0.00020	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.05970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00910	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00225	0.00000	0.18390	0.12110	0.11160	0.01160	1.00000	0.03900	0.07050	0.00080	0.17320	0.01470	0.11460	0.20500	0.00840	0.02340	0.03050	0.20960	0.03510	0.09720	0.00000	0.06610	0.05180	0.00000	0.10830	0.04900	0.01210	0.00000	0.18570	0.06460	0.06600	0.00120	0.09160	0.00000	0.00000	0.00000	0.01650	0.05070	0.08180	0.02070	0.09640	0.09490	0.00000	0.00000	0.01000	0.13570	0.00000	0.02920	0.00000	0.11090	0.04560	0.00010	0.00000	0.00070	0.08560	0.00000	0.17580	0.00000	0.16390	0.03260	0.03200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02830	0.11770	0.00660	0.08720	0.01660	0.17470	0.00000	0.05440	0.01130	0.00000	0.00000	0.14250	0.05960	0.03830	0.00690	0.06640	0.01240	0.00210	0.00230	0.07150	0.05630	0.01540	0.03650	0.00080	0.04730	0.00560	0.00000	0.01100	0.00000	0.00000	0.04300	0.03410	0.02420	0.09390	0.13470	0.00000	0.00000	0.00000	0.15140	0.01060	0.05720	0.02020	0.02200	0.00000	0.00560	0.00000	0.02720	0.00000	0.03070	0.00000	0.00000	0.01350	0.00000	0.00000	0.10310	0.07770	0.08990	0.04700	0.09990	0.01160	0.03470	0.29930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01140	0.00000	0.08600	0.00000	0.04530	0.00000	0.05320	0.00300	0.00510	0.00000	0.02360	0.02180	0.08560	0.00000	0.02550	0.00000	0.03840	0.00000	0.00000	0.00000	0.03060	0.00000	0.00370	0.05200	0.00000	0.00000	0.02700	0.00070	0.11180	0.05270	0.04630	0.00000	0.00000	0.03010	0.00000	0.02480	0.00000	0.00000	0.00090	0.00000	0.06720	0.14120	0.19700	0.00000	0.00000	0.00000	0.00000	0.11420	0.05130	0.09520	0.00000	0.00000	0.10960	0.00000	0.00000	0.05910	0.09160	0.00000	0.05460	0.00000	0.00000	0.10430	0.02170	0.01550	0.00000	0.00000	0.00000	0.03140	0.00000	0.00000	0.05240	0.00000	0.00000	0.02710	0.00000	
D00227	0.00000	0.02160	0.03750	0.02830	0.00000	0.03900	1.00000	0.02760	0.00000	0.06520	0.01000	0.03530	0.07250	0.00010	0.01580	0.00460	0.03890	0.01250	0.08010	0.00000	0.00940	0.03340	0.00000	0.04410	0.01120	0.00230	0.00000	0.04130	0.02870	0.02820	0.00000	0.01830	0.00000	0.00000	0.00000	0.02080	0.01510	0.09630	0.00820	0.02060	0.03570	0.00000	0.00000	0.00770	0.04300	0.00000	0.00380	0.00000	0.03110	0.04190	0.15740	0.00000	0.00000	0.04770	0.00000	0.04900	0.00000	0.02850	0.01440	0.00250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02050	0.04220	0.00170	0.00470	0.00400	0.05050	0.00000	0.02870	0.01120	0.00000	0.00160	0.04340	0.04560	0.02930	0.00690	0.07710	0.00050	0.01790	0.00000	0.03650	0.02950	0.01280	0.05080	0.00150	0.01680	0.00000	0.00000	0.00220	0.00000	0.00000	0.00000	0.02740	0.01730	0.03490	0.00800	0.00000	0.00000	0.00000	0.06190	0.00730	0.00870	0.00000	0.00000	0.00160	0.00350	0.00000	0.00050	0.00010	0.00770	0.00000	0.00000	0.00820	0.00000	0.00000	0.02140	0.01890	0.01100	0.02770	0.04350	0.00670	0.00800	0.05050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00520	0.00160	0.02250	0.00000	0.01350	0.00000	0.02980	0.00780	0.00000	0.00000	0.00720	0.00960	0.04770	0.00000	0.00600	0.00000	0.94970	0.00000	0.00000	0.00000	0.01410	0.00160	0.00010	0.02990	0.00010	0.00160	0.02750	0.00160	0.02820	0.01970	0.01880	0.00000	0.00000	0.01450	0.00000	0.01840	0.00000	0.00000	0.00000	0.00000	0.07710	0.03820	0.04390	0.00000	0.00000	0.00000	0.00000	0.00400	0.00000	0.02370	0.00000	0.00000	0.01340	0.00000	0.00000	0.00800	0.02950	0.00000	0.05610	0.00000	0.00160	0.01110	0.04700	0.00600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00580	0.00000	
D00228	0.00000	0.00810	0.05350	0.03470	0.00000	0.07050	0.02760	1.00000	0.00000	0.05960	0.00000	0.00970	0.03200	0.00000	0.00000	0.00030	0.12190	0.00000	0.02770	0.00000	0.00070	0.00150	0.00000	0.01780	0.00000	0.00000	0.00000	0.02600	0.00250	0.00820	0.00000	0.01410	0.00000	0.00000	0.00000	0.00000	0.02180	0.02610	0.00010	0.01250	0.01570	0.00000	0.00000	0.00000	0.01860	0.00000	0.00000	0.00000	0.01190	0.00030	0.00010	0.00000	0.00000	0.06820	0.00000	0.02600	0.00000	0.01920	0.01580	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00280	0.04310	0.00000	0.02620	0.00000	0.11710	0.00000	0.01450	0.00000	0.00000	0.00000	0.01470	0.02860	0.00010	0.01430	0.00900	0.00000	0.00010	0.00000	0.01730	0.00110	0.00060	0.00060	0.00000	0.00040	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.01330	0.01640	0.04230	0.00000	0.00000	0.00000	0.01940	0.00000	0.00690	0.00000	0.04550	0.00000	0.00150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11350	0.00010	0.01580	0.00000	0.07350	0.00000	0.08010	0.11710	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01410	0.00000	0.03040	0.00000	0.04240	0.00000	0.00000	0.00000	0.00000	0.00280	0.06820	0.00000	0.00200	0.00000	0.02730	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00110	0.00000	0.00000	0.00090	0.00000	0.03470	0.00010	0.06570	0.00000	0.00000	0.02300	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00590	0.06760	0.12150	0.00000	0.00000	0.00000	0.00000	0.29040	0.00000	0.00480	0.00000	0.00000	0.07090	0.00000	0.00000	0.01450	0.00210	0.00000	0.00120	0.00000	0.00000	0.05800	0.04030	0.01400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00234	0.00000	0.00120	0.00020	0.00000	0.00000	0.00080	0.00000	0.00000	1.00000	0.00020	0.00000	0.00020	0.00010	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00060	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00030	0.00000	0.00010	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00000	0.00000	0.00000	0.00010	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00252	0.00000	0.05640	0.16580	0.06450	0.01560	0.17320	0.06520	0.05960	0.00020	1.00000	0.02050	0.15380	0.13810	0.00670	0.02570	0.03260	0.14590	0.03170	0.13440	0.00000	0.05100	0.03950	0.00000	0.13970	0.07870	0.04100	0.00000	0.36570	0.05010	0.08600	0.01410	0.09650	0.00000	0.00840	0.00000	0.02980	0.04940	0.09420	0.01780	0.08420	0.08090	0.00000	0.00000	0.02480	0.05860	0.00000	0.08250	0.00000	0.28760	0.02660	0.04610	0.00000	0.00010	0.06360	0.00000	0.35520	0.00000	0.23930	0.29530	0.07380	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02360	0.06560	0.00150	0.03630	0.03880	0.14550	0.00000	0.05640	0.03280	0.00000	0.00310	0.16950	0.09780	0.07300	0.02610	0.07060	0.01860	0.03550	0.00170	0.09830	0.05520	0.15770	0.03990	0.00340	0.03280	0.00000	0.00000	0.01430	0.00000	0.00000	0.02410	0.01310	0.03810	0.07570	0.09590	0.00000	0.00000	0.00000	0.27850	0.00590	0.08350	0.01250	0.00880	0.00310	0.01700	0.00000	0.01520	0.00020	0.01650	0.00000	0.00000	0.00800	0.00000	0.00000	0.11330	0.05060	0.09340	0.02960	0.10290	0.04640	0.04030	0.18390	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02910	0.00310	0.04430	0.00000	0.18410	0.00000	0.07290	0.00580	0.00120	0.00000	0.02720	0.01960	0.06360	0.00000	0.04460	0.00000	0.06560	0.00000	0.00000	0.00000	0.03000	0.00310	0.00110	0.04600	0.00010	0.00310	0.02820	0.01130	0.06460	0.03940	0.06470	0.00000	0.00000	0.01390	0.00000	0.08770	0.00000	0.00000	0.01470	0.00000	0.07260	0.12000	0.14470	0.00000	0.00000	0.00000	0.00000	0.04310	0.03290	0.12440	0.00000	0.00000	0.09420	0.00000	0.00000	0.03300	0.05990	0.06230	0.05770	0.00000	0.00310	0.08190	0.01810	0.03400	0.00000	0.00000	0.00000	0.00450	0.00000	0.00000	0.01470	0.00000	0.00000	0.01110	0.00000	
