	 D00040	 D00066	 D00067	 D00075	 D00088	 D00094	 D00105	 D00129	 D00143	 D00163	 D00182	 D00187	 D00188	 D00211	 D00246	 D00279	 D00299	 D00312	 D00316	 D00327	 D00348	 D00443	 D00462	 D00506	 D00554	 D00565	 D00577	 D00585	 D00586	 D00596	 D00627	 D00690	 D00730	 D00898	 D00930	 D00950	 D00951	 D00954	 D00956	 D00961	 D00962	 D00965	 D01115	 D01132	 D01161	 D01217	 D01294	 D01387	 D01441	 D01689	 D02217	 D02367	 D04066	 D05341
D00040	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00066	0.00000	1.00000	0.09940	0.12690	0.01470	0.00000	0.28990	0.01770	0.00000	0.00000	0.19350	0.00100	0.00000	0.00000	0.02120	0.00000	0.00000	0.09940	0.02570	0.00100	0.00000	0.04150	0.00180	0.02950	0.25840	0.03030	0.04860	0.11580	0.01820	0.05660	0.00890	0.01920	0.00000	0.00000	0.00000	0.18460	0.28620	0.02090	0.03860	0.02970	0.14610	0.00000	0.03800	0.00000	0.05730	0.01770	0.00000	0.00320	0.10060	0.00610	0.12430	0.09550	0.00000	0.00000	
D00067	0.00000	0.09940	1.00000	0.09500	0.00000	0.00000	0.04460	0.00000	0.00000	0.00000	0.05620	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04470	0.04570	0.00000	0.00000	0.00000	0.12150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06260	0.09440	0.00000	0.00000	
D00075	0.00000	0.12690	0.09500	1.00000	0.03660	0.00000	0.11140	0.01970	0.00000	0.00000	0.09100	0.00010	0.00410	0.00000	0.04070	0.00000	0.00000	0.09500	0.00830	0.10680	0.00000	0.03880	0.14280	0.04020	0.08980	0.02090	0.04700	0.00160	0.02740	0.05140	0.03600	0.01940	0.00000	0.00000	0.00000	0.11160	0.11110	0.01370	0.04990	0.08790	0.06620	0.00000	0.03280	0.00000	0.04010	0.00750	0.00000	0.00000	0.07490	0.01580	0.07490	0.05260	0.00000	0.00000	
D00088	0.00000	0.01470	0.00000	0.03660	1.00000	0.00000	0.06020	0.02130	0.00000	0.00000	0.02950	0.00310	0.02960	0.00000	0.07930	0.00000	0.00000	0.00000	0.03090	0.00000	0.00000	0.04430	0.00010	0.02990	0.05200	0.06140	0.00000	0.00570	0.03570	0.05380	0.05340	0.02960	0.00000	0.00000	0.00000	0.05180	0.05210	0.00390	0.00000	0.02620	0.01450	0.00000	0.01940	0.00000	0.01560	0.01700	0.00000	0.00270	0.08040	0.02430	0.04020	0.01670	0.00000	0.00000	
D00094	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00105	0.00000	0.28990	0.04460	0.11140	0.06020	0.00000	1.00000	0.06640	0.00000	0.00000	0.22600	0.02350	0.01870	0.00000	0.04740	0.00000	0.00000	0.04460	0.00110	0.00040	0.00000	0.09960	0.01180	0.04870	0.56830	0.08460	0.00030	0.06120	0.04490	0.12440	0.06710	0.02420	0.00000	0.00000	0.00000	0.33940	0.57830	0.10040	0.00160	0.06080	0.08740	0.00000	0.06640	0.00000	0.09280	0.06340	0.00000	0.00140	0.20110	0.02460	0.25250	0.19320	0.00000	0.00000	
D00129	0.00000	0.01770	0.00000	0.01970	0.02130	0.00000	0.06640	1.00000	0.00000	0.00000	0.02030	0.16320	0.06440	0.00000	0.03610	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01800	0.00030	0.01310	0.04580	0.00910	0.00110	0.01510	0.00070	0.03110	0.02860	0.00810	0.00000	0.00000	0.00000	0.04460	0.06420	0.00150	0.00000	0.01420	0.00120	0.00000	0.00270	0.00000	0.02420	0.00000	0.00000	0.00000	0.05150	0.03260	0.04290	0.03120	0.00000	0.00000	
D00143	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00163	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
