	 D00040	 D00066	 D00067	 D00075	 D00088	 D00094	 D00105	 D00129	 D00143	 D00163	 D00182	 D00187	 D00188	 D00211	 D00246	 D00279	 D00299	 D00312	 D00316	 D00327	 D00348	 D00443	 D00462	 D00506	 D00554	 D00565	 D00577	 D00585	 D00586	 D00596	 D00627	 D00690	 D00730	 D00898	 D00930	 D00950	 D00951	 D00954	 D00956	 D00961	 D00962	 D00965	 D01115	 D01132	 D01161	 D01217	 D01294	 D01387	 D01441	 D01689	 D02217	 D02367	 D04066	 D05341
D00040	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00066	0.00000	1.00000	0.12380	0.04170	0.01150	0.00000	0.49550	0.05770	0.00000	0.00000	0.04820	0.00060	0.00000	0.00000	0.01080	0.00000	0.00000	0.12370	0.00230	0.00000	0.00000	0.01410	0.00300	0.02780	0.30910	0.02700	0.05470	0.03780	0.01390	0.02070	0.00630	0.00620	0.00000	0.00000	0.00000	0.07210	0.37340	0.01050	0.01170	0.01040	0.17100	0.00000	0.02100	0.00000	0.03020	0.02300	0.00000	0.00040	0.03200	0.00130	0.16450	0.06240	0.00000	0.00000	
D00067	0.00000	0.12380	1.00000	0.04180	0.00000	0.00000	0.07140	0.00000	0.00000	0.00000	0.00480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.99990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01260	0.04640	0.00000	0.00000	0.00000	0.03560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19100	0.06410	0.00000	0.00000	
D00075	0.00000	0.04170	0.04180	1.00000	0.02650	0.00000	0.04430	0.00290	0.00000	0.00000	0.00940	0.00080	0.00120	0.00000	0.03230	0.00000	0.00000	0.04180	0.00060	0.01990	0.00000	0.04140	0.06780	0.01890	0.04800	0.01050	0.01920	0.00030	0.06760	0.01120	0.01200	0.01030	0.00000	0.00000	0.00000	0.01830	0.03900	0.01110	0.01560	0.10800	0.00940	0.00000	0.01360	0.00000	0.00730	0.00200	0.00000	0.00000	0.01390	0.00190	0.02260	0.01100	0.00000	0.00000	
D00088	0.00000	0.01150	0.00000	0.02650	1.00000	0.00000	0.02600	0.04140	0.00000	0.00000	0.01420	0.00730	0.02010	0.00000	0.11250	0.00000	0.00000	0.00000	0.01930	0.00000	0.00000	0.03180	0.00040	0.03490	0.03700	0.06860	0.00000	0.00250	0.03650	0.03020	0.03790	0.06880	0.00000	0.00000	0.00000	0.01160	0.01860	0.00450	0.00000	0.01640	0.00710	0.00000	0.01400	0.00000	0.01840	0.01050	0.00000	0.00090	0.03900	0.01240	0.02980	0.01560	0.00000	0.00000	
D00094	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00105	0.00000	0.49550	0.07140	0.04430	0.02600	0.00000	1.00000	0.06020	0.00000	0.00000	0.11940	0.01450	0.00780	0.00000	0.02160	0.00000	0.00000	0.07140	0.00090	0.00000	0.00000	0.04950	0.01260	0.02840	0.56520	0.04650	0.00070	0.01970	0.01430	0.04620	0.02830	0.01720	0.00000	0.00000	0.00000	0.11880	0.59160	0.04730	0.00180	0.02840	0.04250	0.00000	0.04070	0.00000	0.03570	0.06700	0.00000	0.00020	0.05820	0.00600	0.21280	0.13810	0.00000	0.00000	
D00129	0.00000	0.05770	0.00000	0.00290	0.04140	0.00000	0.06020	1.00000	0.00000	0.00000	0.00760	0.31570	0.06250	0.00000	0.03950	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02990	0.00000	0.00420	0.02660	0.01740	0.00840	0.00580	0.00180	0.03900	0.04720	0.03270	0.00000	0.00000	0.00000	0.01170	0.04960	0.00490	0.00000	0.00500	0.00040	0.00000	0.00180	0.00000	0.03350	0.00000	0.00000	0.00000	0.03050	0.00560	0.04790	0.01710	0.00000	0.00000	
D00143	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00163	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
