	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.96551354070321	0.958013247274195	0.920006236347156	0.909524725573508	0.913683586238556	0.951005532617253	0.867729604574734	0.902936744675775	0.73542470957458	0.934794632000428	0.7850838526583	0.871800292376166	0.774867712818746	0.971506191612936	0.858435631958558	0.958135002604432	0.956085241242495	0.786065563376856	0.778937725932725	0.88545577768781	0.889899415494061	0.962990080886687	0.957561751461463	0.946645918086102	0.956836183564966	0.972723089898007	0.95734645132748	0.965828317284728	0.94979876973506	0.95969305949544	0.879535881231751	0.912374052122459	0.961803726855192	0.893544325167515	0.960417168297892	0.923534000569111	0.917898036089284	0.953731863240771	0.966958578310679	0.967183783102768	0.939558395777154	0.959611396383656	0.912246563509099	0.838977540539265	0.95446309275725	0.95736915897146	0.713671950192855	0.909687216524101	0.975293012559406	0.874963517616641	0.796097382040354	0.624629393084388	0.895481609354113
D00066	0.96551354070321	1	0.966131802829728	0.954383566329016	0.976371731916565	0.962181610705035	0.980418549266909	0.941595739338832	0.934239819256057	0.815294143688115	0.947583932523943	0.768158718592204	0.802023823905883	0.860175798758897	0.975155514726692	0.906139639361888	0.905384728490876	0.896866325600139	0.845104952744728	0.871250066844147	0.907242025913965	0.838719778869851	0.972086510526115	0.889010974189915	0.975052180112805	0.962602995537882	0.918541987898503	0.970223991394109	0.902795286012262	0.899338516977163	0.926812305082627	0.874186141506902	0.932134720312673	0.915322227949136	0.879335158565543	0.901675979888966	0.912868350295821	0.916017513817513	0.916793938965387	0.915435799117148	0.905687176049153	0.866472944709674	0.947188910725384	0.806193198015624	0.912623187285901	0.92847043016368	0.906301148749279	0.774371899982855	0.950365861095303	0.968301260422937	0.916708681159999	0.874848670740415	0.662287780019043	0.795615524822312
D00067	0.958013247274195	0.966131802829728	1	0.971811421339766	0.955423476654134	0.960572538446698	0.984987271290342	0.937034799670549	0.957095783091593	0.842038387484014	0.953778532642254	0.858166309299554	0.750814486257192	0.875717939967439	0.960952608305396	0.928044572246149	0.89389538784214	0.880891208705561	0.849308944907488	0.872474052344374	0.894339130554772	0.875813682142444	0.947652191120077	0.861930499558938	0.938001199186683	0.970795263867767	0.902817604696095	0.956707315173171	0.881525097381622	0.88887387180392	0.943287156637026	0.916660590071373	0.912619759428833	0.919360847465672	0.898791932679671	0.930214058071542	0.915636178959072	0.913456492856401	0.913787263812508	0.92026681469615	0.89653414702542	0.865368904337285	0.912224503482858	0.790277579779386	0.914294691382094	0.948225808881304	0.901051566461763	0.845649920195225	0.952423513718455	0.973658382327628	0.934333136935111	0.886975632648742	0.72787369359522	0.822140617938617
D00075	0.920006236347156	0.954383566329016	0.971811421339766	1	0.967567730030739	0.96138750513976	0.978981288730686	0.950663557225285	0.966143210250807	0.843248819717812	0.91491022180686	0.836322853543342	0.715953931375972	0.881207715961096	0.933768861898189	0.951051658166425	0.845866941357319	0.826853025422532	0.873270127401207	0.90467260678042	0.906646365908411	0.8689155816179	0.931924820273618	0.808365927274521	0.932952973560452	0.962102197826542	0.855072261294778	0.935769880192215	0.825244569266222	0.846947797336199	0.887153271496362	0.902072419074052	0.892736462774267	0.892108837483142	0.860865649026182	0.876592577563363	0.885765612214338	0.885155374246843	0.878110231576085	0.870304414168936	0.833713610862763	0.819364924235543	0.890785792586738	0.720868677563934	0.917637635089289	0.93230922482001	0.854777810407305	0.849954829337329	0.945896395652625	0.936748793887534	0.951051913503452	0.914000648776959	0.813742789240475	0.749409772185822
D00088	0.909524725573508	0.976371731916565	0.955423476654134	0.967567730030739	1	0.977687307761742	0.982155466266995	0.972635803095225	0.955865224139824	0.865317025271647	0.922784485514174	0.763216120266775	0.708912728271562	0.906904322676417	0.941591272876784	0.94468672106657	0.837400190565797	0.816589124972277	0.88419283138838	0.931415610324971	0.910722874453069	0.803327147837031	0.941709861568044	0.795836027759153	0.957407008669716	0.9398291856289	0.842680486584974	0.944747213371747	0.814194078758275	0.839162781433632	0.882613641490229	0.882735252331424	0.908733738159816	0.863807419930304	0.842520854602466	0.839823837757705	0.878281027540972	0.882582007940962	0.862502555287558	0.849778135901614	0.819527574432155	0.785809176955504	0.89875609215153	0.690547365517619	0.950134168191522	0.896016360115236	0.836783156606754	0.82801977546375	0.953751723578737	0.933052730698612	0.945297371556309	0.928828463129481	0.710034383080639	0.696070982275058
D00094	0.913683586238556	0.962181610705035	0.960572538446698	0.96138750513976	0.977687307761742	1	0.986055716652579	0.961055150828904	0.954836984467571	0.888045395782102	0.932996297331789	0.819997396922794	0.687485933356852	0.929255312795409	0.942723729858238	0.940931550304633	0.83899242868646	0.817425243546031	0.916468502613235	0.920056209571284	0.885894979742965	0.804670795376016	0.922350745924956	0.788278368082708	0.934969868069875	0.938805721115749	0.845139316488179	0.947310892260461	0.812279979296339	0.839992235626838	0.899607747366935	0.886772652075351	0.910802020705528	0.857506740226059	0.856437318767045	0.862252052297411	0.887029122979919	0.872342669472586	0.867859660587145	0.856542657408251	0.818506700813137	0.78437790115864	0.873962627311529	0.694961527042465	0.956694038140749	0.886754232491466	0.839296252774858	0.874600896402919	0.9657940888904	0.94988437691998	0.94155162203434	0.927864948435746	0.733526601908951	0.710307581335579
D00105	0.951005532617253	0.980418549266909	0.984987271290342	0.978981288730686	0.982155466266995	0.986055716652579	1	0.958273743190481	0.972055438301708	0.86317371379392	0.947145666352881	0.830710431583903	0.752590939993525	0.903011893439297	0.967093315385367	0.948801794628396	0.884781983798145	0.86940654266374	0.891497036678025	0.905564053745418	0.915882356460387	0.860351268069642	0.954290390766564	0.847342423699306	0.959474706196652	0.966826045248178	0.894165873327543	0.967033591698625	0.866720577710928	0.886627976088807	0.930324767570912	0.920839866910482	0.9306458978658	0.907184060685534	0.88030857888279	0.904308747344253	0.909776493552238	0.903922792213913	0.903073839399142	0.903771335504785	0.871192807348748	0.845031157711691	0.915948014444093	0.761009635398775	0.941251937242274	0.932080167120013	0.891361907883869	0.851753760057161	0.96576433974223	0.969667456902657	0.949188724238223	0.915967523371261	0.728640295173741	0.77316052778771
D00129	0.867729604574734	0.941595739338832	0.937034799670549	0.950663557225285	0.972635803095225	0.961055150828904	0.958273743190481	1	0.945546676253424	0.895180576708921	0.910520731757027	0.785739972111668	0.662152366902382	0.930354246335923	0.922436831200583	0.941399593110659	0.795630202020739	0.772752362497	0.895100401986077	0.952181358160694	0.900642564857778	0.787219034244975	0.912338051780344	0.743115175543665	0.927164587127191	0.924494032358069	0.798543979461734	0.921873158367832	0.764497149865592	0.806638451359883	0.858006597376927	0.87605067016475	0.885092119770871	0.823060470854734	0.821603859059975	0.816879050714447	0.857275082495083	0.862312666809704	0.829721710358918	0.819731846201208	0.775967806997537	0.74535870634896	0.863294078751663	0.640054221834283	0.946595505939267	0.873484688663381	0.799047038702848	0.86708184175423	0.950769573310877	0.909909010088698	0.938383500656924	0.935566217405349	0.734077749355581	0.649364503525913
D00143	0.902936744675775	0.934239819256057	0.957095783091593	0.966143210250807	0.955865224139824	0.954836984467571	0.972055438301708	0.945546676253424	1	0.902222761162237	0.935749099123044	0.857423513024094	0.714520774461706	0.924416299212431	0.941168900986202	0.99119104871603	0.829859811300073	0.80986227040088	0.906505242640313	0.917215944912827	0.921968381428717	0.867136465739664	0.93931673988308	0.797659857076499	0.933355867225475	0.947415923080307	0.853375381168549	0.943216774373549	0.816745622359473	0.856166396138969	0.900221173459958	0.947727371039809	0.886800824474319	0.902589649929763	0.885163203280005	0.893184850640184	0.913469036341664	0.905448027714722	0.895409469086726	0.88473538392552	0.83207650029666	0.824756335683491	0.904286987431153	0.713567712899195	0.938446117063398	0.941922668759916	0.87011327019552	0.867191022615006	0.962865205936335	0.935113082886603	0.968443634811373	0.935477332893009	0.761584049712742	0.724013779879429
D00163	0.73542470957458	0.815294143688115	0.842038387484014	0.843248819717812	0.865317025271647	0.888045395782102	0.86317371379392	0.895180576708921	0.902222761162237	1	0.892561303376477	0.864229037934313	0.498110841718713	0.979051511543929	0.844251953876546	0.908229711049812	0.652536017207082	0.626235924370797	0.886377973503011	0.9047962667997	0.753290712389535	0.649183690347963	0.810334878281717	0.590149834913319	0.799811008035365	0.824067325103048	0.672346616902847	0.830402574069378	0.62650373967804	0.685554851064484	0.802970444391264	0.805450765962579	0.774704103812208	0.690905428022478	0.830355180133309	0.728454124370289	0.837381750181091	0.82544828932743	0.761416990134206	0.715482338105602	0.676787356221693	0.617433971268868	0.750067580646707	0.488085731925436	0.914094806759429	0.776967074087698	0.69704529271645	0.921665855016488	0.911524452184683	0.814503379894601	0.860622100380307	0.898451996844244	0.726049573168883	0.529661335008432
D00182	0.934794632000428	0.947583932523943	0.953778532642254	0.91491022180686	0.922784485514174	0.932996297331789	0.947145666352881	0.910520731757027	0.935749099123044	0.892561303376477	1	0.876617883809787	0.732876584014046	0.908817975996074	0.973135456601474	0.908939085373091	0.877458336847135	0.87091117545279	0.859750473268033	0.857531288779173	0.83907095700427	0.800498667160441	0.954444615792584	0.854361248834017	0.923547891274114	0.945700381990145	0.894340792957842	0.946141963823892	0.878172056039518	0.863529955277785	0.948211031738859	0.865170921996825	0.888445860360016	0.890306038183427	0.961790471155757	0.917439347326653	0.970364501652894	0.964984011835532	0.946053975224457	0.917333181324822	0.924232543737256	0.857177444999137	0.924186482108806	0.786000742729008	0.899915552452826	0.923777705918797	0.906265425305108	0.825470947399044	0.958427925845072	0.959565247149327	0.896461435544428	0.863965794036666	0.679793504647857	0.813153584327919
D00187	0.7850838526583	0.768158718592204	0.858166309299554	0.836322853543342	0.763216120266775	0.819997396922794	0.830710431583903	0.785739972111668	0.857423513024094	0.864229037934313	0.876617883809787	1	0.556872015691769	0.86173644232306	0.83073105848341	0.830866332232121	0.723332041857622	0.705822768451885	0.788380437957909	0.76308685859064	0.704825989341369	0.775798561805269	0.785325327007009	0.679581472399573	0.746575685839778	0.845953106845203	0.749582282146118	0.811433364858698	0.714784603027153	0.731556926111134	0.850107043621629	0.80963707435276	0.773428537090382	0.747849800396131	0.863967236802869	0.820352469508649	0.841969472784729	0.819378455092976	0.804152971196909	0.782311006546573	0.75916156202653	0.718488053885499	0.740118286982633	0.632534471367094	0.821633140335847	0.818610686979408	0.762150091470744	0.883334078139081	0.86639139304606	0.838318045263113	0.806371421158856	0.799934718163362	0.781484459425041	0.717867450847052
