	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.984505767224574	0.991452437999951	0.983179931680441	0.971713211178727	0.963934170558539	0.986556349177027	0.930838245509684	0.965705006667041	0.799844811043665	0.965604996402839	0.920991517819208	0.980870609119339	0.815661553012047	0.957503833148801	0.954975282096687	0.9448782338781	0.950661120745507	0.832886369540917	0.816735508927391	0.957349731912564	0.957631689101154	0.976793608034755	0.986677633013798	0.939672428960606	0.967271258244862	0.973759469335184	0.939007644331598	0.977402460403474	0.977480159429782	0.928040301818316	0.958346408850707	0.93121727194206	0.972045499867089	0.976856903262341	0.983814243723096	0.976459699613248	0.978742631026929	0.978572459756071	0.983111611363001	0.994526102982797	0.974337557097444	0.984127484881528	0.987399817149585	0.862882433156651	0.972455348653099	0.973014490825487	0.806948145687961	0.962586613481927	0.984887402954779	0.953783970446223	0.923675416064947	0.899156893732301	0.977466975790277
D00066	0.984505767224574	1	0.990082301515256	0.975626064042186	0.990172147092902	0.974469228922032	0.989914183829606	0.968737330166066	0.965898821536953	0.867654049085313	0.984807428587513	0.936737939975772	0.983933313833193	0.882569135038849	0.982675873106519	0.948616847591741	0.957004930243066	0.958732009534166	0.861119875773468	0.88476343408982	0.96453158201616	0.933962472888932	0.9879736649828	0.978015964832629	0.971105222195554	0.984489018038151	0.975777284116228	0.969924437018557	0.975565628541573	0.983412430756687	0.956122710992749	0.948681012295613	0.950940786434388	0.939406961807181	0.956028841788501	0.963375758863045	0.956695054433009	0.963386131541957	0.951645749291167	0.969082100224177	0.977602706591067	0.939715809180327	0.981109530829589	0.956616074640072	0.917571648786255	0.952388755297571	0.952493308356147	0.865115296767569	0.976633663085401	0.989019089570458	0.944115314379771	0.944588902658074	0.875641847384416	0.935591816960756
D00067	0.991452437999951	0.990082301515256	1	0.99380379732827	0.987368836096345	0.968021629869594	0.994679191046518	0.959169741551689	0.981474685707515	0.831882087377875	0.970829051086461	0.93123238789458	0.973487389120581	0.845744051710246	0.961066955473425	0.970005868093562	0.935896123971353	0.938412019440987	0.854214135629507	0.854364557832848	0.978541215147708	0.964828965721996	0.983288123743382	0.972113897227055	0.951330035919764	0.979842902059439	0.964264617311513	0.947823290041738	0.963372974570464	0.977163382752974	0.927950463488107	0.972352652875935	0.932703357060673	0.96893799001605	0.97497745225885	0.980389611600756	0.974338726656148	0.981521758296533	0.970813718273674	0.980974656135698	0.982678984963289	0.965005038794892	0.987046607172908	0.964438599532523	0.892748757119882	0.978246322596961	0.965122249480148	0.837718242305622	0.978244035344469	0.985898035145793	0.969212682247684	0.951419097710585	0.917034085908435	0.959747797832058
D00075	0.983179931680441	0.975626064042186	0.99380379732827	1	0.978734523242367	0.955820296084349	0.989746040880235	0.947677269085874	0.988796710168223	0.809120297487033	0.949834764648481	0.923813571320763	0.956981695317654	0.816381371743406	0.935430521649753	0.984381914670489	0.907193167894125	0.908594238798955	0.844314391532727	0.831256172578264	0.98327752371914	0.981820679562164	0.972549801991336	0.954448715513383	0.933893626718008	0.968683213144939	0.946185556377884	0.929659204009253	0.941723860289552	0.96232244518815	0.895506407178276	0.985336475926689	0.913207875809658	0.98020238499133	0.977102886293606	0.981064188764466	0.976871223478848	0.984132646293771	0.973456970921948	0.978625360150169	0.970607177865807	0.973137217042365	0.984898135469662	0.95394508175037	0.881418126878879	0.990648324497727	0.96530359691009	0.823322468642889	0.975450339480614	0.972625552010639	0.982800818758022	0.953539790560726	0.948423341364626	0.959287668252634
D00088	0.971713211178727	0.990172147092902	0.987368836096345	0.978734523242367	1	0.972494776166066	0.990251520802682	0.981975220734505	0.974690827459598	0.875254877688622	0.974878724522291	0.930185839342038	0.969237142639002	0.888209056183796	0.972399533791456	0.959636461910143	0.947399191893603	0.94003017870325	0.873297110008111	0.906273708004667	0.978114586414585	0.938443250897562	0.985820405393897	0.957659050657578	0.971941688741647	0.983167943716579	0.95950779374247	0.963943854512608	0.954475607980519	0.979918694829823	0.948120894028565	0.959083295837838	0.944431902229321	0.934936173180863	0.948677183154778	0.953584304937275	0.9515517631918	0.959969369943969	0.944112230113578	0.960097953071679	0.959521865280236	0.929455844800435	0.975035704085726	0.930729969167035	0.936415860101113	0.953621242107662	0.940660750027426	0.877173804929798	0.98071022686229	0.98065407439942	0.956305666822679	0.961457491875479	0.890503679221709	0.917945407622559
D00094	0.963934170558539	0.974469228922032	0.968021629869594	0.955820296084349	0.972494776166066	1	0.979850901005919	0.96001122793041	0.961216276893509	0.888720686960779	0.977251513394027	0.951795000506275	0.961669151705905	0.911172294118467	0.971466521222994	0.946011984373516	0.945301568175576	0.94151939691339	0.920244683224226	0.895391481308176	0.960497038041964	0.924376037198338	0.969175754977379	0.954912732617374	0.959859323701006	0.972709600264576	0.964694966410809	0.969646258693789	0.956564104116826	0.974359675937008	0.954639055451233	0.946674240727776	0.951840551387546	0.921685314348533	0.945565073201464	0.959746803627348	0.960423320787523	0.937986302633636	0.959105012122231	0.958388658876	0.95030686068476	0.922124990931995	0.958955889404532	0.937715359816652	0.936478729320359	0.929818321163057	0.939606116426897	0.895873226643157	0.979360129362304	0.987631130903174	0.939790899311742	0.954858181648348	0.876316687078976	0.907749530869388
D00105	0.986556349177027	0.989914183829606	0.994679191046518	0.989746040880235	0.990251520802682	0.979850901005919	1	0.967646498611752	0.98830128937094	0.861484815399744	0.978156822887402	0.947813235520529	0.977461989239205	0.874561062773053	0.970404008225267	0.977113767420893	0.940176050271654	0.943659216130651	0.871083302946466	0.876985712235579	0.983323686991518	0.96282706098638	0.986389992187774	0.970013640191237	0.962710166753034	0.984278615311054	0.969485591161635	0.962162369959542	0.964328843450036	0.981703067033608	0.938673841046604	0.978990365532139	0.953327205179659	0.961476270458757	0.972484365607147	0.979373351114796	0.975101550708747	0.976666656452025	0.971558703235697	0.983371614416803	0.97630647518036	0.963049464194593	0.985553705108756	0.956898654473732	0.917325684781055	0.972366753103752	0.972264453627896	0.877938816632359	0.986563091877179	0.990593706114077	0.970391408892071	0.962419156975322	0.915214562726925	0.946089501330001
D00129	0.930838245509684	0.968737330166066	0.959169741551689	0.947677269085874	0.981975220734505	0.96001122793041	0.967646498611752	1	0.952680141709546	0.909055067162995	0.960972132848023	0.92420161058087	0.940959154613167	0.924811367844562	0.964312909568216	0.931798525428975	0.925736581795337	0.918658881587351	0.884186389720358	0.950486812970188	0.966734351286842	0.901960115867999	0.96730194633972	0.920885070333078	0.976596641018209	0.974170027113456	0.934614184628863	0.963698675594061	0.923752401073795	0.959810132969415	0.939000171803284	0.931516904243566	0.942824133474216	0.88404279309345	0.904423669092927	0.913860913167257	0.910790782646756	0.924543488778816	0.899518129684118	0.923679843419154	0.914384447031313	0.874915329653389	0.943527033426464	0.876850478408646	0.95310764156988	0.910711296716784	0.896345982535077	0.910012093231271	0.969112324738653	0.959214259790258	0.929575448024191	0.96286143435613	0.858880455334199	0.858120705577789
D00143	0.965705006667041	0.965898821536953	0.981474685707515	0.988796710168223	0.974690827459598	0.961216276893509	0.98830128937094	0.952680141709546	1	0.851744004108173	0.954616328428722	0.945883687267581	0.954548682999508	0.855357263602628	0.938134364101752	0.996555996179359	0.895717232094248	0.896002838916944	0.868000482291923	0.856044298084463	0.989075114786305	0.978221311696841	0.971871369941211	0.940895152437917	0.94103165147223	0.970077645760633	0.944071580944374	0.942833171641228	0.931815157397681	0.961281115180541	0.899713544473686	0.993224193047159	0.923714094856156	0.970365216017344	0.97424605920023	0.979445338515148	0.976318403084067	0.976413479033838	0.970650630579527	0.978314490828849	0.953819350169345	0.965518114477619	0.98120650509911	0.934790592570347	0.913030953078568	0.984444523869314	0.965986875951797	0.867380602457489	0.986147247918939	0.971701848454489	0.984749867046457	0.970259304745185	0.944784780074493	0.9317740012671
D00163	0.799844811043665	0.867654049085313	0.831882087377875	0.809120297487033	0.875254877688622	0.888720686960779	0.861484815399744	0.909055067162995	0.851744004108173	1	0.909933487464909	0.911266086855199	0.853999716941208	0.970486733185255	0.910734398981226	0.824616067303423	0.840776070694945	0.832768415435306	0.85091900862554	0.934328958210815	0.847512878871224	0.758919671417989	0.873024898743749	0.815463829442971	0.905870896033801	0.890422689654047	0.856680601688921	0.921058686278548	0.835476668332382	0.867101957235331	0.907718584161667	0.813861922739303	0.884552019437569	0.733133591613299	0.799611462933014	0.803581924488562	0.803848370866339	0.793112700571049	0.786852013804794	0.818804209336372	0.796044196117743	0.739483158753846	0.832350903698142	0.75331735010902	0.945236600984053	0.771027305588798	0.79443400066277	0.953141911198539	0.893893393222264	0.873469568936775	0.796600194983217	0.883728627946255	0.71973706605753	0.697545760834445
