	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.782392026578073	0.73542600896861	0.679245283018868	0.664371772805508	0.676335877862595	0.775510204081633	0.621993127147766	0.704013377926421	0.567193675889328	0.684380032206119	0.541108986615679	0.59462915601023	0.505102040816326	0.806343906510851	0.648881239242685	0.720977596741344	0.757455268389662	0.408396946564886	0.504604051565378	0.68904593639576	0.700743494423792	0.75809199318569	0.682584269662921	0.757246376811594	0.756578947368421	0.821678321678322	0.786339754816112	0.75	0.705078125	0.58102766798419	0.713461538461538	0.618143459915612	0.769642857142857	0.630508474576271	0.753130590339893	0.632142857142857	0.643863179074447	0.705882352941177	0.71264367816092	0.711399711399711	0.66	0.758	0.696917808219178	0.587360594795539	0.736111111111111	0.684824902723735	0.553571428571429	0.654424040066778	0.813333333333333	0.711743772241993	0.5801393728223	0.445109780439122	0.762331838565022
D00066	0.782392026578073	1	0.848932676518883	0.833060556464812	0.817531305903399	0.804421768707483	0.889081455805893	0.684118673647469	0.741007194244604	0.565130260521042	0.711666666666667	0.476386036960986	0.512690355329949	0.549909255898367	0.838652482269504	0.689090909090909	0.62396694214876	0.65	0.385633270321361	0.581213307240705	0.731261425959781	0.600760456273764	0.817708333333333	0.591292134831461	0.858757062146893	0.854779411764706	0.704545454545455	0.834244080145719	0.655660377358491	0.592307692307692	0.491017964071856	0.659491193737769	0.557377049180328	0.66551724137931	0.563847429519071	0.6524064171123	0.575389948006932	0.560283687943262	0.643322475570033	0.603321033210332	0.594142259414226	0.56993006993007	0.652097902097902	0.656488549618321	0.615241635687732	0.691131498470948	0.599620493358634	0.542735042735043	0.690434782608696	0.849023090586146	0.732965009208103	0.650735294117647	0.439759036144578	0.721938775510204
D00067	0.73542600896861	0.848932676518883	1	0.835051546391753	0.781629116117851	0.775888717156105	0.859154929577465	0.673701298701299	0.729641693811075	0.518072289156627	0.669184290030212	0.489830508474576	0.501165501165501	0.533661740558292	0.773015873015873	0.657467532467532	0.56989247311828	0.583044982698962	0.388785046728972	0.578754578754579	0.669407894736842	0.622704507512521	0.796581196581197	0.589909443725744	0.790322580645161	0.810810810810811	0.653312788906009	0.756137479541735	0.632624113475177	0.558178752107926	0.500881834215168	0.647668393782383	0.524500907441016	0.668261562998405	0.559505409582689	0.682410423452769	0.568067226890756	0.572992700729927	0.629573170731707	0.59432387312187	0.609271523178808	0.556982343499197	0.634103019538188	0.649484536082474	0.570458404074703	0.723646723646724	0.554621848739496	0.583482944344704	0.640944881889764	0.829073482428115	0.70216306156406	0.62063227953411	0.409747292418773	0.72108843537415
D00075	0.679245283018868	0.833060556464812	0.835051546391753	1	0.815275310834814	0.813008130081301	0.870458135860979	0.661764705882353	0.72168284789644	0.546961325966851	0.665109034267913	0.48469387755102	0.464692482915718	0.544991511035654	0.721538461538462	0.701724137931034	0.545774647887324	0.548986486486487	0.383057090239411	0.56989247311828	0.696917808219178	0.611940298507463	0.75873544093178	0.548427672955975	0.781914893617021	0.811594202898551	0.597325408618128	0.756302521008403	0.58161865569273	0.567190226876091	0.486865148861646	0.625218914185639	0.552986512524085	0.665024630541872	0.552922590837283	0.640728476821192	0.567521367521368	0.555956678700361	0.615740740740741	0.589254766031196	0.566280566280566	0.555555555555556	0.626102292768959	0.614035087719298	0.59391771019678	0.686440677966102	0.569911504424779	0.54954954954955	0.663920922570016	0.788709677419355	0.746902654867257	0.642980935875217	0.448214285714286	0.662192393736018
D00088	0.664371772805508	0.817531305903399	0.781629116117851	0.815275310834814	1	0.873540856031128	0.854205607476636	0.821052631578947	0.788819875776398	0.632075471698113	0.703358208955224	0.516666666666667	0.399229781771502	0.623376623376623	0.745283018867924	0.771855010660981	0.602173913043478	0.573839662447257	0.464037122969838	0.701631701631702	0.759259259259259	0.59656652360515	0.735185185185185	0.47134670487106	0.825102880658436	0.784584980237154	0.60036832412523	0.799586776859504	0.529886914378029	0.62208067940552	0.588372093023256	0.696428571428571	0.665	0.612052730696798	0.563670411985019	0.606719367588933	0.623983739837398	0.626834381551363	0.587610619469027	0.615711252653928	0.488405797101449	0.566600397614314	0.665330661322645	0.502982107355865	0.712087912087912	0.618270799347471	0.618942731277533	0.602977667493797	0.780538302277433	0.732472324723247	0.808602150537634	0.75599128540305	0.472813238770686	0.654069767441861
D00094	0.676335877862595	0.804421768707483	0.775888717156105	0.813008130081301	0.873540856031128	1	0.841243862520458	0.782945736434108	0.736474694589878	0.607350096711799	0.687600644122383	0.528735632183908	0.430082256169213	0.628465804066543	0.744610281923715	0.721428571428571	0.595238095238095	0.584586466165414	0.457831325301205	0.657563025210084	0.717391304347826	0.581687612208258	0.694397283531409	0.513020833333333	0.771535580524345	0.746621621621622	0.62258064516129	0.784832451499118	0.561959654178674	0.601851851851852	0.566265060240964	0.663568773234201	0.621338912133891	0.629934210526316	0.581939799331104	0.651591289782245	0.607843137254902	0.607723577235772	0.596273291925466	0.628415300546448	0.513157894736842	0.567241379310345	0.647286821705426	0.562607204116638	0.670498084291188	0.612665684830633	0.597785977859779	0.613095238095238	0.762923351158645	0.780998389694042	0.754068716094033	0.725378787878788	0.466666666666667	0.633333333333333
D00105	0.775510204081633	0.889081455805893	0.859154929577465	0.870458135860979	0.854205607476636	0.841243862520458	1	0.722222222222222	0.812606473594549	0.604477611940298	0.725832012678288	0.507772020725389	0.512941176470588	0.585034013605442	0.819512195121951	0.733218588640275	0.591240875912409	0.603066439522998	0.414953271028037	0.615384615384615	0.730633802816901	0.617094017094017	0.776831345826235	0.577922077922078	0.828413284132841	0.806291390728477	0.672985781990521	0.820244328097731	0.633620689655172	0.626134301270417	0.573613766730402	0.695035460992908	0.592030360531309	0.699831365935919	0.587025316455696	0.678451178451178	0.613945578231292	0.609756097560976	0.627450980392157	0.662544169611307	0.607661822985469	0.598347107438017	0.673545966228893	0.617241379310345	0.641929499072356	0.685925925925926	0.606529209621993	0.578661844484629	0.710391822827939	0.830870279146141	0.780399274047187	0.681574239713775	0.419776119402985	0.736342042755344
D00129	0.621993127147766	0.684118673647469	0.673701298701299	0.661764705882353	0.821052631578947	0.782945736434108	0.722222222222222	1	0.744466800804829	0.657342657342657	0.660649819494585	0.513157894736842	0.368883312421581	0.691075514874142	0.702205882352941	0.744234800838574	0.550660792951542	0.535123966942149	0.487684729064039	0.758373205741627	0.75	0.526522593320236	0.651245551601424	0.427385892116183	0.738613861386139	0.680284191829485	0.534965034965035	0.723196881091618	0.475308641975309	0.563291139240506	0.559808612440191	0.66304347826087	0.685929648241206	0.563868613138686	0.544444444444444	0.551020408163265	0.59349593495935	0.606185567010309	0.550877192982456	0.574642126789366	0.448179271708683	0.5199203187251	0.615230460921844	0.441558441558442	0.716937354988399	0.556390977443609	0.56687898089172	0.596810933940774	0.764826175869121	0.672014260249554	0.795309168443497	0.792410714285714	0.441441441441441	0.588571428571429
D00143	0.704013377926421	0.741007194244604	0.729641693811075	0.72168284789644	0.788819875776398	0.736474694589878	0.812606473594549	0.744466800804829	1	0.717693836978131	0.788494077834179	0.604735883424408	0.516587677725118	0.703153988868275	0.809135399673736	0.905769230769231	0.582178217821782	0.582417582417582	0.461855670103093	0.64969450101833	0.740882917466411	0.657894736842105	0.779109589041096	0.521907216494845	0.745421245421245	0.753355704697987	0.624405705229794	0.783542039355993	0.573466476462197	0.594890510948905	0.573673870333988	0.731060606060606	0.61228813559322	0.667250437828371	0.638297872340426	0.645104895104895	0.665486725663717	0.662790697674419	0.646417445482866	0.648698884758364	0.58498023715415	0.56294964028777	0.676864244741874	0.537942664418212	0.692783505154639	0.689922480620155	0.598181818181818	0.606463878326996	0.821292775665399	0.752525252525252	0.86144578313253	0.750503018108652	0.43960396039604	0.701298701298701
D00163	0.567193675889328	0.565130260521042	0.518072289156627	0.546961325966851	0.632075471698113	0.607350096711799	0.604477611940298	0.657342657342657	0.717693836978131	1	0.743833017077799	0.649462365591398	0.51433389544688	0.861904761904762	0.684905660377358	0.745867768595041	0.592920353982301	0.568783068783069	0.576368876080692	0.741239892183288	0.666666666666667	0.574358974358974	0.596525096525097	0.451013513513513	0.602197802197802	0.615234375	0.538306451612903	0.659836065573771	0.485454545454545	0.571764705882353	0.584382871536524	0.685185185185185	0.692982456140351	0.57563025210084	0.627151051625239	0.511583011583012	0.683189655172414	0.674528301886792	0.605607476635514	0.597777777777778	0.537842190016103	0.49780701754386	0.64975845410628	0.430434782608696	0.804749340369393	0.596396396396396	0.573008849557522	0.699561403508772	0.763676148796499	0.587800369685767	0.698237885462555	0.761786600496278	0.544235924932976	0.496835443037975
D00182	0.684380032206119	0.711666666666667	0.669184290030212	0.665109034267913	0.703358208955224	0.687600644122383	0.725832012678288	0.660649819494585	0.788494077834179	0.743833017077799	1	0.582142857142857	0.51056338028169	0.699099099099099	0.823240589198036	0.76592082616179	0.668161434977579	0.668041237113402	0.427450980392157	0.596456692913386	0.669090909090909	0.601904761904762	0.736408566721582	0.516170763260026	0.682210708117444	0.735537190082645	0.6288	0.744463373083475	0.567954220314735	0.553415061295972	0.548262548262548	0.637478108581436	0.630573248407643	0.653399668325041	0.755102040816326	0.619967793880837	0.748653500897666	0.738878143133462	0.741626794258373	0.624137931034483	0.641509433962264	0.553299492385787	0.695412844036697	0.529505582137161	0.662835249042146	0.689910979228487	0.59114139693356	0.558669001751314	0.8125	0.73968253968254	0.719298245614035	0.691011235955056	0.455696202531646	0.709844559585492
D00187	0.541108986615679	0.476386036960986	0.489830508474576	0.48469387755102	0.516666666666667	0.528735632183908	0.507772020725389	0.513157894736842	0.604735883424408	0.649462365591398	0.582142857142857	1	0.570940170940171	0.682713347921225	0.552901023890785	0.615079365079365	0.651428571428571	0.622107969151671	0.562130177514793	0.565110565110565	0.511387163561077	0.740990990990991	0.527204502814259	0.482084690553746	0.524210526315789	0.555555555555556	0.577519379844961	0.551724137931034	0.52280701754386	0.712435233160622	0.663265306122449	0.646420824295011	0.596577017114914	0.58296943231441	0.580524344569288	0.684684684684685	0.638344226579521	0.663291139240506	0.574861367837338	0.688564476885645	0.493129770992366	0.559718969555035	0.667553191489362	0.542918454935622	0.604597701149425	0.579234972677596	0.619718309859155	0.651612903225806	0.644578313253012	0.563963963963964	0.548133595284872	0.581932773109244	0.659459459459459	0.533980582524272
D00188	0.59462915601023	0.512690355329949	0.501165501165501	0.464692482915718	0.399229781771502	0.430082256169213	0.512941176470588	0.368883312421581	0.516587677725118	0.51433389544688	0.51056338028169	0.570940170940171	1	0.404364569961489	0.576650943396226	0.502583979328165	0.490620490620491	0.555240793201133	0.273342354533153	0.32436069986541	0.461935483870968	0.512261580381471	0.565594059405941	0.759651307596513	0.486111111111111	0.508917954815696	0.617760617760618	0.505548705302096	0.696315120711563	0.512129380053908	0.415654520917679	0.486338797814208	0.377437325905292	0.553219448094612	0.500638569604087	0.539164490861619	0.497991967871486	0.487031700288184	0.537455410225921	0.516172506738544	0.683040935672515	0.477272727272727	0.514363885088919	0.684782608695652	0.376210235131397	0.590361445783133	0.478891820580475	0.442434210526316	0.459459459459459	0.541362530413625	0.453703703703704	0.391188251001335	0.312594840667678	0.48714069591528
D00211	0.505102040816326	0.549909255898367	0.533661740558292	0.544991511035654	0.623376623376623	0.628465804066543	0.585034013605442	0.691075514874142	0.703153988868275	0.861904761904762	0.699099099099099	0.682713347921225	0.404364569961489	1	0.647959183673469	0.739043824701195	0.513253012048193	0.489224137931034	0.566037735849057	0.796246648793566	0.603696098562628	0.487704918032787	0.566202090592335	0.379076086956522	0.566473988439306	0.590252707581227	0.472881355932203	0.613207547169811	0.420180722891566	0.517382413087935	0.559440559440559	0.619433198380567	0.614795918367347	0.509090909090909	0.581105169340463	0.5	0.604247104247104	0.582278481012658	0.530081300813008	0.542	0.439946018893387	0.455078125	0.557142857142857	0.383275261324042	0.778054862842893	0.518341307814992	0.522	0.713302752293578	0.745379876796715	0.583190394511149	0.671428571428571	0.763341067285383	0.552278820375335	0.456284153005464
