	 D00040	 D00066	 D00067	 D00075	 D00088	 D00094	 D00105	 D00129	 D00143	 D00163	 D00182	 D00187	 D00188	 D00211	 D00246	 D00279	 D00299	 D00312	 D00316	 D00327	 D00348	 D00443	 D00462	 D00506	 D00554	 D00565	 D00577	 D00585	 D00586	 D00596	 D00627	 D00690	 D00730	 D00898	 D00930	 D00950	 D00951	 D00954	 D00956	 D00961	 D00962	 D00965	 D01115	 D01132	 D01161	 D01217	 D01294	 D01387	 D01441	 D01689	 D02217	 D02367	 D04066	 D05341
D00040	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00066	0.00000	1.00000	0.00000	0.04060	0.00000	0.00000	0.32190	0.00380	0.00000	0.00000	0.33060	0.00000	0.00000	0.00000	0.04790	0.00000	0.00000	0.00000	0.00000	0.03420	0.00000	0.10150	0.03540	0.00000	0.00000	0.00990	0.00000	0.07990	0.02470	0.00150	0.04960	0.05750	0.00000	0.00000	0.00000	0.25290	0.32700	0.00000	0.00000	0.05610	0.12020	0.01320	0.01750	0.00000	0.03260	0.00000	0.00000	0.00000	0.08350	0.00000	0.15210	0.00000	0.00000	0.00000	
D00067	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00075	0.00000	0.04060	0.00000	1.00000	0.00000	0.00000	0.06960	0.01070	0.00000	0.00000	0.03900	0.00000	0.00000	0.00000	0.03420	0.00000	0.00000	0.00000	0.00000	0.25010	0.00000	0.00320	0.00000	0.00000	0.00000	0.07900	0.00000	0.01170	0.05530	0.00000	0.02310	0.02550	0.00000	0.00000	0.00000	0.06590	0.06540	0.00000	0.00000	0.14650	0.07570	0.10850	0.07150	0.00000	0.03840	0.00000	0.00000	0.00020	0.03960	0.00000	0.04120	0.00000	0.00000	0.00000	
D00088	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00094	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00105	0.00000	0.32190	0.00000	0.06960	0.00000	0.00000	1.00000	0.03570	0.00000	0.00000	0.16960	0.00000	0.00000	0.00000	0.14880	0.00000	0.00000	0.00000	0.00000	0.02210	0.00000	0.10810	0.00000	0.00000	0.00000	0.06370	0.00000	0.08320	0.03930	0.01660	0.09110	0.10830	0.00000	0.00000	0.00000	0.24240	0.32610	0.00000	0.00000	0.09400	0.09800	0.01330	0.00250	0.00000	0.02990	0.00000	0.00000	0.00010	0.08360	0.00000	0.09930	0.00000	0.00000	0.00000	
D00129	0.00000	0.00380	0.00000	0.01070	0.00000	0.00000	0.03570	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01630	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00460	0.00000	0.00000	0.00710	0.00000	0.00250	0.00000	0.00000	0.00000	0.00000	0.05910	0.04490	0.00000	0.00000	0.04850	0.00010	0.02660	0.01780	0.00000	0.00490	0.00000	0.00000	0.00000	0.00860	0.00000	0.00000	0.00000	0.00000	0.00000	
D00143	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00163	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
D00182	0.00000	0.33060	0.00000	0.03900	0.00000	0.00000	0.16960	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.01050	0.00000	0.00000	0.00000	0.00000	0.01710	0.00000	0.00000	0.00000	0.00000	0.00000	0.00270	0.00000	0.00710	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15080	0.28970	0.00000	0.00000	0.07670	0.02350	0.01570	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03320	0.00000	0.06190	0.00000	0.00000	0.00000	
D00187	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
