	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.686567164179104	0.884297520661157	0.899159663865546	0.656716417910448	0.895161290322581	0.873134328358209	0.595890410958904	0.622377622377622	0.515923566878981	0.63265306122449	0.464705882352941	0.594405594405594	0.601398601398601	0.636363636363636	0.585034013605442	0.392592592592593	0.392592592592593	0.622950819672131	0.445859872611465	0.428571428571429	0.378048780487805	0.388888888888889	0.497076023391813	0.402234636871508	0.514450867052023	0.497076023391813	0.468421052631579	0.497076023391813	0.486666666666667	0.556338028169014	0.493670886075949	0.32258064516129	0.626760563380282	0.550335570469799	0.707317073170732	0.570422535211268	0.377483443708609	0.591836734693878	0.54140127388535	0.659574468085106	0.649006622516556	0.437037037037037	0.48936170212766	0.485875706214689	0.648854961832061	0.609929078014184	0.543624161073825	0.579617834394904	0.624161073825503	0.594936708860759	0.494505494505495	0.431693989071038	0.402298850574713
D00066	0.686567164179104	1	0.714285714285714	0.725806451612903	0.721311475409836	0.676691729323308	0.604026845637584	0.545454545454545	0.392405063291139	0.386503067484663	0.461538461538462	0.281081081081081	0.367088607594937	0.427631578947368	0.40506329113924	0.416666666666667	0.257142857142857	0.257142857142857	0.524590163934426	0.34375	0.322222222222222	0.222857142857143	0.322222222222222	0.311827956989247	0.335195530726257	0.344086021505376	0.311827956989247	0.420212765957447	0.311827956989247	0.327044025157233	0.331210191082803	0.341317365269461	0.225130890052356	0.450331125827815	0.386075949367089	0.5	0.445205479452055	0.410071942446043	0.423076923076923	0.385542168674699	0.423076923076923	0.48125	0.479674796747967	0.32	0.485207100591716	0.569230769230769	0.433333333333333	0.345679012345679	0.439024390243902	0.455696202531646	0.437125748502994	0.361256544502618	0.461988304093567	0.254054054054054
D00067	0.884297520661157	0.714285714285714	1	0.981651376146789	0.709677419354839	0.875	0.798507462686567	0.639705882352941	0.531034482758621	0.470967741935484	0.586206896551724	0.38953488372093	0.503448275862069	0.531468531468531	0.544827586206897	0.537931034482759	0.338345864661654	0.338345864661654	0.540983606557377	0.382165605095541	0.38728323699422	0.317073170731707	0.333333333333333	0.421965317919075	0.346368715083799	0.473684210526316	0.421965317919075	0.415789473684211	0.421965317919075	0.439189189189189	0.485915492957746	0.448717948717949	0.296703296703297	0.578571428571429	0.483221476510067	0.652892561983471	0.5	0.384615384615385	0.523809523809524	0.496774193548387	0.566433566433566	0.604026845637584	0.448818897637795	0.418439716312057	0.46242774566474	0.702479338842975	0.561151079136691	0.496598639455782	0.535483870967742	0.6	0.551282051282051	0.455555555555556	0.392265193370166	0.329545454545455
D00075	0.899159663865546	0.725806451612903	0.981651376146789	1	0.721311475409836	0.858333333333333	0.810606060606061	0.625	0.538461538461538	0.458064516129032	0.572413793103448	0.394117647058824	0.510489510489511	0.539007092198582	0.552447552447552	0.524137931034483	0.343511450381679	0.343511450381679	0.55	0.387096774193548	0.391812865497076	0.320987654320988	0.337078651685393	0.426900584795322	0.350282485875706	0.461988304093567	0.426900584795322	0.405263157894737	0.426900584795322	0.445205479452055	0.492857142857143	0.454545454545455	0.285714285714286	0.564285714285714	0.489795918367347	0.636363636363636	0.507142857142857	0.390070921985816	0.531034482758621	0.483870967741935	0.574468085106383	0.590604026845638	0.456	0.424460431654676	0.450867052023121	0.685950413223141	0.546762589928058	0.482993197278912	0.52258064516129	0.586206896551724	0.538461538461538	0.460674157303371	0.396648044692737	0.333333333333333
D00088	0.656716417910448	0.721311475409836	0.709677419354839	0.721311475409836	1	0.67175572519084	0.598639455782313	0.539007092198582	0.367088607594937	0.337349397590361	0.435897435897436	0.259459459459459	0.341772151898734	0.401315789473684	0.379746835443038	0.391025641025641	0.421487603305785	0.264705882352941	0.491803278688525	0.335443037974684	0.314606741573034	0.213872832369942	0.3	0.290322580645161	0.312849162011173	0.32258064516129	0.290322580645161	0.295566502463054	0.290322580645161	0.4375	0.443661971830986	0.333333333333333	0.216931216931217	0.423841059602649	0.360759493670886	0.46969696969697	0.417808219178082	0.381294964028777	0.397435897435897	0.36144578313253	0.397435897435897	0.45625	0.447154471544715	0.293333333333333	0.496969696969697	0.538461538461538	0.406666666666667	0.320987654320988	0.414634146341463	0.448717948717949	0.413173652694611	0.354497354497354	0.33695652173913	0.232432432432432
D00094	0.895161290322581	0.676691729323308	0.875	0.858333333333333	0.67175572519084	1	0.81021897810219	0.564625850340136	0.547297297297297	0.546052631578947	0.669014084507042	0.405714285714286	0.52027027027027	0.591549295774648	0.560810810810811	0.619718309859155	0.35036496350365	0.35036496350365	0.57258064516129	0.382716049382716	0.436046511627907	0.335329341317365	0.349726775956284	0.4375	0.362637362637363	0.471590909090909	0.4375	0.46031746031746	0.4375	0.496598639455782	0.503448275862069	0.503225806451613	0.357541899441341	0.664233576642336	0.540540540540541	0.754237288135593	0.571428571428571	0.366666666666667	0.593103448275862	0.572368421052632	0.582191780821918	0.684931506849315	0.425373134328358	0.478571428571429	0.529411764705882	0.613636363636364	0.647058823529412	0.533783783783784	0.611842105263158	0.683098591549296	0.627450980392157	0.502793296089385	0.39247311827957	0.346368715083799
D00105	0.873134328358209	0.604026845637584	0.798507462686567	0.810606060606061	0.598639455782313	0.81021897810219	1	0.527950310559006	0.689655172413793	0.578616352201258	0.697986577181208	0.523255813953488	0.662068965517241	0.668965517241379	0.703448275862069	0.651006711409396	0.358108108108108	0.511278195488722	0.54014598540146	0.395348837209302	0.398936170212766	0.350282485875706	0.348717948717949	0.446236559139785	0.360824742268041	0.462765957446808	0.446236559139785	0.424390243902439	0.446236559139785	0.447852760736196	0.509677419354839	0.596153846153846	0.407608695652174	0.554140127388535	0.615894039735099	0.615942028985507	0.638888888888889	0.444444444444444	0.657718120805369	0.624203821656051	0.727272727272727	0.735099337748344	0.38	0.429487179487179	0.452631578947368	0.568493150684932	0.702127659574468	0.630872483221476	0.517441860465116	0.574074074074074	0.531791907514451	0.461538461538462	0.388888888888889	0.35978835978836
D00129	0.595890410958904	0.545454545454545	0.639705882352941	0.625	0.539007092198582	0.564625850340136	0.527950310559006	1	0.41875	0.386904761904762	0.487341772151899	0.318918918918919	0.39375	0.417721518987342	0.43125	0.425	0.307142857142857	0.307142857142857	0.473282442748092	0.414012738853503	0.368715083798883	0.262857142857143	0.310160427807487	0.335106382978723	0.366666666666667	0.396739130434783	0.335106382978723	0.349753694581281	0.335106382978723	0.371069182389937	0.358490566037736	0.350877192982456	0.288770053475936	0.458064516129032	0.395061728395062	0.529850746268657	0.406451612903226	0.471014492753623	0.41358024691358	0.410714285714286	0.449367088607595	0.435294117647059	0.431818181818182	0.357615894039735	0.387096774193548	0.623076923076923	0.460526315789474	0.40625	0.446428571428571	0.462962962962963	0.444444444444444	0.405263157894737	0.311224489795918	0.225641025641026
D00143	0.622377622377622	0.392405063291139	0.531034482758621	0.538461538461538	0.367088607594937	0.547297297297297	0.689655172413793	0.41875	1	0.744360902255639	0.813953488372093	0.735714285714286	0.964601769911504	0.905982905982906	0.982608695652174	0.87603305785124	0.410852713178295	0.568965517241379	0.6	0.503401360544218	0.363128491620112	0.392405063291139	0.478787878787879	0.515151515151515	0.4	0.479768786127168	0.515151515151515	0.436842105263158	0.515151515151515	0.595588235294118	0.6796875	0.631205673758865	0.403508771929825	0.5625	0.785714285714286	0.606299212598425	0.793388429752066	0.578125	0.80952380952381	0.616438356164384	0.9	0.577922077922078	0.480314960629921	0.467625899280576	0.419889502762431	0.603053435114504	0.674242424242424	0.75	0.581699346405229	0.52258064516129	0.5	0.4	0.398907103825137	0.307692307692308
D00163	0.515923566878981	0.386503067484663	0.470967741935484	0.458064516129032	0.337349397590361	0.546052631578947	0.578616352201258	0.386904761904762	0.744360902255639	1	0.83206106870229	0.638157894736842	0.740458015267176	0.761538461538461	0.733333333333333	0.849206349206349	0.261744966442953	0.382352941176471	0.434782608695652	0.367469879518072	0.308900523560209	0.284090909090909	0.38121546961326	0.383783783783784	0.31413612565445	0.431693989071038	0.383783783783784	0.44559585492228	0.383783783783784	0.506756756756757	0.513698630136986	0.552631578947368	0.405714285714286	0.54	0.686131386861314	0.653543307086614	0.664179104477612	0.496402877697842	0.671428571428571	0.635135135135135	0.671428571428571	0.575949367088608	0.39568345323741	0.390728476821192	0.437158469945355	0.531914893617021	0.71969696969697	0.796875	0.559748427672956	0.522012578616352	0.508982035928144	0.353233830845771	0.357512953367876	0.22
