	hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.575264149355665	0.61420324304012	0.701074196428544	0.671145536421769	0.950106398017152	0.591214338742408	0.758461699333371	0.602467045087755	0.741999899093617	0.722199594394023	0.64100339255751	0.667009379738747	0.621240924996942	0.662296966551084	0.662296966551084	0.519170759972888	0.758461699333371	0.519170759972888	0.605473398091231	0.621240924996942	0.621240924996942	0.605473398091231	0.654369944196089	0.627174270663447	0.627174270663447
hsa2099	0.575264149355665	1	0.936602266227514	0.773244450869856	0.671145536421769	0.605473398091231	0.667802277716662	0.758461699333371	0.634483216669027	0.757030461223513	0.796544547824557	0.706989814785411	0.636892235975778	0.621240924996942	0.662296966551084	0.662296966551084	0.548342561760083	0.758461699333371	0.519170759972888	0.605473398091231	0.621240924996942	0.621240924996942	0.605473398091231	0.654369944196089	0.627174270663447	0.691737090010398
hsa2100	0.61420324304012	0.936602266227514	1	0.748529254848336	0.716574751762066	0.646457327644511	0.644019864043713	0.80980126429582	0.61420324304012	0.808273147013313	0.771084611297097	0.684392314295129	0.680002877359116	0.663292143739095	0.707127230450458	0.707127230450458	0.554312944451892	0.80980126429582	0.554312944451892	0.646457327644511	0.663292143739095	0.663292143739095	0.646457327644511	0.69866363534629	0.669627112039357	0.669627112039357
hsa2101	0.701074196428544	0.773244450869856	0.748529254848336	1	0.817924805779246	0.737890196183993	0.813850377687801	0.924336979764085	0.773244450869856	0.922592730432903	0.970748532497855	0.914316053597394	0.776180321767691	0.757106075128419	0.807141057098609	0.807141057098609	0.632713204472881	0.924336979764085	0.632713204472881	0.737890196183993	0.757106075128419	0.757106075128419	0.737890196183993	0.797480398019081	0.764337041198418	0.843019724177226
hsa2103	0.671145536421769	0.671145536421769	0.716574751762066	0.817924805779246	1	0.706389871515898	0.703726432606379	0.884877294412696	0.671145536421769	0.883207506594241	0.842571251356544	0.747841780559496	0.743045402421816	0.724785429999824	0.772684432680718	0.772684432680718	0.605702855960652	0.884877294412696	0.605702855960652	0.706389871515898	0.925642638270538	0.724785429999824	0.706389871515898	0.76343618441663	0.731707708164703	0.93448326276182
hsa2104	0.950106398017152	0.605473398091231	0.646457327644511	0.737890196183993	0.706389871515898	1	0.634866227001229	0.798291329177723	0.605473398091231	0.796784931459694	0.76012496695237	0.674664852163156	0.670337803539641	0.857530533735897	0.914202281861924	0.914202281861924	0.54643433730831	0.798291329177723	0.54643433730831	0.835765812161549	0.857530533735897	0.857530533735897	0.637269046240336	0.688733330879302	0.66010951191608	0.66010951191608
hsa2908	0.591214338742408	0.667802277716662	0.644019864043713	0.813850377687801	0.703726432606379	0.634866227001229	1	0.779491356336172	0.667802277716662	0.796784931459694	0.838374048934861	0.744116465546259	0.654551170213446	0.638465899679607	0.680660290701541	0.680660290701541	0.544374009811879	0.779491356336172	0.544374009811879	0.622261190932149	0.638465899679607	0.638465899679607	0.622261190932149	0.6725134779981	0.644563757574423	0.72806276376418
hsa3174	0.758461699333371	0.758461699333371	0.80980126429582	0.924336979764085	0.884877294412696	0.798291329177723	0.779491356336172	1	0.758461699333371	0.978295805504454	0.95218993263441	0.845136139532032	0.839715751679428	0.819080153345864	0.873210825455249	0.873210825455249	0.684504913602359	1	0.684504913602359	0.798291329177723	0.819080153345864	0.819080153345864	0.798291329177723	0.862759378319603	0.826903021226628	0.826903021226628
hsa367	0.602467045087755	0.634483216669027	0.61420324304012	0.773244450869856	0.671145536421769	0.605473398091231	0.667802277716662	0.758461699333371	1	0.757030461223513	0.796544547824557	0.706989814785411	0.667009379738747	0.621240924996942	0.662296966551084	0.662296966551084	0.548342561760083	0.758461699333371	0.519170759972888	0.605473398091231	0.621240924996942	0.621240924996942	0.605473398091231	0.654369944196089	0.917231742856943	0.691737090010398
hsa4306	0.741999899093617	0.757030461223513	0.808273147013313	0.922592730432903	0.883207506594241	0.796784931459694	0.796784931459694	0.978295805504454	0.757030461223513	1	0.950393124014268	0.826793140384414	0.821490397684004	0.801302678390203	0.854258487863952	0.854258487863952	0.683213233983476	0.978295805504454	0.683213233983476	0.780965058905142	0.801302678390203	0.801302678390203	0.780965058905142	0.844033880969698	0.80895575722497	0.825342632457918
hsa5241	0.722199594394023	0.796544547824557	0.771084611297097	0.970748532497855	0.842571251356544	0.76012496695237	0.838374048934861	0.95218993263441	0.796544547824557	0.950393124014268	1	0.8875709672689	0.799568885023688	0.77991987603658	0.831462557065871	0.831462557065871	0.651778687570953	0.95218993263441	0.651778687570953	0.76012496695237	0.77991987603658	0.77991987603658	0.76012496695237	0.821510794321848	0.787368732076973	0.868422352396488
hsa5465	0.64100339255751	0.706989814785411	0.684392314295129	0.914316053597394	0.747841780559496	0.674664852163156	0.744116465546259	0.845136139532032	0.706989814785411	0.826793140384414	0.8875709672689	1	0.732708083115153	0.714702145190706	0.761934772326352	0.737982026022829	0.578499840172605	0.845136139532032	0.578499840172605	0.674664852163156	0.692234238766028	0.692234238766028	0.674664852163156	0.752815186584125	0.698845627126846	0.820662344174944
hsa5468	0.667009379738747	0.636892235975778	0.680002877359116	0.776180321767691	0.743045402421816	0.670337803539641	0.654551170213446	0.839715751679428	0.667009379738747	0.821490397684004	0.799568885023688	0.732708083115153	1	0.753594165879668	0.902573720064735	0.902573720064735	0.574789558053867	0.839715751679428	0.574789558053867	0.670337803539641	0.687794506652523	0.687794506652523	0.825134954431786	0.747986910875934	0.694363492035308	0.85470875330958
hsa5914	0.621240924996942	0.621240924996942	0.663292143739095	0.757106075128419	0.724785429999824	0.857530533735897	0.638465899679607	0.819080153345864	0.621240924996942	0.801302678390203	0.77991987603658	0.714702145190706	0.753594165879668	1	0.938009618603658	0.938009618603658	0.560664389599418	0.819080153345864	0.560664389599418	0.974619304248528	0.87986204459298	0.87986204459298	0.653864584317563	0.729605503333287	0.677299853428464	0.742095514224143
hsa5915	0.662296966551084	0.662296966551084	0.707127230450458	0.807141057098609	0.772684432680718	0.914202281861924	0.680660290701541	0.873210825455249	0.662296966551084	0.854258487863952	0.831462557065871	0.761934772326352	0.902573720064735	0.938009618603658	1	1	0.59771710063489	0.873210825455249	0.59771710063489	0.914202281861924	0.938009618603658	0.938009618603658	0.858048420826129	0.777823050918598	0.722060669736743	0.888801876716742
hsa5916	0.662296966551084	0.662296966551084	0.707127230450458	0.807141057098609	0.772684432680718	0.914202281861924	0.680660290701541	0.873210825455249	0.662296966551084	0.854258487863952	0.831462557065871	0.737982026022829	0.902573720064735	0.938009618603658	1	1	0.59771710063489	0.873210825455249	0.59771710063489	0.914202281861924	0.938009618603658	0.938009618603658	0.858048420826129	0.753370828911718	0.722060669736743	0.888801876716742
hsa6095	0.519170759972888	0.548342561760083	0.554312944451892	0.632713204472881	0.605702855960652	0.54643433730831	0.544374009811879	0.684504913602359	0.548342561760083	0.683213233983476	0.651778687570953	0.578499840172605	0.574789558053867	0.560664389599418	0.59771710063489	0.59771710063489	1	0.684504913602359	1	0.54643433730831	0.560664389599418	0.560664389599418	0.54643433730831	0.590563033716285	0.566019181102263	0.566019181102263
hsa6096	0.758461699333371	0.758461699333371	0.80980126429582	0.924336979764085	0.884877294412696	0.798291329177723	0.779491356336172	1	0.758461699333371	0.978295805504454	0.95218993263441	0.845136139532032	0.839715751679428	0.819080153345864	0.873210825455249	0.873210825455249	0.684504913602359	1	0.684504913602359	0.798291329177723	0.819080153345864	0.819080153345864	0.798291329177723	0.862759378319603	0.826903021226628	0.826903021226628
hsa6097	0.519170759972888	0.519170759972888	0.554312944451892	0.632713204472881	0.605702855960652	0.54643433730831	0.544374009811879	0.684504913602359	0.519170759972888	0.683213233983476	0.651778687570953	0.578499840172605	0.574789558053867	0.560664389599418	0.59771710063489	0.59771710063489	1	0.684504913602359	1	0.54643433730831	0.560664389599418	0.560664389599418	0.54643433730831	0.590563033716285	0.566019181102263	0.566019181102263
