hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.988368424383652	0.983103317994505	0.981398517665944	0.982982468016187	0.974386621003528	0.975281447165475	0.976896363388942	0.990324679425063	0.958367724211021	0.984725890640095	0.973375903412088	0.963852238766831	0.982333944396463	0.974400337287421	0.983266920584093	0.977842589915912	0.97501320771635	0.988779698957234	0.984328526759447	0.979982253233236	0.978670493634758	0.967952125901923	0.981369313760928	0.988981295744855	0.973468902591218
hsa2099	0.988368424383652	1	0.991539528919964	0.979640911472742	0.992132411359303	0.988271913220546	0.983601334653834	0.98488184110548	0.985614448127809	0.965353788159746	0.979868682861148	0.984552592403906	0.977135958386392	0.98275645927142	0.978852433850974	0.987574606420932	0.98091751304092	0.978909361782386	0.988839000703369	0.992300990142258	0.974165203266148	0.987733159557738	0.979858203597657	0.984673008128753	0.979829069129855	0.982714354789048
hsa2100	0.983103317994505	0.991539528919964	1	0.971804047856736	0.992151485315257	0.991284677641182	0.986941031535451	0.987725175842985	0.976828815313067	0.978520648773567	0.978388758688519	0.985620311084371	0.978178904868733	0.985211685209733	0.986060782256861	0.984411196571091	0.98246553407245	0.976562681085628	0.988676154800369	0.993946392589556	0.968901889154792	0.989748443158337	0.988189742290982	0.982534177238113	0.973868191358613	0.980989880162143
hsa2101	0.981398517665944	0.979640911472742	0.971804047856736	1	0.9771931131748	0.967349694374912	0.954184222916236	0.955219941112218	0.975514895610209	0.935026794394566	0.980253103451988	0.965600870200183	0.951432344033378	0.960248882642754	0.952348178915998	0.972055639384867	0.95524734673227	0.949894461309662	0.974339241024347	0.975012418809415	0.974079292974907	0.972459695444109	0.952900427064284	0.969727767762052	0.969449926660683	0.959061526731137
hsa2103	0.982982468016187	0.992132411359303	0.992151485315257	0.9771931131748	1	0.993614635719163	0.986761413447062	0.986015326441611	0.984694978249823	0.972697279313051	0.982780269795911	0.987607887062699	0.982029611570502	0.987601185725079	0.985910347608477	0.990734822276728	0.983633410992628	0.976726433186891	0.989151337611999	0.993189826519157	0.977657764199244	0.989405934997736	0.987240159868944	0.983491947900191	0.973721859427891	0.979720232939195
hsa2104	0.974386621003528	0.988271913220546	0.991284677641182	0.967349694374912	0.993614635719163	1	0.989821717705575	0.991084000417313	0.975042139459943	0.973923994261166	0.973490170569677	0.99411051806102	0.991403476399854	0.983647256645755	0.988045956536566	0.985835854128939	0.985933798934874	0.982691067492204	0.981927230106889	0.991862311434452	0.964528725578103	0.991362591526849	0.99021384174743	0.981838147777046	0.968492067154585	0.984586104219051
hsa2908	0.975281447165475	0.983601334653834	0.986941031535451	0.954184222916236	0.986761413447062	0.989821717705575	1	0.990481197782168	0.978533676105408	0.988744936948261	0.971165328460562	0.98758885576376	0.984044249351614	0.9911801391981	0.991767335211558	0.986917870458859	0.986643099872248	0.984214141118333	0.981888175152044	0.99063134017474	0.964139288945084	0.983818928301464	0.98598151262034	0.977934161967196	0.967450190644766	0.984857996451147
hsa3174	0.976896363388942	0.98488184110548	0.987725175842985	0.955219941112218	0.986015326441611	0.991084000417313	0.990481197782168	1	0.975654805049323	0.976588808166598	0.966245938125261	0.990706013184005	0.988674652314032	0.983646366262958	0.988035727027079	0.98175215429503	0.993292862670127	0.991989502937546	0.986533179028478	0.988532685058354	0.962094723704584	0.989494247397147	0.992107399411116	0.984741935810388	0.977688225843322	0.985079158895743
hsa367	0.990324679425063	0.985614448127809	0.976828815313067	0.975514895610209	0.984694978249823	0.975042139459943	0.978533676105408	0.975654805049323	1	0.969724823299825	0.989218728884002	0.971661509272097	0.962294747589737	0.981308245102716	0.969734387058864	0.982948231458212	0.977613477712381	0.973000652059842	0.986896052918466	0.982689503607748	0.984963792260454	0.970604219156405	0.965950659722162	0.97408470660381	0.976034507859019	0.969050152365173
hsa4306	0.958367724211021	0.965353788159746	0.978520648773567	0.935026794394566	0.972697279313051	0.973923994261166	0.988744936948261	0.976588808166598	0.969724823299825	1	0.967462943863078	0.970551151894872	0.962052230607252	0.98193589181062	0.976311269663015	0.972160825950137	0.971852041738871	0.964515878173353	0.969908374705986	0.981217492156061	0.96110644461553	0.963150610201095	0.974923171277923	0.956367228233967	0.942221539151445	0.9632914041931
hsa5241	0.984725890640095	0.979868682861148	0.978388758688519	0.980253103451988	0.982780269795911	0.973490170569677	0.971165328460562	0.966245938125261	0.989218728884002	0.967462943863078	1	0.966696080066245	0.956993450480252	0.978230853546258	0.963889528857299	0.978835197288065	0.965232621221568	0.956892018737793	0.975841354149955	0.983277913257509	0.98647605004032	0.963775431724971	0.963007455855697	0.962396898572011	0.96643532693587	0.954109029604735
hsa5465	0.973375903412088	0.984552592403906	0.985620311084371	0.965600870200183	0.987607887062699	0.99411051806102	0.98758885576376	0.990706013184005	0.971661509272097	0.970551151894872	0.966696080066245	1	0.994054668995621	0.982248043138258	0.988418092380318	0.986475452352933	0.991257476442014	0.987409850711116	0.982907986025223	0.991308714406052	0.960878131990497	0.993717549646153	0.990237896883603	0.987456767553062	0.973105377134817	0.98842756519581
hsa5468	0.963852238766831	0.977135958386392	0.978178904868733	0.951432344033378	0.982029611570502	0.991403476399854	0.984044249351614	0.988674652314032	0.962294747589737	0.962052230607252	0.956993450480252	0.994054668995621	1	0.97875526063774	0.988577390971049	0.982266635649031	0.990001912239427	0.986177724939592	0.975658092117492	0.983864463329479	0.949177402469665	0.989071695726593	0.987721473646323	0.98508396905353	0.973282551631642	0.988093245855113
