	 hsa190	 hsa2099	 hsa2100	 hsa2101	 hsa2103	 hsa2104	 hsa2908	 hsa3174	 hsa367	 hsa4306	 hsa5241	 hsa5465	 hsa5468	 hsa5914	 hsa5915	 hsa5916	 hsa6095	 hsa6096	 hsa6097	 hsa6256	 hsa6257	 hsa6258	 hsa7421	 hsa8856	 hsa9970	 hsa9971
hsa190	1.00000	0.33109	0.33109	0.90000	0.00000	0.90000	0.90000	0.00000	0.90000	0.33109	0.90000	0.12180	0.90000	0.12180	0.12180	0.12180	0.90000	0.00000	0.00000	0.33109	0.33109	0.33109	0.33109	0.12180	0.12180	0.12180	
hsa2099	0.33109	1.00000	0.90000	0.90000	0.00000	0.33109	0.33109	0.00000	0.12180	0.33109	0.90000	0.33109	0.90000	0.33109	0.33109	0.33109	0.12180	0.00000	0.00000	0.90000	0.33109	0.33109	0.33109	0.33109	0.33109	0.90000	
hsa2100	0.33109	0.90000	1.00000	0.33109	0.00000	0.12180	0.33109	0.00000	0.12180	0.33109	0.33109	0.33109	0.90000	0.33109	0.33109	0.33109	0.12180	0.00000	0.00000	0.90000	0.33109	0.33109	0.33109	0.33109	0.33109	0.33109	
hsa2101	0.90000	0.90000	0.33109	1.00000	0.00000	0.90000	0.33109	0.00000	0.33109	0.12180	0.33109	0.12180	0.33109	0.12180	0.12180	0.12180	0.33109	0.00000	0.00000	0.33109	0.12180	0.12180	0.12180	0.12180	0.12180	0.33109	
hsa2103	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
hsa2104	0.90000	0.33109	0.12180	0.90000	0.00000	1.00000	0.33109	0.00000	0.33109	0.12180	0.33109	0.04481	0.33109	0.04481	0.04481	0.04481	0.33109	0.00000	0.00000	0.12180	0.12180	0.12180	0.12180	0.04481	0.04481	0.12180	
hsa2908	0.90000	0.33109	0.33109	0.33109	0.00000	0.33109	1.00000	0.00000	0.33109	0.90000	0.33109	0.33109	0.90000	0.33109	0.33109	0.33109	0.33109	0.00000	0.00000	0.33109	0.90000	0.33109	0.33109	0.33109	0.12180	0.12180	
hsa3174	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
hsa367	0.90000	0.12180	0.12180	0.33109	0.00000	0.33109	0.33109	0.00000	1.00000	0.12180	0.33109	0.04481	0.33109	0.04481	0.04481	0.04481	0.33109	0.00000	0.00000	0.12180	0.12180	0.12180	0.12180	0.04481	0.04481	0.04481	
hsa4306	0.33109	0.33109	0.33109	0.12180	0.00000	0.12180	0.90000	0.00000	0.12180	1.00000	0.12180	0.33109	0.33109	0.33109	0.33109	0.33109	0.12180	0.00000	0.00000	0.90000	0.33109	0.12180	0.33109	0.33109	0.33109	0.33109	
