hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.104581368542441	0.0713106497427404	0.128296821641964	0.0737202525879506	0.0723816992045241	0.0925765084510791	0.11199252667644	0.0875748640361846	0.0863244994291277	0.145899788381208	0.0524897772785971	0.0408929315930969	0.0880830329272055	0.064416032843977	0.0828971503563753	0.0587057622192048	0.0579257542943156	0.0948716012959848	0.0802360939998339	0.0952033664505576	0.0559373851732948	0.0840137163588848	0.0756667090083884	0.083215481013958	0.0691523169589693
hsa2099	0.104581368542441	1	0.293282271886409	0.152183781071677	0.176012292404322	0.169550699808549	0.146001211466317	0.144097171902341	0.16521093878546	0.151200403344725	0.219169358635896	0.117737324962104	0.0892962170941225	0.135220773694536	0.145666728831259	0.152217502540008	0.10151764981306	0.0843956232250081	0.105832553593034	0.120809482620676	0.147199995261728	0.123198388955697	0.0990895941627321	0.108516877509633	0.0681027765390497	0.116516263565578
hsa2100	0.0713106497427404	0.293282271886409	1	0.179452097681107	0.19816088626684	0.15731964778864	0.165690440236387	0.11292967431775	0.115543016447941	0.148326199707952	0.155303796547739	0.127668806681243	0.0904097511809983	0.128797518868495	0.135762455197732	0.127858404570018	0.0958452910873698	0.0787929923382025	0.118086205624161	0.11746614388586	0.107389856541425	0.119434819087914	0.0947678772680601	0.0833674728867495	0.0715180677706143	0.0947193214365621
hsa2101	0.128296821641964	0.152183781071677	0.179452097681107	1	0.352951177051009	0.372033508251105	0.152839900704595	0.105053935089077	0.15639922782505	0.129069386773737	0.198173329444963	0.0917881218199312	0.0934788473115534	0.124291762930424	0.100912335167719	0.145024004102668	0.104842136850717	0.0872218130679158	0.130480891039043	0.113821373317575	0.193359384894334	0.107033694753696	0.0937746272136175	0.111039151187432	0.129742242683195	0.119577963872753
hsa2103	0.0737202525879506	0.176012292404322	0.19816088626684	0.352951177051009	1	0.558909011091347	0.183263779309207	0.116703492508803	0.110115728317305	0.179712241781428	0.144695233221573	0.136093235823457	0.13392686318866	0.151361569456285	0.148046642039521	0.160679684567098	0.0843267446512007	0.0929952960449143	0.119641331115203	0.124866206982837	0.149784772736963	0.0915991864532874	0.0859844007450255	0.0998936609848685	0.0778673750258744	0.104251817527279
hsa2104	0.0723816992045241	0.169550699808549	0.15731964778864	0.372033508251105	0.558909011091347	1	0.130434399222237	0.102163401575417	0.0941546301737909	0.150469890602205	0.119934486487119	0.12697536158823	0.118580808226944	0.132280733047192	0.112475593881913	0.120566227550937	0.0740313891492675	0.0774548579697632	0.0763740798749812	0.121661753390707	0.141062443465968	0.0932785708571486	0.101079008657782	0.0713517266134277	0.0803383549202491	0.107222880971855
hsa2908	0.0925765084510791	0.146001211466317	0.165690440236387	0.152839900704595	0.183263779309207	0.130434399222237	1	0.125369626512698	0.17801479415746	0.316483049868688	0.278051757707455	0.129646665866192	0.116636667636648	0.161155493372903	0.16893402930324	0.178771138726509	0.127413997358498	0.10392018300952	0.116636667636648	0.170129130817642	0.138321600884872	0.0995453314112397	0.0947323436441092	0.096753155359402	0.0714912517629214	0.137207532158005
hsa3174	0.11199252667644	0.144097171902341	0.11292967431775	0.105053935089077	0.116703492508803	0.102163401575417	0.125369626512698	1	0.103426974038539	0.131586987119526	0.137119464361445	0.0910493724093288	0.104317301509957	0.119438553965559	0.124124186310543	0.111888614382516	0.0912265993303616	0.0925560814096338	0.0907946883512592	0.171374102458841	0.170307966943653	0.176953737599693	0.0930198895720801	0.103910812637239	0.105298382081729	0.122504584555192
hsa367	0.0875748640361846	0.16521093878546	0.115543016447941	0.15639922782505	0.110115728317305	0.0941546301737909	0.17801479415746	0.103426974038539	1	0.199934339136581	0.248267560235813	0.0839118495915366	0.0738851260183341	0.15357314990566	0.0664222469780797	0.112324382814483	0.154698337415329	0.10569837748014	0.172695354789841	0.0789698903401638	0.195053634399848	0.0728433014909677	0.100015876796163	0.0718237939226336	0.0722437579499106	0.0851239443944733
hsa4306	0.0863244994291277	0.151200403344725	0.148326199707952	0.129069386773737	0.179712241781428	0.150469890602205	0.316483049868688	0.131586987119526	0.199934339136581	1	0.25841259387301	0.122617762345484	0.0925631473737446	0.188030067323976	0.158693826960243	0.161923150731248	0.127357345617312	0.120215097100506	0.145129873042785	0.169357768230681	0.194644136883772	0.0949069243777388	0.119833954604804	0.118019149340953	0.105199405808624	0.116177941250412
hsa5241	0.145899788381208	0.219169358635896	0.155303796547739	0.198173329444963	0.144695233221573	0.119934486487119	0.278051757707455	0.137119464361445	0.248267560235813	0.25841259387301	1	0.117300620343273	0.091238554740228	0.202966006040744	0.153953531735625	0.174213405722848	0.120420157171665	0.102340521100071	0.145045907535747	0.12086002294361	0.271324018689984	0.0885750439531298	0.126417119329404	0.129613181749093	0.126101543185555	0.125984402404109
hsa5465	0.0524897772785971	0.117737324962104	0.127668806681243	0.0917881218199312	0.136093235823457	0.12697536158823	0.129646665866192	0.0910493724093288	0.0839118495915366	0.122617762345484	0.117300620343273	1	0.347340298240785	0.156427022069265	0.181916554933303	0.160308151115545	0.12875200059126	0.116701925699776	0.141923992829568	0.120836350808825	0.0990989547252579	0.116318367194594	0.117894884623483	0.108483613069132	0.0995271356137656	0.124061027061065
hsa5468	0.0408929315930969	0.0892962170941225	0.0904097511809983	0.0934788473115534	0.13392686318866	0.118580808226944	0.116636667636648	0.104317301509957	0.0738851260183341	0.0925631473737446	0.091238554740228	0.347340298240785	1	0.103992975405647	0.125441492219301	0.129043401210927	0.130150646956029	0.128013034718063	0.135940409683426	0.120498346368246	0.0876644594675834	0.113718627936445	0.12155036597736	0.110183498138588	0.119549615608491	0.133086275448277
hsa5914	0.0880830329272055	0.135220773694536	0.128797518868495	0.124291762930424	0.151361569456285	0.132280733047192	0.161155493372903	0.119438553965559	0.15357314990566	0.188030067323976	0.202966006040744	0.156427022069265	0.103992975405647	1	0.606217782649107	0.564675040821203	0.149081515916927	0.145064713296415	0.146704376018681	0.13954431780929	0.1923253374367	0.120206441081026	0.15101854823524	0.103883715321833	0.112468934747072	0.114023671332049
hsa5915	0.064416032843977	0.145666728831259	0.135762455197732	0.100912335167719	0.148046642039521	0.112475593881913	0.16893402930324	0.124124186310543	0.0664222469780797	0.158693826960243	0.153953531735625	0.181916554933303	0.125441492219301	0.606217782649107	1	0.588823528241152	0.160398175646828	0.156785899180437	0.144740183329962	0.136962114066829	0.132145688339779	0.143778378841265	0.130097552376393	0.114187534798892	0.10051778517562	0.126267162106444
hsa5916	0.0828971503563753	0.152217502540008	0.127858404570018	0.145024004102668	0.160679684567098	0.120566227550937	0.178771138726509	0.111888614382516	0.112324382814483	0.161923150731248	0.174213405722848	0.160308151115545	0.129043401210927	0.564675040821203	0.588823528241152	1	0.141887618205106	0.13841865747584	0.163711777655653	0.178901791036331	0.211011499525652	0.134082391272689	0.11953352135423	0.109815848303128	0.130645852085664	0.126015382868668
hsa6095	0.0587057622192048	0.10151764981306	0.0958452910873698	0.104842136850717	0.0843267446512007	0.0740313891492675	0.127413997358498	0.0912265993303616	0.154698337415329	0.127357345617312	0.120420157171665	0.12875200059126	0.130150646956029	0.149081515916927	0.160398175646828	0.141887618205106	1	0.381032912055902	0.297235936967148	0.135834476850757	0.132474545808093	0.141773297112278	0.112918885591402	0.100280994830331	0.117172015713874	0.120385098455102
hsa6096	0.0579257542943156	0.0843956232250081	0.0787929923382025	0.0872218130679158	0.0929952960449143	0.0774548579697632	0.10392018300952	0.0925560814096338	0.10569837748014	0.120215097100506	0.102340521100071	0.116701925699776	0.128013034718063	0.145064713296415	0.156785899180437	0.13841865747584	0.381032912055902	1	0.325851361100525	0.131579216958465	0.119530272514443	0.149240501448927	0.139054735037033	0.12310917526805	0.115120571748195	0.103474976236145
hsa6097	0.0948716012959848	0.105832553593034	0.118086205624161	0.130480891039043	0.119641331115203	0.0763740798749812	0.116636667636648	0.0907946883512592	0.172695354789841	0.145129873042785	0.145045907535747	0.141923992829568	0.135940409683426	0.146704376018681	0.144740183329962	0.163711777655653	0.297235936967148	0.325851361100525	1	0.151594693818116	0.135481437358993	0.113718627936445	0.123542994927808	0.126210188776928	0.112782656234426	0.127462911696941
hsa6256	0.0802360939998339	0.120809482620676	0.11746614388586	0.113821373317575	0.124866206982837	0.121661753390707	0.170129130817642	0.171374102458841	0.0789698903401638	0.169357768230681	0.12086002294361	0.120836350808825	0.120498346368246	0.13954431780929	0.136962114066829	0.178901791036331	0.135834476850757	0.131579216958465	0.151594693818116	1	0.522341102178989	0.631403415184606	0.0894249229412707	0.102450393334313	0.0965205647602084	0.123247794110522
