DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D01441', 'hsa2241')	1.0	1	1
('D02451', 'hsa1562')	1.0	1	1
('D00437', 'hsa1548')	1.0	1	1
('D00528', 'hsa5330')	1.0	1	1
('D00437', 'hsa199974')	1.0	1	1
('D01977', 'hsa780')	1.0	1	1
('D04025', 'hsa4921')	1.0	1	1
('D04025', 'hsa5159')	1.0	1	1
('D00218', 'hsa377677')	1.0	1	1
('D00437', 'hsa260293')	1.0	1	1
('D00960', 'hsa64816')	1.0	1	1
('D02451', 'hsa64816')	1.0	1	1
('D00107', 'hsa11072')	1.0	1	1
('D01840', 'hsa5599')	1.0	1	1
('D00107', 'hsa1843')	1.0	1	1
('D02451', 'hsa1553')	1.0	1	1
('D00394', 'hsa284541')	1.0	1	1
('D02731', 'hsa10846')	1.0	1	1
('D00394', 'hsa1579')	1.0	1	1
('D03778', 'hsa1555')	1.0	1	1
('D03778', 'hsa1572')	1.0	1	1
('D02655', 'hsa5141')	1.0	1	1
('D01196', 'hsa23632')	1.0	1	1
('D01690', 'hsa5152')	1.0	1	1
('D01712', 'hsa5136')	1.0	1	1
('D01712', 'hsa5148')	1.0	1	1
('D00417', 'hsa10846')	1.0	1	1
('D00417', 'hsa23236')	1.0	1	1
('D00653', 'hsa766')	1.0	1	1
('D00653', 'hsa763')	1.0	1	1
('D00417', 'hsa5146')	1.0	1	1
('D03778', 'hsa64816')	1.0	1	1
('D00969', 'hsa5742')	1.0	1	1
('D00340', 'hsa23632')	1.0	1	1
('D01977', 'hsa4058')	1.0	1	1
('D00410', 'hsa1572')	1.0	1	1
('D01441', 'hsa5156')	1.0	1	1
('D04023', 'hsa7010')	1.0	1	1
('D00169', 'hsa5743')	1.0	1	1
('D01441', 'hsa3480')	1.0	1	1
('D00139', 'hsa9420')	1.0	1	1
('D04023', 'hsa7075')	1.0	1	1
('D00655', 'hsa377677')	1.0	1	1
('D00139', 'hsa1581')	1.0	1	1
('D00107', 'hsa1846')	1.0	1	1
('D01441', 'hsa2048')	1.0	1	1
('D01441', 'hsa2042')	1.0	1	1
('D01441', 'hsa1969')	1.0	1	1
('D01432', 'hsa7150')	1.0	1	1
('D01840', 'hsa5597')	1.0	1	1
('D00410', 'hsa1582')	1.0	1	1
('D04024', 'hsa2046')	1.0	1	1
('D04024', 'hsa2048')	1.0	1	1
('D00340', 'hsa761')	1.0	1	1
('D02451', 'hsa1576')	1.0	1	1
('D04024', 'hsa3643')	1.0	1	1
('D04024', 'hsa3791')	1.0	1	1
('D00655', 'hsa766')	1.0	1	1
('D00655', 'hsa767')	1.0	1	1
('D04024', 'hsa4593')	1.0	1	1
('D01977', 'hsa10461')	1.0	1	1
('D00528', 'hsa1545')	1.0	1	1
('D01977', 'hsa2045')	1.0	1	1
