DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00513', 'hsa154')	0.6424094697941318	1	1
('D01603', 'hsa146')	0.6406985614218061	1	1
('D01713', 'hsa147')	0.6331371037910752	1	1
('D02361', 'hsa1129')	0.6311260125264991	1	1
('D00607', 'hsa146')	0.6291868143043418	1	1
('D00255', 'hsa146')	0.6274426625351216	1	1
('D00494', 'hsa1132')	0.624881367125276	1	1
('D02356', 'hsa146')	0.623629432329376	1	1
('D00513', 'hsa153')	0.6229579154799385	1	1
('D04040', 'hsa185')	0.6226842938350471	1	1
('D05246', 'hsa185')	0.6213246077283491	1	1
('D01126', 'hsa222545')	0.6196709931581997	1	1
('D00437', 'hsa147')	0.6195204515600178	1	1
('D01022', 'hsa150')	0.6192652845562135	1	1
('D00613', 'hsa151')	0.6191484782065609	1	1
('D00454', 'hsa1128')	0.6184738488487824	1	1
('D02070', 'hsa1132')	0.6166284567870164	1	1
('D02354', 'hsa1131')	0.6155044331635802	1	1
('D00513', 'hsa147')	0.6154576611702337	1	1
('D03621', 'hsa1128')	0.6148608119793463	1	1
('D00775', 'hsa2912')	0.6140958715557892	1	1
('D00509', 'hsa146')	0.6137253346449717	1	1
('D00673', 'hsa3274')	0.6125087388010515	1	1
('D00996', 'hsa146')	0.6120099521562787	1	1
('D00996', 'hsa151')	0.6115717012233148	1	1
('D00454', 'hsa150')	0.6112607030776447	1	1
('D00283', 'hsa151')	0.6110254878040806	1	1
('D00283', 'hsa3352')	0.610600193503316	1	1
('D00281', 'hsa147')	0.6102599684548641	1	1
('D00609', 'hsa146')	0.6102555905053567	1	1
('D00494', 'hsa1129')	0.6097370832479269	1	1
('D00400', 'hsa185')	0.6095519469202659	1	1
('D02361', 'hsa1133')	0.609435097058049	1	1
('D00255', 'hsa154')	0.6094284029554357	1	1
('D00513', 'hsa146')	0.608325976742547	1	1
('D00509', 'hsa147')	0.6079556823954064	1	1
('D00513', 'hsa3355')	0.607808549738112	1	1
('D01603', 'hsa147')	0.6077519288077918	1	1
('D00255', 'hsa147')	0.6076411037922557	1	1
('D01020', 'hsa146')	0.607592135404995	1	1
('D01024', 'hsa146')	0.6075572552099254	1	1
('D01358', 'hsa147')	0.6073360147693991	1	1
('D02237', 'hsa151')	0.6070333198322146	1	1
('D00513', 'hsa151')	0.6066400996629991	1	1
('D01603', 'hsa150')	0.6063316546202233	1	1
('D02237', 'hsa148')	0.6058999431060319	1	1
('D00437', 'hsa146')	0.6058211735026588	1	1
('D02149', 'hsa150')	0.6056870223293461	1	1
('D00607', 'hsa151')	0.6055257536960834	1	1
('D00283', 'hsa150')	0.6055065944358836	1	1
('D00295', 'hsa3274')	0.6052850572673805	1	1
('D00513', 'hsa3352')	0.6051488851054961	1	1
('D00523', 'hsa185')	0.6046536403528268	1	1
('D00996', 'hsa153')	0.6039309275109034	1	1
('D00437', 'hsa153')	0.6038429842507629	1	1
('D00426', 'hsa146')	0.6036341050236178	1	1
('D00996', 'hsa150')	0.6025027100580072	1	1
('D02588', 'hsa7201')	0.6024728333086087	1	1
('D00437', 'hsa150')	0.6021688121107959	1	1
('D00281', 'hsa148')	0.6021433251502102	1	1
('D00451', 'hsa3352')	0.6021410494363215	1	1
('D02338', 'hsa153')	0.6019986418585664	1	1
('D00255', 'hsa151')	0.6017234086786734	1	1
('D00607', 'hsa152')	0.6014996498741721	1	1
('D00454', 'hsa148')	0.6013277805703802	1	1
('D02149', 'hsa153')	0.6011321498818629	1	1
('D00513', 'hsa150')	0.6007553744395687	1	1
('D01051', 'hsa146')	0.6002363521912288	1	1
('D01022', 'hsa148')	0.6000913256676192	1	1
('D00780', 'hsa1813')	0.5994701317253023	1	1
('D02149', 'hsa154')	0.5994287945346682	1	1
('D00522', 'hsa185')	0.599388629027817	1	1
('D02237', 'hsa147')	0.5992763483434905	1	1
('D00609', 'hsa147')	0.5989165360767948	1	1
('D00509', 'hsa148')	0.5988919005345121	1	1
('D01051', 'hsa148')	0.598788014173288	1	1
('D00255', 'hsa153')	0.598624029366391	1	1
('D00281', 'hsa146')	0.5985436748367405	1	1
('D00440', 'hsa3274')	0.5983936611193005	1	1
('D01022', 'hsa151')	0.5982598651096795	1	1
('D01925', 'hsa7201')	0.5980925622567442	1	1
('D00775', 'hsa2913')	0.5980816730308425	1	1
('D02361', 'hsa1128')	0.5978681415012831	1	1
('D00609', 'hsa148')	0.5977901980698083	1	1
('D00513', 'hsa155')	0.5977726865608013	1	1
('D02237', 'hsa146')	0.5975552657692814	1	1
('D01022', 'hsa146')	0.5973987065514883	1	1
('D00281', 'hsa150')	0.597314521963511	1	1
('D00688', 'hsa154')	0.5972062488430575	1	1
('D02356', 'hsa148')	0.5966228139175055	1	1
('D00454', 'hsa151')	0.5963933982287392	1	1
('D01603', 'hsa148')	0.5963400719394557	1	1
('D02234', 'hsa147')	0.5962107813090549	1	1
('D01713', 'hsa146')	0.5961676572724307	1	1
('D02361', 'hsa147')	0.5958205252212911	1	1
('D00451', 'hsa3355')	0.5957236053953817	1	1
('D02354', 'hsa1132')	0.5953131842815775	1	1
('D00113', 'hsa1133')	0.5951103265218287	1	1
('D03274', 'hsa151')	0.5949081593610924	1	1
('D02066', 'hsa153')	0.5948819119987299	1	1
('D00483', 'hsa154')	0.5946290057536017	1	1
('D00437', 'hsa148')	0.5944296678107202	1	1
('D02234', 'hsa148')	0.5942802982805815	1	1
('D00283', 'hsa1814')	0.5942638512487493	1	0
('D00775', 'hsa2911')	0.5942636411108221	1	1
('D00255', 'hsa148')	0.5936169692430318	1	1
('D00683', 'hsa154')	0.5935337109249589	1	1
('D00113', 'hsa1128')	0.5933736481525944	1	1
('D00451', 'hsa3350')	0.5931870161074593	1	1
('D00726', 'hsa3351')	0.592903471184795	1	1
('D00454', 'hsa1813')	0.5928634591841138	1	1
('D00528', 'hsa5030')	0.5928566782663407	1	1
('D00432', 'hsa154')	0.5928137483363554	1	1
('D00494', 'hsa1128')	0.5925971927991027	1	1
('D00281', 'hsa151')	0.5925666629531737	1	1
('D00726', 'hsa3352')	0.5925527894049322	1	1
('D00775', 'hsa2916')	0.5922491051765512	1	1
('D00513', 'hsa148')	0.5919315361539439	1	1
('D00270', 'hsa1812')	0.591362943274436	1	1
('D00454', 'hsa147')	0.5911440249283946	1	1
('D02234', 'hsa146')	0.5909665628967937	1	1
('D00397', 'hsa1128')	0.5908039841598737	1	1
('D00528', 'hsa5031')	0.5904327416174421	1	1
('D02149', 'hsa147')	0.5903496155882973	1	1
('D02149', 'hsa146')	0.5901001923262856	1	1
('D00283', 'hsa3355')	0.5900290553268873	1	1
('D01051', 'hsa147')	0.5899655165821385	1	1
('D02279', 'hsa222545')	0.5897354856938842	1	1
('D00426', 'hsa147')	0.5890530726022345	1	1
('D00483', 'hsa153')	0.589042287790222	1	1
('D00775', 'hsa2915')	0.5888904941250871	1	1
('D02358', 'hsa154')	0.5886366533302755	1	0
('D01713', 'hsa151')	0.5883435648643306	1	1
('D00607', 'hsa147')	0.5881944121174879	1	1
('D01713', 'hsa148')	0.5877126051268424	1	1
('D00283', 'hsa148')	0.5874698593696521	1	1
('D00283', 'hsa3354')	0.5873117177890046	1	1
('D02070', 'hsa1128')	0.5871906296003536	1	1
('D00451', 'hsa3351')	0.5871847484188862	1	1
('D00283', 'hsa3356')	0.5869546514678601	1	1
('D00528', 'hsa5028')	0.5865364831926074	1	1
('D01022', 'hsa152')	0.5859401529655758	1	1
('D00437', 'hsa154')	0.5857652724158643	1	1
('D00113', 'hsa1129')	0.5849937827702151	1	1
('D02354', 'hsa1129')	0.5849829015916783	1	1
('D02356', 'hsa147')	0.584845362516112	1	1
('D00283', 'hsa3350')	0.5848340990276902	1	1
('D00607', 'hsa150')	0.584814375664561	1	1
('D02082', 'hsa185')	0.5847257010225173	1	1
('D00726', 'hsa3354')	0.5847238574713628	1	1
('D00422', 'hsa3274')	0.5847219928579073	1	1
('D00726', 'hsa3356')	0.5843168545976797	1	1
('D02374', 'hsa153')	0.5842836142962884	1	1
('D01022', 'hsa147')	0.584253098607128	1	1
('D00283', 'hsa3357')	0.5841833753029465	1	1
('D02374', 'hsa154')	0.5841115218091468	1	1
('D03274', 'hsa150')	0.5840548147029649	1	1
('D00451', 'hsa3358')	0.5839797859467999	1	1
('D00300', 'hsa11255')	0.5835827094802875	1	1
