DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00283', 'hsa1814')	0.5942638512487493	1	0
('D02358', 'hsa154')	0.5886366533302755	1	0
('D00397', 'hsa1133')	0.5796977335812684	1	0
('D01103', 'hsa1129')	0.5771297572110567	1	0
('D00715', 'hsa1129')	0.5703906502542918	1	0
('D01973', 'hsa3361')	0.5689266370210877	1	0
('D00604', 'hsa147')	0.5641608713441433	1	0
('D00451', 'hsa3363')	0.5629601796458611	1	0
('D03365', 'hsa1128')	0.5619488447624726	1	0
('D02357', 'hsa1813')	0.5604620832199978	1	0
('D00437', 'hsa152')	0.558680691967114	1	0
('D00255', 'hsa152')	0.5561120966731046	1	0
('D00514', 'hsa10161')	0.5495799765332053	1	0
('D00503', 'hsa3356')	0.5456978333501993	1	0
('D04625', 'hsa155')	0.544735899965213	1	0
('D04625', 'hsa154')	0.5398469179253315	1	0
('D02250', 'hsa6751')	0.5389088341068831	1	0
('D00232', 'hsa1132')	0.5379052676326574	1	0
('D04375', 'hsa152')	0.5377383133150038	1	0
('D04375', 'hsa151')	0.5345819102456559	1	0
('D00604', 'hsa148')	0.5344341861843463	1	0
('D02356', 'hsa152')	0.5342615643232429	1	0
('D00726', 'hsa1129')	0.5339861393149534	1	0
('D00514', 'hsa3577')	0.5337367218643889	1	0
('D00136', 'hsa152')	0.5327995804032861	1	0
('D03187', 'hsa1129')	0.5326575204327094	1	0
('D00095', 'hsa155')	0.5312080370203501	1	0
('D01118', 'hsa552')	0.5296744092632439	1	0
('D00371', 'hsa134')	0.5292334325277169	1	0
('D02349', 'hsa151')	0.5283431853788663	1	0
('D00682', 'hsa5733')	0.5282569300747646	1	0
('D01871', 'hsa3269')	0.5273349232939543	1	0
('D00493', 'hsa3358')	0.5272241063092082	1	0
('D00283', 'hsa1133')	0.5266655992489259	1	0
('D01051', 'hsa3358')	0.5263293704142579	1	0
('D02354', 'hsa1814')	0.525540069557171	1	0
('D02614', 'hsa154')	0.5252296012753174	1	0
('D00542', 'hsa1234')	0.5231249026905687	1	0
('D00837', 'hsa4985')	0.5219981604157311	1	0
('D00646', 'hsa1131')	0.5212473946322134	1	0
('D05113', 'hsa4986')	0.5210545318702109	1	0
('D02361', 'hsa1814')	0.5205794551724101	1	0
('D00559', 'hsa2918')	0.5197867645543894	1	0
('D00235', 'hsa155')	0.5191068959529125	1	0
('D00560', 'hsa4986')	0.5189291114904792	1	0
('D01891', 'hsa5732')	0.5187327151171567	1	0
('D00676', 'hsa3354')	0.5186232569377905	1	0
('D00765', 'hsa1128')	0.5183321585023768	1	0
('D00227', 'hsa136')	0.5182548872781314	1	0
('D03966', 'hsa2914')	0.5179882493701244	1	0
('D00454', 'hsa3357')	0.5177000635742448	1	0
('D00542', 'hsa6010')	0.5160068058219854	1	0
('D02361', 'hsa11255')	0.5155256403751064	1	0
('D00270', 'hsa152')	0.5152972714314127	1	0
('D01164', 'hsa1815')	0.5149592908435874	1	0
('D01352', 'hsa5731')	0.5145594738119892	1	0
('D01745', 'hsa1814')	0.514426664200677	1	0
('D00494', 'hsa1815')	0.5119506126162261	1	0
('D00095', 'hsa150')	0.5116556132786818	1	0
('D00283', 'hsa11255')	0.5104724765813545	1	0
('D01118', 'hsa148')	0.5104349801944977	1	0
('D01994', 'hsa1234')	0.508315644622945	1	0
('D01462', 'hsa3269')	0.5077832518453799	1	0
('D00397', 'hsa1131')	0.5057613188937877	1	0
('D00136', 'hsa1812')	0.5053951940772183	1	0
('D02671', 'hsa3269')	0.5037463907797163	1	0
('D04006', 'hsa140')	0.5029787110847422	1	0
('D00760', 'hsa1128')	0.5004016027932333	1	0
('D00095', 'hsa146')	0.5002467381377598	1	0
('D00525', 'hsa1129')	0.4994232214737276	1	0
('D00110', 'hsa1813')	0.4986641844774067	1	0
('D01713', 'hsa152')	0.4984064908087514	1	0
('D03966', 'hsa2917')	0.4980712170580744	1	0
('D01745', 'hsa1812')	0.49804291400275275	1	0
('D00560', 'hsa3269')	0.49712533840763173	1	0
('D01973', 'hsa3356')	0.4966215322322297	1	0
('D01828', 'hsa57105')	0.4964109177196749	1	0
('D00232', 'hsa1133')	0.4930218420883672	1	0
