DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00629', 'hsa8912')	0.7310585780512848	1	1
('D00549', 'hsa2557')	0.7310585780494796	1	1
('D00741', 'hsa6326')	0.7310585780482277	1	1
('D04048', 'hsa6326')	0.7310585780059105	1	1
('D02086', 'hsa6334')	0.7310585780014005	1	1
('D00437', 'hsa6262')	0.7310585779702704	1	1
('D00358', 'hsa6326')	0.7310585779535952	1	1
('D00545', 'hsa2558')	0.7310585777378968	1	1
('D00741', 'hsa6329')	0.7310585777095682	1	1
('D00358', 'hsa6328')	0.73105857762788	1	1
('D04048', 'hsa6329')	0.7310585776248743	1	1
('D01450', 'hsa6326')	0.7310585776137848	1	1
('D02086', 'hsa6335')	0.7310585775971867	1	1
('D02101', 'hsa1136')	0.7310585775333508	1	1
('D00560', 'hsa6262')	0.7310585763371448	1	1
('D01295', 'hsa8912')	0.7310585763096449	1	1
('D05453', 'hsa8973')	0.7310585676256042	1	1
('D00512', 'hsa6340')	0.731058567485152	1	1
('D00547', 'hsa2557')	0.7310585665655998	1	1
('D05156', 'hsa1136')	0.7310585612404279	1	1
('D00530', 'hsa2555')	0.7310585026986542	1	1
('D00741', 'hsa6334')	0.7310584540540204	1	1
('D00550', 'hsa2557')	0.7310584536692755	1	1
('D00739', 'hsa6326')	0.7310584529493602	1	1
('D05156', 'hsa1137')	0.7310584526764318	1	1
('D01295', 'hsa785')	0.7310584436173801	1	1
('D01295', 'hsa782')	0.7310584435607884	1	1
('D01295', 'hsa59284')	0.7310584435568603	1	1
('D01712', 'hsa6263')	0.7310584428417615	1	1
('D00358', 'hsa6334')	0.7310584427235141	1	1
('D00740', 'hsa6326')	0.7310584423327244	1	1
('D00629', 'hsa3708')	0.7310584422323666	1	1
('D00545', 'hsa2566')	0.7310584422210599	1	1
('D00547', 'hsa2559')	0.7310584420506739	1	1
('D01295', 'hsa6262')	0.7310584403061385	1	1
('D00225', 'hsa2561')	0.7310584046436399	1	1
('D00560', 'hsa783')	0.7310583578479349	1	1
('D00618', 'hsa6263')	0.7310582764913977	1	1
('D00629', 'hsa6261')	0.7310582764447269	1	1
('D00629', 'hsa55799')	0.7310582737115197	1	1
('D01243', 'hsa6323')	0.7310582672431883	1	1
('D00741', 'hsa6323')	0.7310582672391686	1	1
('D02086', 'hsa6328')	0.7310582669273042	1	1
('D00195', 'hsa1136')	0.7310582666981036	1	1
('D02173', 'hsa1137')	0.7310582662851046	1	1
('D05453', 'hsa1136')	0.7310581725720068	1	1
('D00332', 'hsa8912')	0.7310571140745652	1	1
('D02101', 'hsa1134')	0.7310566238792953	1	1
('D01243', 'hsa6328')	0.7310566238767363	1	1
('D00560', 'hsa775')	0.7310566237934228	1	1
('D00195', 'hsa57053')	0.7310566237065225	1	1
('D01295', 'hsa778')	0.7310566144270159	1	1
('D02253', 'hsa2555')	0.7310563664881322	1	1
('D00512', 'hsa6262')	0.7310559413412568	1	1
('D02356', 'hsa3785')	0.7310555702282786	1	1
('D00294', 'hsa56479')	0.7310553632548819	1	1
('D03580', 'hsa1138')	0.7310550340980235	1	1
('D00303', 'hsa6340')	0.7310549753083763	1	1
('D00512', 'hsa781')	0.731054506363357	1	1
('D02088', 'hsa6323')	0.7310544411080366	1	1
('D00477', 'hsa6328')	0.7310544410997529	1	1
('D00332', 'hsa9311')	0.7310544129911918	1	1
('D00548', 'hsa2563')	0.7310537131879791	1	1
('D00560', 'hsa6263')	0.7310536944570435	1	1
('D00332', 'hsa785')	0.7310536788185508	1	1
('D00437', 'hsa9254')	0.7310519245548815	1	1
('D00332', 'hsa784')	0.7310507957503919	1	1
('D01295', 'hsa55799')	0.7310506826095159	1	1
('D03580', 'hsa1135')	0.7310491633985728	1	1
('D00294', 'hsa93107')	0.7310459666253952	1	1
('D00560', 'hsa786')	0.731034467779127	1	1
('D00545', 'hsa2559')	0.7310194454776078	1	1
('D00547', 'hsa2555')	0.731011309827881	1	1
('D00538', 'hsa51802')	0.7309801767429509	1	1
('D03826', 'hsa1138')	0.7309769097767904	1	1
('D00629', 'hsa59284')	0.7309548020096036	1	1
('D00560', 'hsa782')	0.730804193016129	1	1
('D00629', 'hsa773')	0.730804183790603	1	1
('D00629', 'hsa6262')	0.730804183545555	1	1
('D00732', 'hsa6329')	0.7306765150036113	1	1
('D00547', 'hsa2564')	0.7305706029788727	1	1
('D00550', 'hsa2564')	0.7305706029637897	1	1
('D00738', 'hsa6331')	0.7300312681905143	1	1
('D00735', 'hsa6335')	0.7297601429174041	1	1
('D00358', 'hsa6335')	0.7297601428359264	1	1
('D02098', 'hsa6334')	0.7296199945868309	1	1
('D00618', 'hsa784')	0.7295011952313596	1	1
('D00293', 'hsa2557')	0.7293500617137555	1	1
('D00549', 'hsa2559')	0.7293464681262328	1	1
('D00549', 'hsa2555')	0.7293464680789331	1	1
('D00293', 'hsa2560')	0.7290444555971536	1	1
('D02173', 'hsa1135')	0.7288900029128639	1	1
('D00512', 'hsa6339')	0.7286884588217075	1	1
('D02088', 'hsa6329')	0.7286830901651691	1	1
('D00195', 'hsa55584')	0.7285320888233757	1	1
('D00225', 'hsa2555')	0.7283465144510319	1	1
('D01287', 'hsa6326')	0.7283205754554949	1	1
('D00560', 'hsa59284')	0.7282778795225409	1	1
('D00512', 'hsa55515')	0.7282619983115336	1	1
('D00332', 'hsa3710')	0.7282405591268409	1	1
('D00512', 'hsa6332')	0.7282357603166548	1	1
('D02101', 'hsa8973')	0.7282274747585452	1	1
('D03580', 'hsa8973')	0.72822747474195	1	1
('D00538', 'hsa6338')	0.7281833060325501	1	1
('D00512', 'hsa55800')	0.7281534462785385	1	1
('D00512', 'hsa6324')	0.7281112800519411	1	1
('D02101', 'hsa55584')	0.7280368448224572	1	1
('D00252', 'hsa6329')	0.7280097430377547	1	1
('D04048', 'hsa6334')	0.727967760191261	1	1
('D01450', 'hsa8645')	0.7279407136346099	1	1
('D01243', 'hsa6335')	0.7279308680989677	1	1
('D00639', 'hsa6323')	0.7279269681144688	1	1
('D00618', 'hsa8913')	0.7279260025685802	1	1
('D02356', 'hsa169522')	0.727924185605706	1	1
('D01275', 'hsa6262')	0.7279172173234542	1	1
('D00732', 'hsa6334')	0.7279162539582851	1	1
('D00512', 'hsa3710')	0.7278658231719927	1	1
('D01453', 'hsa6261')	0.7277696788768169	1	1
('D00512', 'hsa782')	0.7277661026551476	1	1
('D00550', 'hsa2562')	0.7277534248313985	1	1
('D00560', 'hsa777')	0.7277494988907912	1	1
('D00629', 'hsa784')	0.7276731137010269	1	1
('D00303', 'hsa6324')	0.7275973453202661	1	1
('D02173', 'hsa57053')	0.7275877160178142	1	1
('D00512', 'hsa51802')	0.7275831703930886	1	1
('D00437', 'hsa8913')	0.7275179189412512	1	1
('D01295', 'hsa777')	0.7274240817746924	1	1
('D00550', 'hsa2560')	0.7274238604438087	1	1
('D00293', 'hsa2567')	0.7274202354616129	1	1
('D03580', 'hsa57053')	0.7274064798848667	1	1
('D00329', 'hsa2560')	0.7273512874203348	1	1
('D00332', 'hsa783')	0.727342285510438	1	1
('D03826', 'hsa1134')	0.7272934229631263	1	1
('D01287', 'hsa6334')	0.7272747137748653	1	1
('D00225', 'hsa2569')	0.7272710868740421	1	1
('D00560', 'hsa93589')	0.7272710868625265	1	1
('D00547', 'hsa2556')	0.7272042140111407	1	1
('D00225', 'hsa2563')	0.7271697469605699	1	1
('D00512', 'hsa6337')	0.7271623689696899	1	1
('D01287', 'hsa6323')	0.7271566080615642	1	1
('D01287', 'hsa6336')	0.727132727247293	1	1
('D00618', 'hsa778')	0.7271304000922059	1	1
('D02098', 'hsa6331')	0.7271261204436241	1	1
('D01450', 'hsa6331')	0.7271227826112616	1	1
('D00547', 'hsa2560')	0.7271187730645373	1	1
('D02204', 'hsa1136')	0.7271187724141912	1	1
('D00329', 'hsa2564')	0.7271079133280117	1	1
('D00542', 'hsa8989')	0.7270313565487215	1	1
('D00294', 'hsa3747')	0.727004459824306	1	1
('D00332', 'hsa6262')	0.7269713650614157	1	1
('D02098', 'hsa6328')	0.7269612513342607	1	1
('D00639', 'hsa6328')	0.7269612512396761	1	1
('D02356', 'hsa50801')	0.7269582843427255	1	1
('D00332', 'hsa93589')	0.7269411011707398	1	1
('D00560', 'hsa781')	0.7269384816491744	1	1
('D00294', 'hsa3750')	0.7269366762787616	1	1
('D00545', 'hsa2562')	0.726930029633159	1	1
('D00739', 'hsa6329')	0.72692539767096	1	1
('D02086', 'hsa6326')	0.7269246009995783	1	1
('D00437', 'hsa785')	0.7269245647828085	1	1
('D00530', 'hsa2561')	0.7268976681433231	1	1
('D00293', 'hsa2563')	0.7268640252285995	1	1
('D00195', 'hsa1138')	0.7268461184348063	1	1
('D00549', 'hsa2563')	0.7268460827336372	1	1
('D00225', 'hsa2559')	0.7268454476042806	1	1
('D00293', 'hsa2555')	0.7268452905322503	1	1
('D02356', 'hsa9132')	0.7268396621434614	1	1
('D00739', 'hsa6323')	0.7268266911971957	1	1
('D03826', 'hsa8973')	0.72675468643219	1	1
('D00618', 'hsa6262')	0.7267359628452992	1	1
('D02101', 'hsa1137')	0.7266909841911426	1	1
('D00437', 'hsa93589')	0.7266707174555112	1	1
('D00560', 'hsa3708')	0.7266697524802032	1	1
('D04048', 'hsa6328')	0.7266689969446242	1	1
('D00738', 'hsa6328')	0.7266689968680736	1	1
('D02272', 'hsa6334')	0.7266546661708119	1	1
('D00560', 'hsa784')	0.7266527373276855	1	1
('D02207', 'hsa57053')	0.7266366645658823	1	1
('D00740', 'hsa6323')	0.7266343450766397	1	1
('D00739', 'hsa6328')	0.7266300456585448	1	1
('D00225', 'hsa2562')	0.7266238433069384	1	1
('D01287', 'hsa6335')	0.7265795255881603	1	1
('D00293', 'hsa2559')	0.7265762019833822	1	1
('D00358', 'hsa6323')	0.7264925919705327	1	1
('D00512', 'hsa785')	0.7263778730742776	1	1
('D00332', 'hsa782')	0.7263757499206361	1	1
('D02356', 'hsa3786')	0.7263752204416368	1	1
('D00548', 'hsa2556')	0.7263724013707092	1	1
('D00512', 'hsa776')	0.7263699037363652	1	1
('D00545', 'hsa2564')	0.7263491412477698	1	1
('D01450', 'hsa6335')	0.726317777720135	1	1
('D02461', 'hsa2555')	0.7263122549561977	1	1
('D02086', 'hsa6329')	0.726308733159058	1	1
('D02101', 'hsa1138')	0.7263087330455275	1	1
('D00629', 'hsa6263')	0.7262972049031893	1	1
('D00629', 'hsa774')	0.7262939370829742	1	1
('D00294', 'hsa3786')	0.726260333900436	1	1
('D00552', 'hsa6338')	0.7262347113335603	1	1
('D02101', 'hsa57053')	0.726211730898067	1	1
('D00512', 'hsa6261')	0.7262069405833643	1	1
('D02204', 'hsa57053')	0.7261617917861422	1	1
('D02098', 'hsa6329')	0.7261359710928763	1	1
('D00293', 'hsa2564')	0.7261150906395984	1	1
('D00545', 'hsa2563')	0.7261148873749581	1	1
('D00547', 'hsa2566')	0.726114887329394	1	1
('D00512', 'hsa783')	0.7260806915007848	1	1
('D01450', 'hsa6328')	0.7260247226461994	1	1
('D00639', 'hsa6329')	0.7260006986203935	1	1
('D00618', 'hsa777')	0.7259953727289541	1	1
('D00550', 'hsa2563')	0.7259880127214653	1	1
('D00225', 'hsa2566')	0.7259880123735625	1	1
('D00629', 'hsa785')	0.7259751465857295	1	1
('D00548', 'hsa2558')	0.7259706856922384	1	1
('D01295', 'hsa784')	0.725937788029837	1	1
('D03580', 'hsa1136')	0.7259239773117705	1	1
('D00227', 'hsa6263')	0.7258629334085613	1	1
('D00550', 'hsa2558')	0.7258245616538906	1	1
('D00293', 'hsa2556')	0.7258245514921681	1	1
('D00252', 'hsa51802')	0.7258241806783766	1	1
('D00437', 'hsa8911')	0.7257755705154001	1	1
('D00629', 'hsa8911')	0.7257755703726614	1	1
('D00560', 'hsa8913')	0.7257230263982932	1	1
('D05156', 'hsa57053')	0.7257094715787279	1	1
('D02356', 'hsa3790')	0.7257074059343356	1	1
('D00547', 'hsa2558')	0.7256886557082654	1	1
('D00550', 'hsa2559')	0.7256833020594039	1	1
('D00560', 'hsa774')	0.7256534095189587	1	1
('D00549', 'hsa2556')	0.7255805419373511	1	1
('D00530', 'hsa2567')	0.7255776269439885	1	1
('D00642', 'hsa6328')	0.7255563958010489	1	1
('D00611', 'hsa1136')	0.7254805711267683	1	1
('D02272', 'hsa6328')	0.7254721094932355	1	1
('D00332', 'hsa6339')	0.7254368993185515	1	1
('D00618', 'hsa776')	0.7254166331684033	1	1
('D05156', 'hsa55584')	0.7254163894974918	1	1
('D00738', 'hsa6329')	0.7254158558746848	1	1
('D01287', 'hsa6331')	0.7253623702863287	1	1
('D00225', 'hsa2558')	0.7253560467386077	1	1
('D00560', 'hsa778')	0.7253248435448897	1	1
('D00560', 'hsa785')	0.7253248419901247	1	1
('D00618', 'hsa3708')	0.7253179006548303	1	1
('D00618', 'hsa8989')	0.7252305538860029	1	1
('D00548', 'hsa2567')	0.7251572322922609	1	1
('D03580', 'hsa1134')	0.7251142515741328	1	1
('D00329', 'hsa2558')	0.7251142496054317	1	1
('D00437', 'hsa8912')	0.7251067556900712	1	1
('D00548', 'hsa2564')	0.7250998949342687	1	1
('D00329', 'hsa55879')	0.7250993859607845	1	1
('D02356', 'hsa54207')	0.7250009045347634	1	1
('D00678', 'hsa9177')	0.7249595791652365	1	1
('D00477', 'hsa6323')	0.7249490749778333	1	1
('D00349', 'hsa779')	0.7248327886978967	1	1
('D01295', 'hsa774')	0.7247534462923438	1	1
('D02098', 'hsa6323')	0.7247205055370126	1	1
('D00512', 'hsa6338')	0.7246683526478772	1	1
('D00512', 'hsa27092')	0.7245916774247271	1	1
('D00552', 'hsa6339')	0.7245897125891602	1	1
('D00545', 'hsa2569')	0.7245830105181262	1	1
('D00437', 'hsa776')	0.7245801858969647	1	1
('D00331', 'hsa2559')	0.7245387863876331	1	1
('D00550', 'hsa2567')	0.7245192442053904	1	1
('D00741', 'hsa6331')	0.7245065611151398	1	1
('D02101', 'hsa1135')	0.7245009505602764	1	1
('D02356', 'hsa93107')	0.724462318460261	1	1
('D00293', 'hsa2562')	0.7244546088688145	1	1
('D00329', 'hsa2567')	0.7244458103673526	1	1
('D00225', 'hsa2567')	0.7244274009482361	1	1
('D02356', 'hsa9254')	0.7243179895744158	1	1
('D05461', 'hsa2556')	0.7243038471005875	1	1
('D00499', 'hsa2556')	0.7242985912340948	1	1
('D00629', 'hsa8989')	0.7242265270353182	1	1
('D03826', 'hsa1135')	0.7241860948699262	1	1
('D01295', 'hsa3708')	0.7241467361505705	1	1
('D01450', 'hsa6329')	0.7241460524566482	1	1
('D01450', 'hsa6334')	0.7240796029252312	1	1
('D00732', 'hsa6331')	0.7239550376440068	1	1
('D00437', 'hsa777')	0.7239259352453157	1	1
('D00629', 'hsa27092')	0.7239259352437214	1	1
('D00303', 'hsa6329')	0.7239112410331058	1	1
('D00499', 'hsa2559')	0.7238701747740467	1	1
('D01295', 'hsa8913')	0.7238381507419539	1	1
('D00332', 'hsa59284')	0.7238325216605873	1	1
('D00512', 'hsa59284')	0.7238307312941177	1	1
('D05461', 'hsa2557')	0.7238265054710219	1	1
('D00332', 'hsa6337')	0.7237973304044051	1	1
('D00542', 'hsa785')	0.723795022969294	1	1
('D00618', 'hsa775')	0.7237070239888553	1	1
('D00437', 'hsa3708')	0.7236086992060126	1	1
('D00294', 'hsa3790')	0.7235756876653923	1	1
('D02356', 'hsa59284')	0.7235336817952359	1	1
('D01450', 'hsa6323')	0.723512047816587	1	1
('D00732', 'hsa6335')	0.7234976552163708	1	1
('D00329', 'hsa2555')	0.723455634679762	1	1
('D00735', 'hsa6326')	0.7234540429007037	1	1
('D00560', 'hsa55503')	0.7234317521900492	1	1
('D02086', 'hsa6323')	0.7233313291293398	1	1
('D00639', 'hsa6326')	0.723317279175059	1	1
('D00332', 'hsa777')	0.7233140137198306	1	1
('D00775', 'hsa2898')	0.7233081131665571	1	0
('D00629', 'hsa10369')	0.7232146287626121	1	1
('D00332', 'hsa781')	0.7231163792755574	1	1
('D00252', 'hsa6337')	0.7230973074755654	1	1
('D01295', 'hsa781')	0.7230372078037505	1	1
('D05461', 'hsa2555')	0.7230290992616781	1	1
('D00293', 'hsa2566')	0.7230256047660613	1	1
('D00294', 'hsa26251')	0.7229616921997267	1	1
('D00542', 'hsa93589')	0.7229488998448134	1	1
('D00740', 'hsa6328')	0.7229325289718638	1	1
('D02173', 'hsa1134')	0.7229317216431504	1	1
('D02272', 'hsa6335')	0.7229126717530194	1	1
('D01295', 'hsa6263')	0.7228750224953785	1	1
('D00437', 'hsa773')	0.7228085239254867	1	1
('D00629', 'hsa93589')	0.722801726591623	1	1
('D00225', 'hsa2556')	0.722747893661575	1	1
('D01295', 'hsa9254')	0.7227392616230279	1	1
('D00294', 'hsa3748')	0.7226513010497694	1	1
('D00294', 'hsa3754')	0.7226418958187762	1	1
('D00552', 'hsa6340')	0.722641520984722	1	1
('D00332', 'hsa55799')	0.7226269016903967	1	1
('D02546', 'hsa2899')	0.722590899747082	1	1
('D00332', 'hsa774')	0.7225898316752379	1	1
('D00528', 'hsa5027')	0.7225670165962267	1	1
('D01295', 'hsa93589')	0.7225443620417844	1	1
('D02356', 'hsa785')	0.7225419529159582	1	1
('D00329', 'hsa2557')	0.7224705646667375	1	1
('D02088', 'hsa6326')	0.7224620948319255	1	1
('D02356', 'hsa27092')	0.7223988660093306	1	1
('D00512', 'hsa9254')	0.7223865618029239	1	1
('D00195', 'hsa1137')	0.722386429709934	1	1
('D02272', 'hsa3756')	0.7223669608488976	1	1
('D02356', 'hsa3708')	0.7222254189974969	1	1
('D00732', 'hsa6323')	0.7221998283675676	1	1
('D01295', 'hsa773')	0.7221697983255642	1	1
('D00499', 'hsa2569')	0.7221629187700829	1	1
('D02207', 'hsa2555')	0.7221624253431765	1	1
('D02088', 'hsa6335')	0.7221591572979293	1	1
('D00550', 'hsa2561')	0.7221425066703927	1	1
('D00618', 'hsa779')	0.7221324883131847	1	1
('D00550', 'hsa2556')	0.7221128278191631	1	1
('D00437', 'hsa59284')	0.7220633769204959	1	1
('D00629', 'hsa783')	0.7220624893206509	1	1
('D00629', 'hsa778')	0.7220425393883119	1	1
('D00545', 'hsa2555')	0.7219950153311465	1	1
('D00538', 'hsa6337')	0.7219839080396137	1	1
('D00549', 'hsa2560')	0.7219423968738297	1	1
('D00552', 'hsa6337')	0.7219298056771908	1	1
('D00550', 'hsa2555')	0.7219179545333478	1	1
('D00332', 'hsa6263')	0.7218675181522705	1	1
('D01243', 'hsa6334')	0.7218296466309851	1	1
('D00775', 'hsa6337')	0.7218228732932266	1	1
('D00740', 'hsa6329')	0.7218055984851852	1	1
('D01295', 'hsa8911')	0.7217199416494381	1	1
