DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00775', 'hsa2898')	0.7233081131665571	1	0
('D02098', 'hsa8645')	0.7120946200818081	1	0
('D00438', 'hsa779')	0.7079974416661363	1	0
('D00349', 'hsa773')	0.6944693908582126	1	0
('D00649', 'hsa8911')	0.6833496670520471	1	0
('D00294', 'hsa56660')	0.6652186406573932	1	0
('D00552', 'hsa6331')	0.6607041778878935	1	0
('D02088', 'hsa6336')	0.6521309319345125	1	0
('D00726', 'hsa1138')	0.6516694621997743	1	0
('D00438', 'hsa781')	0.6365676672572076	1	0
('D00538', 'hsa6331')	0.629488007991741	1	0
('D02041', 'hsa2743')	0.6178732042302301	1	0
('D01799', 'hsa3758')	0.6109721687672466	1	0
('D00593', 'hsa3767')	0.609488800588755	1	0
('D02566', 'hsa6532')	0.6078748815407122	1	0
('D05024', 'hsa774')	0.5969263497226713	1	0
('D02347', 'hsa6263')	0.5914231171954758	1	0
('D00547', 'hsa2570')	0.5851459092170406	1	0
('D02088', 'hsa8645')	0.5709638453447158	1	0
('D00394', 'hsa3782')	0.5708305744653402	1	0
('D00542', 'hsa3736')	0.5646955090900977	1	0
('D00647', 'hsa3756')	0.5545409447362059	1	0
('D03365', 'hsa1137')	0.552243017842848	1	0
('D00499', 'hsa1134')	0.5497407479783735	1	0
('D00136', 'hsa116443')	0.5493202614288346	1	0
('D00528', 'hsa1080')	0.5419496971381531	1	0
('D00619', 'hsa778')	0.5396865766896476	1	0
('D00548', 'hsa2570')	0.5374626645413161	1	0
('D02347', 'hsa6262')	0.5374356390048312	1	0
('D00336', 'hsa3767')	0.5324023972203481	1	0
('D00638', 'hsa6336')	0.528038913035181	1	0
('D00438', 'hsa773')	0.5273791681859911	1	0
('D00775', 'hsa6323')	0.5269926833026034	1	0
('D00709', 'hsa8912')	0.5261733224882795	1	0
('D01599', 'hsa3758')	0.5245767953507241	1	0
('D03991', 'hsa8645')	0.5244506154774479	1	0
('D00499', 'hsa1139')	0.5217890767671024	1	0
('D03365', 'hsa1139')	0.5151538996256504	1	0
('D02356', 'hsa6833')	0.5005676975800352	1	0
