DT_pair	Predicted_score_class1	Predicted_Class	Actual_Class
('D00730', 'hsa5465')	0.999526250250355	1	0
('D00182', 'hsa2099')	0.9994970894972338	1	0
('D00951', 'hsa2099')	0.9989406640813832	1	0
('D00075', 'hsa5241')	0.998914461360491	1	0
('D00312', 'hsa2100')	0.9982091042564407	1	0
('D00585', 'hsa2099')	0.9981947933607521	1	0
('D00898', 'hsa2100')	0.9963639650371913	1	0
('D00211', 'hsa2908')	0.991379860420682	1	0
('D01387', 'hsa3174')	0.9845443981778692	1	0
('D01132', 'hsa6097')	0.9794476660027523	1	0
('D00962', 'hsa5468')	0.9418525913303057	1	0
('D00316', 'hsa6096')	0.9247950291306477	1	0
('D00040', 'hsa5241')	0.9013891425312137	1	0
('D00565', 'hsa5915')	0.8007179506482589	1	0
('D00094', 'hsa3174')	0.7834417449695921	1	0
('D01217', 'hsa367')	0.7188129310015702	1	0
('D01132', 'hsa190')	0.6842606666780872	1	0
('D00348', 'hsa7421')	0.6300287460201548	1	0
('D01294', 'hsa2100')	0.6200060468041189	1	0
('D00279', 'hsa6256')	0.5388926107410112	1	0
